,state,county,tract,region,ALAND
0,06,001,06001400100,California,6945856.0
1,06,001,06001400200,California,586560.0
2,06,001,06001400300,California,1110840.0
3,06,001,06001400400,California,716138.0
4,06,001,06001400500,California,591424.0
5,06,001,06001400600,California,297856.0
6,06,001,06001400700,California,865752.0
7,06,001,06001400800,California,725817.0
8,06,001,06001400900,California,407733.0
9,06,001,06001401000,California,1149000.0
10,06,001,06001401100,California,873332.0
11,06,001,06001401200,California,663620.0
12,06,001,06001401300,California,861889.0
13,06,001,06001401400,California,754768.0
14,06,001,06001401500,California,467741.0
15,06,001,06001401600,California,636136.0
16,06,001,06001401700,California,5751454.0
17,06,001,06001401800,California,301016.0
18,06,001,06001402200,California,715655.0
19,06,001,06001402400,California,337011.0
20,06,001,06001402500,California,365454.0
21,06,001,06001402600,California,318840.0
22,06,001,06001402700,California,387217.0
23,06,001,06001402800,California,33863677.61111111
24,06,001,06001402900,California,407131.0
25,06,001,06001403000,California,352394.0
26,06,001,06001403100,California,346852.0
27,06,001,06001403300,California,33863677.61111111
28,06,001,06001403400,California,33863677.61111111
29,06,001,06001403501,California,669873.0
30,06,001,06001403502,California,181133.0
31,06,001,06001403600,California,392820.0
32,06,001,06001403701,California,173947.0
33,06,001,06001403702,California,199100.0
34,06,001,06001403800,California,652668.0
35,06,001,06001403900,California,493100.0
36,06,001,06001404000,California,366986.0
37,06,001,06001404101,California,569281.0
38,06,001,06001404102,California,230172.0
39,06,001,06001404200,California,2728225.0
40,06,001,06001404300,California,1817027.0
41,06,001,06001404400,California,4152683.0
42,06,001,06001404501,California,1079143.0
43,06,001,06001404502,California,3079867.0
44,06,001,06001404600,California,4877912.0
45,06,001,06001404700,California,1195709.0
46,06,001,06001404800,California,628405.0
47,06,001,06001404900,California,1011185.0
48,06,001,06001405000,California,800679.0
49,06,001,06001405100,California,1256520.0
50,06,001,06001405200,California,857818.0
51,06,001,06001405301,California,227753.0
52,06,001,06001405302,California,205566.0
53,06,001,06001405401,California,313930.0
54,06,001,06001405402,California,285369.0
55,06,001,06001405500,California,411721.0
56,06,001,06001405600,California,428774.0
57,06,001,06001405700,California,546860.0
58,06,001,06001405800,California,519053.0
59,06,001,06001405901,California,452598.0
60,06,001,06001405902,California,487280.0
61,06,001,06001406000,California,2113649.0
62,06,001,06001406100,California,1844041.0
63,06,001,06001406201,California,408064.0
64,06,001,06001406202,California,392183.0
65,06,001,06001406300,California,485715.0
66,06,001,06001406400,California,487979.0
67,06,001,06001406500,California,745016.0
68,06,001,06001406601,California,747403.0
69,06,001,06001406602,California,414724.0
70,06,001,06001406700,California,1683727.0
71,06,001,06001406800,California,912527.0
72,06,001,06001406900,California,873127.0
73,06,001,06001407000,California,862936.0
74,06,001,06001407101,California,370826.0
75,06,001,06001407102,California,660864.0
76,06,001,06001407200,California,715071.0
77,06,001,06001407300,California,2370917.0
78,06,001,06001407400,California,511491.0
79,06,001,06001407500,California,494502.0
80,06,001,06001407600,California,1022710.0
81,06,001,06001407700,California,914283.0
82,06,001,06001407800,California,1221764.0
83,06,001,06001407900,California,1099098.0
84,06,001,06001408000,California,1955276.0
85,06,001,06001408100,California,8937288.0
86,06,001,06001408200,California,901765.0
87,06,001,06001408300,California,1538310.0
88,06,001,06001408400,California,542660.0
89,06,001,06001408500,California,831360.0
90,06,001,06001408600,California,1059360.0
91,06,001,06001408700,California,1133375.0
92,06,001,06001408800,California,1179465.0
93,06,001,06001408900,California,827293.0
94,06,001,06001409000,California,16913353.0
95,06,001,06001409100,California,490550.0
96,06,001,06001409200,California,706471.0
97,06,001,06001409300,California,1076042.0
98,06,001,06001409400,California,1253618.0
99,06,001,06001409500,California,836611.0
100,06,001,06001409600,California,747478.0
101,06,001,06001409700,California,811103.0
102,06,001,06001409800,California,1790229.0
103,06,001,06001409900,California,4315219.0
104,06,001,06001410000,California,6550967.0
105,06,001,06001410100,California,808994.0
106,06,001,06001410200,California,585837.0
107,06,001,06001410300,California,578329.0
108,06,001,06001410400,California,706611.0
109,06,001,06001410500,California,716845.0
110,06,001,06001420100,California,562477.0
111,06,001,06001420200,California,449142.0
112,06,001,06001420300,California,33863677.61111111
113,06,001,06001420400,California,33863677.61111111
114,06,001,06001420500,California,420968.0
115,06,001,06001420600,California,797566.0
116,06,001,06001421100,California,745511.0
117,06,001,06001421200,California,1314935.0
118,06,001,06001421300,California,1084032.0
119,06,001,06001421400,California,474778.0
120,06,001,06001421500,California,1580941.0
121,06,001,06001421600,California,1324489.0
122,06,001,06001421700,California,573819.0
123,06,001,06001421800,California,528482.0
124,06,001,06001421900,California,845060.0
125,06,001,06001422000,California,4504647.0
126,06,001,06001422100,California,551942.0
127,06,001,06001422200,California,675011.0
128,06,001,06001422300,California,560048.0
129,06,001,06001422400,California,475566.0
130,06,001,06001422500,California,465527.0
131,06,001,06001422600,California,33863677.61111111
132,06,001,06001422700,California,346821.0
133,06,001,06001422800,California,408571.0
134,06,001,06001422900,California,33863677.61111111
135,06,001,06001423000,California,730083.0
136,06,001,06001423100,California,748653.0
137,06,001,06001423200,California,456778.0
138,06,001,06001423300,California,726625.0
139,06,001,06001423400,California,755441.0
140,06,001,06001423500,California,635744.0
141,06,001,06001423601,California,523435.0
142,06,001,06001423602,California,404545.0
143,06,001,06001423700,California,728688.0
144,06,001,06001423800,California,1084724.0
145,06,001,06001423901,California,394491.0
146,06,001,06001423902,California,294981.0
147,06,001,06001424001,California,507530.0
148,06,001,06001424002,California,326768.0
149,06,001,06001425101,California,598450.0
150,06,001,06001425102,California,735811.0
151,06,001,06001425103,California,876078.0
152,06,001,06001425104,California,1087241.0
153,06,001,06001426100,California,3047862.0
154,06,001,06001426200,California,1358213.0
155,06,001,06001427100,California,1025446.0
156,06,001,06001427200,California,1329667.0
157,06,001,06001427300,California,1950568.0
158,06,001,06001427600,California,582863.0
159,06,001,06001427700,California,999309.0
160,06,001,06001427800,California,831152.0
161,06,001,06001427900,California,825214.0
162,06,001,06001428000,California,525761.0
163,06,001,06001428100,California,994804.0
164,06,001,06001428200,California,1362067.0
165,06,001,06001428301,California,4300902.0
166,06,001,06001428302,California,2231410.0
167,06,001,06001428400,California,810521.0
168,06,001,06001428500,California,624197.0
169,06,001,06001428600,California,898967.0
170,06,001,06001428700,California,7769104.0
171,06,001,06001430101,California,25683484.0
172,06,001,06001430102,California,77663212.0
173,06,001,06001430200,California,5334087.0
174,06,001,06001430300,California,2551932.0
175,06,001,06001430400,California,2433270.0
176,06,001,06001430500,California,2607359.0
177,06,001,06001430600,California,2261413.0
178,06,001,06001430700,California,1322604.0
179,06,001,06001430800,California,1801249.0
180,06,001,06001430900,California,1096550.0
181,06,001,06001431000,California,954210.0
182,06,001,06001431100,California,984303.0
183,06,001,06001431200,California,2025757.0
184,06,001,06001432100,California,1105772.0
185,06,001,06001432200,California,1023815.0
186,06,001,06001432300,California,1044920.0
187,06,001,06001432400,California,6441247.0
188,06,001,06001432501,California,1365205.0
189,06,001,06001432502,California,823639.0
190,06,001,06001432600,California,33863677.61111111
191,06,001,06001432700,California,828635.0
192,06,001,06001432800,California,3877193.0
193,06,001,06001433000,California,1316548.0
194,06,001,06001433102,California,1504293.0
195,06,001,06001433103,California,693343.0
196,06,001,06001433104,California,1053445.0
197,06,001,06001433200,California,3173333.0
198,06,001,06001433300,California,2520122.0
199,06,001,06001433400,California,5417052.0
200,06,001,06001433500,California,1234041.0
201,06,001,06001433600,California,1581524.0
202,06,001,06001433700,California,1284676.0
203,06,001,06001433800,California,33863677.61111111
204,06,001,06001433900,California,816590.0
205,06,001,06001434000,California,1217965.0
206,06,001,06001435102,California,4213399.0
207,06,001,06001435103,California,51789793.0
208,06,001,06001435104,California,7240655.0
209,06,001,06001435200,California,2255836.0
210,06,001,06001435300,California,1285666.0
211,06,001,06001435400,California,1325172.0
212,06,001,06001435500,California,1012334.0
213,06,001,06001435601,California,946094.0
214,06,001,06001435602,California,1143135.0
215,06,001,06001435700,California,1330957.0
216,06,001,06001435800,California,1310022.0
217,06,001,06001435900,California,2413823.0
218,06,001,06001436000,California,1345106.0
219,06,001,06001436100,California,1261383.0
220,06,001,06001436200,California,644516.0
221,06,001,06001436300,California,33863677.61111111
222,06,001,06001436401,California,33863677.61111111
223,06,001,06001436402,California,4274356.0
224,06,001,06001436500,California,1967552.0
225,06,001,06001436601,California,1083579.0
226,06,001,06001436602,California,894284.0
227,06,001,06001436700,California,798269.0
228,06,001,06001436800,California,1025366.0
229,06,001,06001436900,California,1207092.0
230,06,001,06001437000,California,1597254.0
231,06,001,06001437101,California,49264544.0
232,06,001,06001437102,California,870005.0
233,06,001,06001437200,California,2554602.0
234,06,001,06001437300,California,1027863.0
235,06,001,06001437400,California,858407.0
236,06,001,06001437500,California,633556.0
237,06,001,06001437600,California,818977.0
238,06,001,06001437701,California,484105.0
239,06,001,06001437702,California,371488.0
240,06,001,06001437800,California,1275626.0
241,06,001,06001437900,California,674754.0
242,06,001,06001438000,California,2432817.0
243,06,001,06001438100,California,2001857.0
244,06,001,06001438201,California,983498.0
245,06,001,06001438203,California,5255991.0
246,06,001,06001438204,California,1489858.0
247,06,001,06001438300,California,855994.0
248,06,001,06001438400,California,1723691.0
249,06,001,06001440100,California,27383597.0
250,06,001,06001440200,California,1160876.0
251,06,001,06001440301,California,4329374.0
252,06,001,06001440304,California,977965.0
253,06,001,06001440305,California,929238.0
254,06,001,06001440306,California,676512.0
255,06,001,06001440307,California,1404957.0
256,06,001,06001440308,California,1838208.0
257,06,001,06001440331,California,1761655.0
258,06,001,06001440332,California,2297853.0
259,06,001,06001440333,California,2505503.0
260,06,001,06001440334,California,1015383.0
261,06,001,06001440335,California,33863677.61111111
262,06,001,06001440336,California,1194635.0
263,06,001,06001441100,California,15528472.0
264,06,001,06001441200,California,3247503.0
265,06,001,06001441301,California,3240196.0
266,06,001,06001441302,California,1994662.0
267,06,001,06001441401,California,1856512.0
268,06,001,06001441402,California,1662788.0
269,06,001,06001441501,California,2858378.0
270,06,001,06001441503,California,72187729.0
271,06,001,06001441521,California,1623728.0
272,06,001,06001441522,California,1315101.0
273,06,001,06001441523,California,467064.0
274,06,001,06001441524,California,1680738.0
275,06,001,06001441601,California,1296670.0
276,06,001,06001441602,California,1682081.0
277,06,001,06001441700,California,33863677.61111111
278,06,001,06001441800,California,2037733.0
279,06,001,06001441921,California,846805.0
280,06,001,06001441923,California,1509389.0
281,06,001,06001441924,California,2184641.0
282,06,001,06001441925,California,33863677.61111111
283,06,001,06001441926,California,410207.0
284,06,001,06001441927,California,650133.0
285,06,001,06001442000,California,7960070.0
286,06,001,06001442100,California,1858895.0
287,06,001,06001442200,California,4191207.0
288,06,001,06001442301,California,1412758.0
289,06,001,06001442302,California,963153.0
290,06,001,06001442400,California,1582838.0
291,06,001,06001442500,California,33863677.61111111
292,06,001,06001442601,California,1181582.0
293,06,001,06001442602,California,1321035.0
294,06,001,06001442700,California,1234034.0
295,06,001,06001442800,California,1278646.0
296,06,001,06001442900,California,2066523.0
297,06,001,06001443001,California,768730.0
298,06,001,06001443002,California,1580322.0
299,06,001,06001443102,California,2367415.0
300,06,001,06001443103,California,16687132.0
301,06,001,06001443104,California,1847041.0
302,06,001,06001443105,California,3289425.0
303,06,001,06001443200,California,14504923.0
304,06,001,06001443301,California,1556732.0
305,06,001,06001443321,California,558876.0
306,06,001,06001443322,California,1148282.0
307,06,001,06001444100,California,2955571.0
308,06,001,06001444200,California,2069720.0
309,06,001,06001444301,California,2576475.0
310,06,001,06001444302,California,33863677.61111111
311,06,001,06001444400,California,1027755.0
312,06,001,06001444500,California,1959283.0
313,06,001,06001444601,California,3055836.0
314,06,001,06001444602,California,5618904.0
315,06,001,06001450101,California,1811639.0
316,06,001,06001450102,California,9584945.0
317,06,001,06001450200,California,1612600.0
318,06,001,06001450300,California,3133641.0
319,06,001,06001450400,California,3148411.0
320,06,001,06001450501,California,1163206.0
