,Zipcode,Area,State,Region
0,90001,3.5,CA,CA
1,90002,3.06,CA,CA
2,90003,3.55,CA,CA
3,90004,3.05,CA,CA
4,90005,1.08,CA,CA
5,90006,1.92,CA,CA
6,90007,2.47,CA,CA
7,90008,3.67,CA,CA
8,90010,0.46,CA,CA
9,90011,4.29,CA,CA
10,90012,3.23,CA,CA
11,90013,0.67,CA,CA
12,90014,0.28,CA,CA
13,90015,1.71,CA,CA
14,90016,3.63,CA,CA
15,90017,0.73,CA,CA
16,90018,2.9,CA,CA
17,90019,3.89,CA,CA
18,90020,1.13,CA,CA
19,90021,2.07,CA,CA
20,90022,4.38,CA,CA
21,90023,4.22,CA,CA
22,90024,2.94,CA,CA
23,90025,2.57,CA,CA
24,90026,4.23,CA,CA
25,90027,8.26,CA,CA
26,90028,1.52,CA,CA
27,90029,1.36,CA,CA
28,90031,3.45,CA,CA
29,90032,4.77,CA,CA
30,90033,3.27,CA,CA
31,90034,3.11,CA,CA
32,90035,2.06,CA,CA
33,90036,2.47,CA,CA
34,90037,2.84,CA,CA
35,90038,1.57,CA,CA
36,90039,3.77,CA,CA
37,90040,5.58,CA,CA
38,90041,3.61,CA,CA
39,90042,4.64,CA,CA
40,90043,4.13,CA,CA
41,90044,5.14,CA,CA
42,90045,10.73,CA,CA
43,90046,5.78,CA,CA
44,90047,4.73,CA,CA
45,90048,1.89,CA,CA
46,90049,15.02,CA,CA
47,90056,1.58,CA,CA
48,90057,0.89,CA,CA
49,90058,5.81,CA,CA
50,90059,3.31,CA,CA
51,90061,2.66,CA,CA
52,90062,1.93,CA,CA
53,90063,3.27,CA,CA
54,90064,4.0,CA,CA
55,90065,5.28,CA,CA
56,90066,4.92,CA,CA
57,90067,0.33,CA,CA
58,90068,7.62,CA,CA
59,90069,2.11,CA,CA
60,90071,62.12257105089233,CA,CA
61,90077,7.33,CA,CA
62,90079,62.12257105089233,CA,CA
63,90094,0.61,CA,CA
64,90101,62.12257105089233,CA,CA
65,90134,62.12257105089233,CA,CA
66,90201,5.94,CA,CA
67,90210,10.13,CA,CA
68,90211,0.7,CA,CA
69,90212,0.96,CA,CA
70,90220,6.91,CA,CA
71,90221,5.33,CA,CA
72,90222,2.56,CA,CA
73,90230,4.51,CA,CA
74,90232,2.11,CA,CA
75,90240,2.94,CA,CA
76,90241,4.93,CA,CA
77,90242,4.55,CA,CA
78,90245,5.46,CA,CA
79,90247,3.75,CA,CA
80,90248,4.69,CA,CA
81,90249,2.98,CA,CA
82,90250,6.7,CA,CA
83,90254,1.43,CA,CA
84,90255,3.72,CA,CA
85,90260,2.68,CA,CA
86,90261,62.12257105089233,CA,CA
87,90262,4.83,CA,CA
88,90265,107.79,CA,CA
89,90266,3.94,CA,CA
90,90270,1.26,CA,CA
91,90272,22.83,CA,CA
92,90274,11.97,CA,CA
93,90275,13.52,CA,CA
94,90277,3.58,CA,CA
95,90278,3.6,CA,CA
96,90280,7.31,CA,CA
97,90290,20.05,CA,CA
98,90291,2.5,CA,CA
99,90292,2.04,CA,CA
100,90293,2.86,CA,CA
101,90301,2.48,CA,CA
102,90302,1.89,CA,CA
103,90303,2.22,CA,CA
104,90304,1.57,CA,CA
105,90305,2.32,CA,CA
106,90311,62.12257105089233,CA,CA
107,90401,0.85,CA,CA
108,90402,2.0,CA,CA
109,90403,1.43,CA,CA
110,90404,1.99,CA,CA
111,90405,2.65,CA,CA
112,90501,5.62,CA,CA
113,90502,2.23,CA,CA
114,90503,5.3,CA,CA
115,90504,4.45,CA,CA
116,90505,5.79,CA,CA
117,90506,62.12257105089233,CA,CA
118,90601,11.35,CA,CA
119,90602,3.71,CA,CA
120,90603,3.27,CA,CA
121,90604,4.26,CA,CA
122,90605,5.65,CA,CA
123,90606,3.78,CA,CA
124,90620,6.39,CA,CA
125,90621,4.14,CA,CA
126,90623,1.81,CA,CA
