,Zipcode,Area,State,Region
0,32003,15.83,FL,FL
1,32008,138.09,FL,FL
2,32009,86.03,FL,FL
3,32011,173.49,FL,FL
4,32024,143.03,FL,FL
5,32025,97.44,FL,FL
6,32033,77.01,FL,FL
7,32034,56.69,FL,FL
8,32038,107.25,FL,FL
9,32040,121.74,FL,FL
10,32043,202.75,FL,FL
11,32044,23.31,FL,FL
12,32046,193.04,FL,FL
13,32052,276.0,FL,FL
14,32053,123.17,FL,FL
15,32054,214.06,FL,FL
16,32055,187.57,FL,FL
17,32058,72.15,FL,FL
18,32059,118.33,FL,FL
19,32060,396.09,FL,FL
20,32061,48.288357221609665,FL,FL
21,32062,61.67,FL,FL
22,32063,102.2,FL,FL
23,32064,7.7,FL,FL
24,32065,17.44,FL,FL
25,32066,276.9,FL,FL
26,32068,101.09,FL,FL
27,32071,105.62,FL,FL
28,32073,16.42,FL,FL
29,32080,15.56,FL,FL
30,32081,38.21,FL,FL
31,32082,33.25,FL,FL
32,32083,40.11,FL,FL
33,32084,47.61,FL,FL
34,32086,65.8,FL,FL
35,32087,135.05,FL,FL
36,32091,133.42,FL,FL
37,32092,125.94,FL,FL
38,32094,57.85,FL,FL
39,32095,49.83,FL,FL
40,32096,162.42,FL,FL
41,32097,132.81,FL,FL
42,32099,48.288357221609665,FL,FL
43,32102,62.95,FL,FL
44,32110,263.62,FL,FL
45,32112,52.97,FL,FL
46,32113,78.85,FL,FL
47,32114,16.92,FL,FL
48,32117,11.31,FL,FL
49,32118,4.24,FL,FL
50,32119,7.83,FL,FL
51,32124,45.15,FL,FL
52,32127,15.86,FL,FL
53,32128,33.44,FL,FL
54,32129,7.44,FL,FL
55,32130,92.32,FL,FL
56,32131,33.65,FL,FL
57,32132,7.43,FL,FL
58,32134,240.12,FL,FL
59,32136,18.87,FL,FL
60,32137,59.26,FL,FL
61,32139,11.95,FL,FL
62,32140,27.48,FL,FL
63,32141,23.52,FL,FL
64,32145,92.4,FL,FL
65,32148,84.53,FL,FL
66,32159,31.77,FL,FL
67,32162,23.13,FL,FL
68,32163,48.288357221609665,FL,FL
69,32164,33.35,FL,FL
70,32168,164.08,FL,FL
71,32169,14.76,FL,FL
72,32174,123.42,FL,FL
73,32176,5.25,FL,FL
74,32177,238.58,FL,FL
75,32179,68.77,FL,FL
76,32180,107.08,FL,FL
77,32181,25.05,FL,FL
78,32187,23.77,FL,FL
79,32189,24.41,FL,FL
80,32190,31.65,FL,FL
81,32193,7.94,FL,FL
82,32195,21.14,FL,FL
83,32202,1.98,FL,FL
84,32204,2.72,FL,FL
85,32205,7.59,FL,FL
86,32206,6.16,FL,FL
87,32207,11.53,FL,FL
88,32208,11.62,FL,FL
89,32209,9.33,FL,FL
90,32210,20.15,FL,FL
91,32211,8.24,FL,FL
92,32212,48.288357221609665,FL,FL
93,32216,12.57,FL,FL
94,32217,5.28,FL,FL
95,32218,96.67,FL,FL
96,32219,53.43,FL,FL
97,32220,61.35,FL,FL
98,32221,35.93,FL,FL
99,32222,11.55,FL,FL
100,32223,11.48,FL,FL
101,32224,21.1,FL,FL
102,32225,26.42,FL,FL
103,32226,85.5,FL,FL
104,32227,48.288357221609665,FL,FL
105,32233,10.19,FL,FL
106,32234,129.52,FL,FL
107,32244,23.58,FL,FL
108,32246,18.95,FL,FL
109,32250,8.61,FL,FL
110,32254,12.39,FL,FL
111,32256,63.35,FL,FL
112,32257,12.2,FL,FL
113,32258,18.69,FL,FL
114,32259,54.69,FL,FL
115,32266,2.33,FL,FL
116,32267,48.288357221609665,FL,FL
117,32277,7.17,FL,FL
118,32301,10.34,FL,FL
119,32303,35.49,FL,FL
120,32304,15.67,FL,FL
121,32305,89.61,FL,FL
122,32308,14.76,FL,FL
123,32309,111.07,FL,FL
124,32310,105.5,FL,FL
125,32311,44.62,FL,FL
126,32312,104.28,FL,FL
127,32317,38.25,FL,FL
128,32320,39.91,FL,FL
129,32321,406.66,FL,FL
130,32322,71.85,FL,FL
131,32324,69.95,FL,FL
132,32327,231.2,FL,FL
133,32328,112.26,FL,FL
134,32331,290.78,FL,FL
135,32332,4.55,FL,FL
136,32333,105.85,FL,FL
137,32334,165.32,FL,FL
138,32336,181.12,FL,FL
139,32340,233.35,FL,FL
140,32343,26.51,FL,FL
141,32344,515.22,FL,FL
142,32346,33.05,FL,FL
143,32347,105.78,FL,FL
144,32348,318.57,FL,FL
145,32350,51.19,FL,FL
146,32351,209.47,FL,FL
147,32352,96.63,FL,FL
148,32358,156.51,FL,FL
149,32359,156.56,FL,FL
150,32401,10.7,FL,FL
151,32403,48.288357221609665,FL,FL
152,32404,128.82,FL,FL
153,32405,18.99,FL,FL
154,32407,13.87,FL,FL
155,32408,10.56,FL,FL
156,32409,75.64,FL,FL
157,32413,73.09,FL,FL
158,32420,52.34,FL,FL
159,32421,137.24,FL,FL
160,32423,65.41,FL,FL
161,32424,156.55,FL,FL
162,32425,268.28,FL,FL
163,32426,48.54,FL,FL
164,32427,45.45,FL,FL
165,32428,280.63,FL,FL
166,32430,83.11,FL,FL
167,32431,106.21,FL,FL
168,32433,258.94,FL,FL
169,32435,129.25,FL,FL
170,32437,35.18,FL,FL
171,32438,62.84,FL,FL
172,32439,102.52,FL,FL
173,32440,104.42,FL,FL
174,32442,93.65,FL,FL
175,32443,59.02,FL,FL
176,32444,9.39,FL,FL
177,32445,26.04,FL,FL
178,32446,162.87,FL,FL
179,32448,184.81,FL,FL
180,32449,50.0,FL,FL
181,32455,232.02,FL,FL
182,32456,82.14,FL,FL
183,32459,54.72,FL,FL
184,32460,74.13,FL,FL
185,32461,48.288357221609665,FL,FL
186,32462,153.38,FL,FL
187,32464,170.37,FL,FL
188,32465,236.42,FL,FL
189,32466,113.49,FL,FL
190,32501,3.8,FL,FL
191,32502,2.3,FL,FL
192,32503,12.3,FL,FL
193,32504,10.7,FL,FL
194,32505,13.55,FL,FL
195,32506,32.45,FL,FL
196,32507,25.2,FL,FL
197,32508,48.288357221609665,FL,FL
198,32514,19.51,FL,FL
199,32526,58.16,FL,FL
200,32531,217.41,FL,FL
201,32533,74.86,FL,FL
202,32534,9.71,FL,FL
203,32535,71.66,FL,FL
204,32536,46.58,FL,FL
205,32539,121.63,FL,FL
