,tract,year,16+_Pop,16+_Labor,16+_Employed
0,6001400100,2016,2652.0,1643.0,1568.0
1,6001400100,2017,2624.0,1608.0,1543.0
2,6001400100,2018,2676.0,1669.0,1578.0
3,6001400100,2019,2668.0,1680.0,1596.0
4,6001400100,2020,1346.0,870.0,854.0
5,6001400100,2021,1445.6666666666667,1003.3333333333334,979.0
6,6001400100,2022,1545.3333333333333,1136.6666666666667,1104.0
7,6001400200,2016,1645.0,1270.0,1229.0
8,6001400200,2017,1652.0,1278.0,1231.0
9,6001400200,2018,1668.0,1264.0,1211.0
10,6001400200,2019,1654.0,1226.0,1189.0
11,6001400200,2020,1669.0,1234.0,1136.0
12,6001400200,2021,2554.6666666666665,1956.6666666666665,1823.3333333333335
13,6001400200,2022,3440.333333333333,2679.333333333333,2510.666666666667
14,6001400300,2016,4326.0,3402.0,3198.0
15,6001400300,2017,4301.0,3400.0,3213.0
16,6001400300,2018,4233.0,3285.0,3122.0
17,6001400300,2019,4302.0,3342.0,3211.0
18,6001400300,2020,4317.0,3273.0,3162.0
19,6001400300,2021,4055.0,3074.6666666666665,2962.6666666666665
20,6001400300,2022,3793.0,2876.3333333333335,2763.3333333333335
21,6001400400,2016,3531.0,2678.0,2564.0
22,6001400400,2017,3370.0,2630.0,2499.0
23,6001400400,2018,3224.0,2528.0,2454.0
24,6001400400,2019,3306.0,2611.0,2545.0
25,6001400400,2020,3361.0,2602.0,2536.0
26,6001400400,2021,3327.0,2583.0,2511.6666666666665
27,6001400400,2022,3293.0,2564.0,2487.3333333333335
28,6001400500,2016,3259.0,2545.0,2463.0
29,6001400500,2017,3352.0,2656.0,2587.0
30,6001400500,2018,3242.0,2584.0,2469.0
31,6001400500,2019,3548.0,2825.0,2718.0
32,6001400500,2020,3588.0,2656.0,2487.0
33,6001400500,2021,2878.6666666666665,2142.6666666666665,1995.3333333333333
34,6001400500,2022,2169.333333333333,1629.3333333333333,1503.6666666666665
35,6001400600,2016,1460.0,1116.0,1012.0
36,6001400600,2017,1410.0,1086.0,1015.0
37,6001400600,2018,1417.0,1171.0,1084.0
38,6001400600,2019,1519.0,1273.0,1178.0
39,6001400600,2020,1554.0,1274.0,1203.0
40,6001400600,2021,2351.3333333333335,1753.3333333333333,1630.3333333333333
41,6001400600,2022,3148.666666666667,2232.6666666666665,2057.6666666666665
42,6001400700,2016,3946.0,2712.0,2485.0
43,6001400700,2017,4213.0,2988.0,2774.0
44,6001400700,2018,4440.0,3216.0,3038.0
45,6001400700,2019,4467.0,3496.0,3253.0
46,6001400700,2020,4272.0,3560.0,3348.0
47,6001400700,2021,3888.3333333333335,3138.6666666666665,2927.6666666666665
48,6001400700,2022,3504.6666666666665,2717.3333333333335,2507.3333333333335
49,6001400800,2016,3121.0,2296.0,2087.0
50,6001400800,2017,3310.0,2451.0,2244.0
51,6001400800,2018,3313.0,2483.0,2302.0
52,6001400800,2019,3458.0,2597.0,2450.0
53,6001400800,2020,3388.0,2622.0,2508.0
54,6001400800,2021,2890.0,2226.3333333333335,2129.6666666666665
55,6001400800,2022,2392.0,1830.6666666666665,1751.3333333333335
56,6001400900,2016,1894.0,1435.0,1373.0
57,6001400900,2017,2023.0,1539.0,1425.0
58,6001400900,2018,2047.0,1540.0,1430.0
59,6001400900,2019,2033.0,1566.0,1480.0
60,6001400900,2020,2408.0,2048.0,1944.0
61,6001400900,2021,3414.0,2683.3333333333335,2503.0
62,6001400900,2022,4420.0,3318.666666666667,3062.0
63,6001401000,2016,5426.0,3954.0,3621.0
64,6001401000,2017,5356.0,3784.0,3522.0
65,6001401000,2018,5203.0,3875.0,3597.0
66,6001401000,2019,5348.0,4158.0,3952.0
67,6001401000,2020,5374.0,4326.0,4045.0
68,6001401000,2021,4878.0,3944.6666666666665,3655.3333333333335
69,6001401000,2022,4382.0,3563.3333333333335,3265.6666666666665
70,6001401100,2016,3886.0,3182.0,2876.0
71,6001401100,2017,3899.0,3295.0,2995.0
72,6001401100,2018,4003.0,3427.0,3222.0
73,6001401100,2019,3826.0,3271.0,3151.0
74,6001401100,2020,3755.0,3169.0,2975.0
75,6001401100,2021,3270.0,2749.0,2549.0
76,6001401100,2022,2785.0,2329.0,2123.0
77,6001401200,2016,2300.0,1909.0,1697.0
78,6001401200,2017,2286.0,1852.0,1693.0
79,6001401200,2018,2304.0,1935.0,1828.0
80,6001401200,2019,2312.0,1938.0,1850.0
81,6001401200,2020,2363.0,1932.0,1809.0
82,6001401200,2021,2842.0,2133.3333333333335,1931.3333333333333
83,6001401200,2022,3321.0,2334.6666666666665,2053.6666666666665
84,6001401300,2016,3800.0,2536.0,2176.0
85,6001401300,2017,3860.0,2632.0,2291.0
86,6001401300,2018,3671.0,2441.0,2258.0
87,6001401300,2019,3671.0,2486.0,2343.0
88,6001401300,2020,3614.0,2524.0,2378.0
89,6001401300,2021,3521.3333333333335,2349.0,2173.6666666666665
90,6001401300,2022,3428.6666666666665,2174.0,1969.3333333333333
91,6001401400,2016,3336.0,1999.0,1765.0
92,6001401400,2017,3454.0,2121.0,1939.0
93,6001401400,2018,3918.0,2494.0,2330.0
94,6001401400,2019,4182.0,2879.0,2692.0
95,6001401400,2020,4317.0,3134.0,2880.0
96,6001401400,2021,3673.3333333333335,2643.0,2407.0
97,6001401400,2022,3029.666666666667,2152.0,1934.0
98,6001401500,2016,2386.0,1661.0,1461.0
99,6001401500,2017,2416.0,1688.0,1531.0
100,6001401500,2018,2461.0,1716.0,1601.0
101,6001401500,2019,2540.0,1779.0,1658.0
102,6001401500,2020,2512.0,1798.0,1639.0
103,6001401500,2021,2242.0,1593.3333333333333,1465.0
104,6001401500,2022,1972.0,1388.6666666666667,1291.0
105,6001401600,2016,1702.0,1184.0,1117.0
106,6001401600,2017,1736.0,1287.0,1207.0
107,6001401600,2018,1982.0,1489.0,1389.0
108,6001401600,2019,2007.0,1506.0,1368.0
109,6001401600,2020,1894.0,1402.0,1234.0
110,6001401600,2021,1997.3333333333333,1464.0,1310.0
111,6001401600,2022,2100.6666666666665,1526.0,1386.0
