,tract,year,median_income,state_code,state,county
0,06001400100,2016,177417.0,06,CA,001
1,06001400100,2017,208393.0,06,CA,001
2,06001400100,2018,200893.0,06,CA,001
3,06001400100,2019,219861.0,06,CA,001
4,06001400100,2020,214500.0,06,CA,001
5,06001400100,2021,192785.5,06,CA,001
6,06001400100,2022,171071.0,06,CA,001
7,06001400200,2016,149356.5,06,CA,001
8,06001400200,2017,144444.5,06,CA,001
9,06001400200,2018,175255.0,06,CA,001
10,06001400200,2019,200041.5,06,CA,001
11,06001400200,2020,205371.0,06,CA,001
12,06001400200,2021,165169.16666666666,06,CA,001
13,06001400200,2022,124967.33333333331,06,CA,001
14,06001400300,2016,84765.5,06,CA,001
15,06001400300,2017,93833.0,06,CA,001
16,06001400300,2018,125329.0,06,CA,001
17,06001400300,2019,131015.0,06,CA,001
18,06001400300,2020,119981.5,06,CA,001
19,06001400300,2021,112327.33333333331,06,CA,001
20,06001400300,2022,104673.16666666669,06,CA,001
21,06001400400,2016,97019.0,06,CA,001
22,06001400400,2017,103654.0,06,CA,001
23,06001400400,2018,118125.0,06,CA,001
24,06001400400,2019,135278.0,06,CA,001
25,06001400400,2020,130735.0,06,CA,001
26,06001400400,2021,113069.33333333331,06,CA,001
27,06001400400,2022,95403.66666666666,06,CA,001
28,06001400500,2016,77738.0,06,CA,001
29,06001400500,2017,80804.0,06,CA,001
30,06001400500,2018,104231.0,06,CA,001
31,06001400500,2019,109833.0,06,CA,001
32,06001400500,2020,97039.0,06,CA,001
33,06001400500,2021,86226.66666666667,06,CA,001
34,06001400500,2022,75414.33333333333,06,CA,001
35,06001400600,2016,64602.0,06,CA,001
36,06001400600,2017,91975.5,06,CA,001
37,06001400600,2018,131190.5,06,CA,001
38,06001400600,2019,139479.0,06,CA,001
39,06001400600,2020,140902.5,06,CA,001
40,06001400600,2021,109276.83333333331,06,CA,001
41,06001400600,2022,77651.16666666666,06,CA,001
42,06001400700,2016,46025.5,06,CA,001
43,06001400700,2017,56354.5,06,CA,001
44,06001400700,2018,79539.0,06,CA,001
45,06001400700,2019,86846.5,06,CA,001
46,06001400700,2020,87812.5,06,CA,001
47,06001400700,2021,78958.33333333333,06,CA,001
48,06001400700,2022,70104.16666666667,06,CA,001
49,06001400800,2016,61250.0,06,CA,001
50,06001400800,2017,65481.0,06,CA,001
51,06001400800,2018,66316.0,06,CA,001
52,06001400800,2019,77188.0,06,CA,001
53,06001400800,2020,78636.0,06,CA,001
54,06001400800,2021,74294.83333333333,06,CA,001
55,06001400800,2022,69953.66666666667,06,CA,001
56,06001400900,2016,65612.5,06,CA,001
57,06001400900,2017,68472.0,06,CA,001
58,06001400900,2018,76021.0,06,CA,001
59,06001400900,2019,77941.0,06,CA,001
60,06001400900,2020,82756.0,06,CA,001
61,06001400900,2021,72332.66666666667,06,CA,001
62,06001400900,2022,61909.33333333333,06,CA,001
63,06001401000,2016,51486.0,06,CA,001
64,06001401000,2017,77625.0,06,CA,001
65,06001401000,2018,76250.0,06,CA,001
66,06001401000,2019,83832.0,06,CA,001
67,06001401000,2020,99435.0,06,CA,001
68,06001401000,2021,89967.0,06,CA,001
69,06001401000,2022,80499.0,06,CA,001
70,06001401100,2016,71031.0,06,CA,001
71,06001401100,2017,82427.5,06,CA,001
72,06001401100,2018,91834.0,06,CA,001
73,06001401100,2019,95428.5,06,CA,001
74,06001401100,2020,81649.0,06,CA,001
75,06001401100,2021,84313.66666666667,06,CA,001
76,06001401100,2022,86978.33333333333,06,CA,001
77,06001401200,2016,89643.0,06,CA,001
78,06001401200,2017,91250.0,06,CA,001
79,06001401200,2018,107344.0,06,CA,001
80,06001401200,2019,108125.0,06,CA,001
81,06001401200,2020,102371.0,06,CA,001
82,06001401200,2021,80988.66666666667,06,CA,001
83,06001401200,2022,59606.333333333336,06,CA,001
84,06001401300,2016,38224.0,06,CA,001
85,06001401300,2017,50313.0,06,CA,001
86,06001401300,2018,50568.0,06,CA,001
87,06001401300,2019,73750.0,06,CA,001
88,06001401300,2020,88988.0,06,CA,001
89,06001401300,2021,68263.66666666667,06,CA,001
90,06001401300,2022,47539.333333333336,06,CA,001
91,06001401400,2016,26815.0,06,CA,001
92,06001401400,2017,31392.0,06,CA,001
93,06001401400,2018,39500.0,06,CA,001
94,06001401400,2019,44275.5,06,CA,001
95,06001401400,2020,65547.0,06,CA,001
96,06001401400,2021,61144.0,06,CA,001
97,06001401400,2022,56741.0,06,CA,001
98,06001401500,2016,52338.0,06,CA,001
99,06001401500,2017,67455.5,06,CA,001
100,06001401500,2018,84798.5,06,CA,001
101,06001401500,2019,78125.0,06,CA,001
102,06001401500,2020,79198.0,06,CA,001
103,06001401500,2021,65481.0,06,CA,001
104,06001401500,2022,51764.0,06,CA,001
