,tract,year,median_income
0,6001400100,2016,177417.0
1,6001400100,2017,208393.0
2,6001400100,2018,200893.0
3,6001400100,2019,219861.0
4,6001400100,2020,214500.0
5,6001400100,2021,192785.5
6,6001400100,2022,171071.0
7,6001400200,2016,149356.5
8,6001400200,2017,144444.5
9,6001400200,2018,175255.0
10,6001400200,2019,200041.5
11,6001400200,2020,205371.0
12,6001400200,2021,165169.16666666666
13,6001400200,2022,124967.33333333333
14,6001400300,2016,84765.5
15,6001400300,2017,93833.0
16,6001400300,2018,125329.0
17,6001400300,2019,131015.0
18,6001400300,2020,119981.5
19,6001400300,2021,112327.33333333333
20,6001400300,2022,104673.16666666667
21,6001400400,2016,97019.0
22,6001400400,2017,103654.0
23,6001400400,2018,118125.0
24,6001400400,2019,135278.0
25,6001400400,2020,130735.0
26,6001400400,2021,113069.33333333333
27,6001400400,2022,95403.66666666666
28,6001400500,2016,77738.0
29,6001400500,2017,80804.0
30,6001400500,2018,104231.0
31,6001400500,2019,109833.0
32,6001400500,2020,97039.0
33,6001400500,2021,86226.66666666667
34,6001400500,2022,75414.33333333333
35,6001400600,2016,64602.0
36,6001400600,2017,91975.5
37,6001400600,2018,131190.5
38,6001400600,2019,139479.0
39,6001400600,2020,140902.5
40,6001400600,2021,109276.83333333333
41,6001400600,2022,77651.16666666666
42,6001400700,2016,46025.5
43,6001400700,2017,56354.5
44,6001400700,2018,79539.0
45,6001400700,2019,86846.5
46,6001400700,2020,87812.5
47,6001400700,2021,78958.33333333333
48,6001400700,2022,70104.16666666667
49,6001400800,2016,61250.0
50,6001400800,2017,65481.0
51,6001400800,2018,66316.0
52,6001400800,2019,77188.0
53,6001400800,2020,78636.0
54,6001400800,2021,74294.83333333333
55,6001400800,2022,69953.66666666667
56,6001400900,2016,65612.5
57,6001400900,2017,68472.0
58,6001400900,2018,76021.0
59,6001400900,2019,77941.0
60,6001400900,2020,82756.0
61,6001400900,2021,72332.66666666667
62,6001400900,2022,61909.33333333333
63,6001401000,2016,51486.0
64,6001401000,2017,77625.0
65,6001401000,2018,76250.0
66,6001401000,2019,83832.0
67,6001401000,2020,99435.0
68,6001401000,2021,89967.0
69,6001401000,2022,80499.0
70,6001401100,2016,71031.0
71,6001401100,2017,82427.5
72,6001401100,2018,91834.0
73,6001401100,2019,95428.5
74,6001401100,2020,81649.0
75,6001401100,2021,84313.66666666667
76,6001401100,2022,86978.33333333333
77,6001401200,2016,89643.0
78,6001401200,2017,91250.0
79,6001401200,2018,107344.0
80,6001401200,2019,108125.0
81,6001401200,2020,102371.0
82,6001401200,2021,80988.66666666667
83,6001401200,2022,59606.333333333336
84,6001401300,2016,38224.0
85,6001401300,2017,50313.0
86,6001401300,2018,50568.0
87,6001401300,2019,73750.0
88,6001401300,2020,88988.0
89,6001401300,2021,68263.66666666667
