,tract,year,16+_Pop,16+_Labor,16+_Employed
0,12001000200,2016,7228.0,3465.0,3012.0
1,12001000200,2017,6681.0,3151.0,2923.0
2,12001000200,2018,6534.0,3140.0,2913.0
3,12001000200,2019,7399.0,4067.0,3851.0
4,12001000200,2020,6360.75,3581.5,3356.5
5,12001000200,2021,5322.5,3096.0,2862.0
6,12001000200,2022,4284.25,2610.5,2367.5
7,12001000301,2016,3246.0,2125.0,1873.0
8,12001000301,2017,3499.0,2397.0,2161.0
9,12001000301,2018,3871.0,2646.0,2417.0
10,12001000301,2019,3898.0,2504.0,2397.0
11,12001000301,2020,3601.0,2353.0,2252.0
12,12001000301,2021,3095.0,1994.0,1841.0
13,12001000301,2022,2589.0,1635.0,1430.0
14,12001000302,2016,2083.0,1276.0,1019.0
15,12001000302,2017,2047.0,1241.0,1064.0
16,12001000302,2018,1967.0,1259.0,1103.0
17,12001000302,2019,1960.0,1174.0,1078.0
18,12001000302,2020,1896.0,1038.0,1019.0
19,12001000302,2021,2563.6666666666665,1477.0,1380.6666666666667
20,12001000302,2022,3231.333333333333,1916.0,1742.3333333333335
21,12001000400,2016,3899.0,2355.0,2104.0
22,12001000400,2017,4258.0,2565.0,2333.0
23,12001000400,2018,4711.0,3107.0,2846.0
24,12001000400,2019,4409.0,3199.0,2951.0
25,12001000400,2020,4498.0,3180.0,2906.0
26,12001000400,2021,4463.0,3133.0,2811.0
27,12001000400,2022,4428.0,3086.0,2716.0
28,12001000500,2016,4393.0,3039.0,2621.0
29,12001000500,2017,4647.0,3286.0,2825.0
30,12001000500,2018,4560.0,3265.0,3076.0
31,12001000500,2019,4381.0,3184.0,3079.0
32,12001000500,2020,4097.0,3149.0,3081.0
33,12001000500,2021,3828.6666666666665,2695.6666666666665,2516.3333333333335
34,12001000500,2022,3560.3333333333335,2242.3333333333335,1951.6666666666667
35,12001000600,2016,3292.0,1789.0,1387.0
36,12001000600,2017,3555.0,1977.0,1541.0
37,12001000600,2018,3835.0,2181.0,1776.0
38,12001000600,2019,3361.0,2090.0,1875.0
39,12001000600,2020,3701.0,1980.0,1783.0
40,12001000600,2021,4226.333333333333,2192.0,1925.6666666666667
41,12001000600,2022,4751.666666666667,2404.0,2068.3333333333335
42,12001000700,2016,5277.0,2616.0,2211.0
43,12001000700,2017,5176.0,2526.0,2197.0
44,12001000700,2018,5284.0,2822.0,2520.0
45,12001000700,2019,5671.0,3103.0,2778.0
46,12001000700,2020,5581.0,3156.0,2949.0
47,12001000700,2021,4343.0,2434.3333333333335,2265.0
48,12001000700,2022,3105.0,1712.6666666666667,1581.0
49,12001000806,2016,1867.0,991.0,897.0
50,12001000806,2017,1993.0,1082.0,989.0
51,12001000806,2018,2268.0,1304.0,1197.0
52,12001000806,2019,2301.0,1278.0,1200.0
53,12001000806,2020,1114.0,516.0,478.0
54,12001000806,2021,1968.3333333333335,1203.3333333333335,1129.0
55,12001000806,2022,2822.666666666667,1890.6666666666667,1780.0
56,12001000808,2016,3677.0,2578.0,2431.0
57,12001000808,2017,3093.0,2202.0,2066.0
58,12001000808,2018,2930.0,1974.0,1790.0
59,12001000808,2019,3000.0,2053.0,1923.0
60,12001000808,2020,2755.0,2123.0,2002.0
61,12001000808,2021,2214.0,1626.6666666666667,1528.6666666666667
62,12001000808,2022,1673.0,1130.3333333333335,1055.3333333333335
63,12001000809,2016,1132.0,634.0,582.0
64,12001000809,2017,1146.0,593.0,547.0
65,12001000809,2018,1159.0,598.0,545.0
66,12001000809,2019,1181.0,602.0,569.0
67,12001000809,2020,1049.0,632.0,606.0
68,12001000809,2021,2396.0,842.3333333333334,754.6666666666666
69,12001000809,2022,3743.0,1052.6666666666667,903.3333333333333
70,12001000901,2016,5090.0,1263.0,1052.0
71,12001000901,2017,4961.0,1213.0,1009.0
72,12001000901,2018,4704.0,1160.0,1003.0
73,12001000901,2019,4251.0,1095.0,973.0
74,12001000901,2020,3466.0,1008.0,935.0
75,12001000901,2021,4517.333333333333,1151.0,999.3333333333334
76,12001000901,2022,5568.666666666666,1294.0,1063.6666666666667
77,12001000902,2016,6620.0,1437.0,1128.0
78,12001000902,2017,6634.0,1386.0,1103.0
79,12001000902,2018,6733.0,1431.0,1136.0
80,12001000902,2019,6684.0,1379.0,1150.0
81,12001000902,2020,6681.0,1454.0,1277.0
82,12001000902,2021,6347.333333333333,1997.3333333333335,1851.0
83,12001000902,2022,6013.666666666667,2540.666666666667,2425.0
84,12001001000,2016,5680.0,3084.0,2999.0
85,12001001000,2017,5376.0,2805.0,2690.0
86,12001001000,2018,5223.0,2827.0,2639.0
87,12001001000,2019,5328.0,2815.0,2614.0
88,12001001000,2020,5369.0,3135.0,2823.0
89,12001001000,2021,5560.333333333333,3176.6666666666665,2943.3333333333335
90,12001001000,2022,5751.666666666667,3218.3333333333335,3063.6666666666665
91,12001001100,2016,5943.0,3260.0,3184.0
92,12001001100,2017,5624.0,3160.0,3104.0
93,12001001100,2018,5676.0,3285.0,3247.0
94,12001001100,2019,5576.0,3330.0,3250.0
95,12001001100,2020,5364.0,3476.0,3415.0
96,12001001100,2021,4472.333333333333,2922.0,2872.0
97,12001001100,2022,3580.666666666667,2368.0,2329.0
98,12001001201,2016,2689.0,1814.0,1786.0
99,12001001201,2017,2999.0,2056.0,1977.0
100,12001001201,2018,2912.0,1939.0,1827.0
