,tract,year,median_income
0,12001000200,2016,31046.5
1,12001000200,2017,14232.0
2,12001000200,2018,18391.0
3,12001000200,2019,19241.0
4,12001000200,2020,21387.75
5,12001000200,2021,23534.5
6,12001000200,2022,25681.25
7,12001000301,2016,27828.0
8,12001000301,2017,29579.0
9,12001000301,2018,34364.0
10,12001000301,2019,33673.5
11,12001000301,2020,37240.5
12,12001000301,2021,37819.333333333336
13,12001000301,2022,38398.166666666664
14,12001000302,2016,38977.0
15,12001000302,2017,37396.0
16,12001000302,2018,38011.0
17,12001000302,2019,38224.0
18,12001000302,2020,39375.0
19,12001000302,2021,36804.333333333336
20,12001000302,2022,34233.666666666664
21,12001000400,2016,31663.0
22,12001000400,2017,36394.0
23,12001000400,2018,46012.0
24,12001000400,2019,44617.5
25,12001000400,2020,42474.0
26,12001000400,2021,42899.333333333336
27,12001000400,2022,43324.666666666664
28,12001000500,2016,43750.0
29,12001000500,2017,32857.0
30,12001000500,2018,32917.0
31,12001000500,2019,32763.0
32,12001000500,2020,33725.0
33,12001000500,2021,31083.333333333332
34,12001000500,2022,28441.666666666668
35,12001000600,2016,25800.0
36,12001000600,2017,26481.0
37,12001000600,2018,28464.0
38,12001000600,2019,30798.0
39,12001000600,2020,24381.0
40,12001000600,2021,26025.833333333332
41,12001000600,2022,27670.666666666668
42,12001000700,2016,29315.5
43,12001000700,2017,31292.5
44,12001000700,2018,38697.0
45,12001000700,2019,37379.5
46,12001000700,2020,41316.0
47,12001000700,2021,34546.333333333336
48,12001000700,2022,27776.666666666664
49,12001000806,2016,21007.0
50,12001000806,2017,18952.0
51,12001000806,2018,21688.0
52,12001000806,2019,21456.0
53,12001000806,2020,24773.0
54,12001000806,2021,28182.0
55,12001000806,2022,31591.0
56,12001000808,2016,35000.0
57,12001000808,2017,33667.0
58,12001000808,2018,30425.0
59,12001000808,2019,38107.0
60,12001000808,2020,33420.5
61,12001000808,2021,32662.333333333332
62,12001000808,2022,31904.166666666668
63,12001000809,2016,31146.0
64,12001000809,2017,36200.0
65,12001000809,2018,35647.0
66,12001000809,2019,38148.0
67,12001000809,2020,32411.0
68,12001000809,2021,28310.333333333332
69,12001000809,2022,24209.666666666664
70,12001000901,2016,20109.0
71,12001000901,2017,20389.0
72,12001000901,2018,21894.0
73,12001000901,2019,23010.0
74,12001000901,2020,23397.0
75,12001000901,2021,26658.666666666668
76,12001000901,2022,29920.333333333332
77,12001000902,2016,33182.0
78,12001000902,2017,21806.0
79,12001000902,2018,22000.0
80,12001000902,2019,12249.5
81,12001000902,2020,2499.0
82,12001000902,2021,20196.166666666668
83,12001000902,2022,37893.333333333336
84,12001001000,2016,55590.5
85,12001001000,2017,57721.0
86,12001001000,2018,68631.0
87,12001001000,2019,84844.0
88,12001001000,2020,53445.0
89,12001001000,2021,61671.666666666664
90,12001001000,2022,69898.33333333333
91,12001001100,2016,78125.0
92,12001001100,2017,71711.0
93,12001001100,2018,70485.5
94,12001001100,2019,74250.5
95,12001001100,2020,86506.5
96,12001001100,2021,79237.66666666667
97,12001001100,2022,71968.83333333333
98,12001001201,2016,64700.0
99,12001001201,2017,70884.0
100,12001001201,2018,69904.0
101,12001001201,2019,65543.0
102,12001001201,2020,55208.0
103,12001001201,2021,53951.5
104,12001001201,2022,52695.0
105,12001001202,2016,51438.5
106,12001001202,2017,49863.0
107,12001001202,2018,65333.0
108,12001001202,2019,68176.0
109,12001001202,2020,70109.0
110,12001001202,2021,59818.666666666664
111,12001001202,2022,49528.33333333333
112,12001001203,2016,39238.0
113,12001001203,2017,40066.0
114,12001001203,2018,48193.0
115,12001001203,2019,48462.5
116,12001001203,2020,44181.0
117,12001001203,2021,42829.0
118,12001001203,2022,41477.0
119,12001001400,2016,40125.0
120,12001001400,2017,42794.0
121,12001001400,2018,44717.0
122,12001001400,2019,43523.0
123,12001001400,2020,46745.0
124,12001001400,2021,38194.666666666664
125,12001001400,2022,29644.333333333332
126,12001001514,2016,21094.0
127,12001001514,2017,22336.0
128,12001001514,2018,27171.0
129,12001001514,2019,30145.0
130,12001001514,2020,27188.0
131,12001001514,2021,23759.666666666668
132,12001001514,2022,20331.333333333332
133,12001001515,2016,16903.0
134,12001001515,2017,16250.0
135,12001001515,2018,17865.5
136,12001001515,2019,19703.0
137,12001001515,2020,21577.0
138,12001001515,2021,22940.166666666668
139,12001001515,2022,24303.333333333332
140,12001001516,2016,25666.5
141,12001001516,2017,15000.0
142,12001001516,2018,13445.5
143,12001001516,2019,20545.5
144,12001001516,2020,18394.5
145,12001001516,2021,18865.833333333332
146,12001001516,2022,19337.166666666668
147,12001001517,2016,19808.5
148,12001001517,2017,26240.5
149,12001001517,2018,25085.0
150,12001001517,2019,31174.0
151,12001001517,2020,25938.0
152,12001001517,2021,24375.333333333332
153,12001001517,2022,22812.666666666668
154,12001001519,2016,21250.0
155,12001001519,2017,20896.0
156,12001001519,2018,23611.0
157,12001001519,2019,24787.0
158,12001001519,2020,23103.0
159,12001001519,2021,21603.0
160,12001001519,2022,20103.0
161,12001001520,2016,18603.0
162,12001001520,2017,16792.0
163,12001001520,2018,11538.0
164,12001001520,2019,13864.0
165,12001001520,2020,16923.0
166,12001001520,2021,19982.0
167,12001001520,2022,23041.0
168,12001001521,2016,26100.0
169,12001001521,2017,25734.0
170,12001001521,2018,26967.0
171,12001001521,2019,30525.0
172,12001001521,2020,32815.75
173,12001001521,2021,35106.5
174,12001001521,2022,37397.25
175,12001001603,2016,39688.0
176,12001001603,2017,31480.0
177,12001001603,2018,34250.0
178,12001001603,2019,51750.0
179,12001001603,2020,46663.25
180,12001001603,2021,41576.5
181,12001001603,2022,36489.75
182,12001001604,2016,31403.0
183,12001001604,2017,33121.0
184,12001001604,2018,28798.5
185,12001001604,2019,26750.0
186,12001001604,2020,31930.125
187,12001001604,2021,37110.25
188,12001001604,2022,42290.375
189,12001001701,2016,47470.5
190,12001001701,2017,48681.5
191,12001001701,2018,48843.5
192,12001001701,2019,48831.5
193,12001001701,2020,95774.0
194,12001001701,2021,87469.16666666667
195,12001001701,2022,79164.33333333333
196,12001001702,2016,70859.5
197,12001001702,2017,90000.0
198,12001001702,2018,90875.0
199,12001001702,2019,101875.0
200,12001001702,2020,63403.0
201,12001001702,2021,59865.666666666664
202,12001001702,2022,56328.333333333336
203,12001001801,2016,52791.0
204,12001001801,2017,63942.0
205,12001001801,2018,63095.0
206,12001001801,2019,60417.0
207,12001001801,2020,52031.5
208,12001001801,2021,43646.0
209,12001001801,2022,35260.5
210,12001001802,2016,26875.0
211,12001001802,2017,22406.0
212,12001001802,2018,32228.0
213,12001001802,2019,32211.5
214,12001001802,2020,26496.5
215,12001001802,2021,32946.666666666664
216,12001001802,2022,39396.833333333336
217,12001001803,2016,45847.0
218,12001001803,2017,52454.5
219,12001001803,2018,48138.5
220,12001001803,2019,47757.5
221,12001001803,2020,59375.0
222,12001001803,2021,64676.0
223,12001001803,2022,69977.0
224,12001001805,2016,75278.0
225,12001001805,2017,82583.0
226,12001001805,2018,83382.0
227,12001001805,2019,84922.0
228,12001001805,2020,75445.25
229,12001001805,2021,65968.5
230,12001001805,2022,56491.75
231,12001001806,2016,47015.0
232,12001001806,2017,49071.0
233,12001001806,2018,53334.5
234,12001001806,2019,63145.0
235,12001001806,2020,62692.125
236,12001001806,2021,62239.25
237,12001001806,2022,61786.375
238,12001001811,2016,61333.5
239,12001001811,2017,62497.0
240,12001001811,2018,76375.0
241,12001001811,2019,69854.0
242,12001001811,2020,57631.5
243,12001001811,2021,68204.33333333333
244,12001001811,2022,78777.16666666667
245,12001001813,2016,89350.0
246,12001001813,2017,78947.0
247,12001001813,2018,91058.0
248,12001001813,2019,96638.0
249,12001001813,2020,92163.0
250,12001001813,2021,83563.33333333333
251,12001001813,2022,74963.66666666667
252,12001001814,2016,66364.0
253,12001001814,2017,67553.0
254,12001001814,2018,67875.0
255,12001001814,2019,82574.0
256,12001001814,2020,68369.125
257,12001001814,2021,54164.25
258,12001001814,2022,39959.375
259,12001001902,2016,25754.5
260,12001001902,2017,24602.5
261,12001001902,2018,25170.5
262,12001001902,2019,23955.0
263,12001001902,2020,22080.0
264,12001001902,2021,31595.0
265,12001001902,2022,41110.0
266,12001001907,2016,50625.0
267,12001001907,2017,49750.0
268,12001001907,2018,55179.0
269,12001001907,2019,50515.0
270,12001001907,2020,48207.0
271,12001001907,2021,44939.666666666664
272,12001001907,2022,41672.333333333336
273,12001001908,2016,38405.0
274,12001001908,2017,38902.0
275,12001001908,2018,45500.0
276,12001001908,2019,42986.0
277,12001001908,2020,42992.5
278,12001001908,2021,38923.333333333336
279,12001001908,2022,34854.166666666664
280,12001002000,2016,30785.0
281,12001002000,2017,40680.5
282,12001002000,2018,36624.5
283,12001002000,2019,42988.0
284,12001002000,2020,46819.125
285,12001002000,2021,50650.25
286,12001002000,2022,54481.375
287,12001002101,2016,58312.5
288,12001002101,2017,58740.0
289,12001002101,2018,64223.0
290,12001002101,2019,72111.0
291,12001002101,2020,67018.0
292,12001002101,2021,60561.0
293,12001002101,2022,54104.0
294,12001002102,2016,47647.0
295,12001002102,2017,44342.0
296,12001002102,2018,36250.0
297,12001002102,2019,33208.0
298,12001002102,2020,30764.0
299,12001002102,2021,41219.833333333336
300,12001002102,2022,51675.66666666667
301,12001002201,2016,62131.5
302,12001002201,2017,61675.5
303,12001002201,2018,62350.0
304,12001002201,2019,64084.5
305,12001002201,2020,67366.0
306,12001002201,2021,66491.66666666667
307,12001002201,2022,65617.33333333333
308,12001002202,2016,64743.0
309,12001002202,2017,79571.0
310,12001002202,2018,81917.0
311,12001002202,2019,77153.0
312,12001002202,2020,70573.0
313,12001002202,2021,75471.66666666667
314,12001002202,2022,80370.33333333333
315,12001002204,2016,85269.0
316,12001002204,2017,84827.0
317,12001002204,2018,99003.0
318,12001002204,2019,87260.0
319,12001002204,2020,77430.0
320,12001002204,2021,86034.5
321,12001002204,2022,94639.0
322,12001002205,2016,103243.5
323,12001002205,2017,88136.0
324,12001002205,2018,102021.0
325,12001002205,2019,96658.5
326,12001002205,2020,95387.25
327,12001002205,2021,94116.0
328,12001002205,2022,92844.75
329,12001002207,2016,91573.5
330,12001002207,2017,96472.0
331,12001002207,2018,98437.5
332,12001002207,2019,104700.5
333,12001002207,2020,114524.5
334,12001002207,2021,116954.83333333333
335,12001002207,2022,119385.16666666667
336,12001002208,2016,121815.5
337,12001002208,2017,108854.0
338,12001002208,2018,102434.5
339,12001002208,2019,111656.5
340,12001002208,2020,105247.5
341,12001002208,2021,87755.66666666667
342,12001002208,2022,70263.83333333334
343,12001002209,2016,52772.0
344,12001002209,2017,52348.0
345,12001002209,2018,77757.0
346,12001002209,2019,80625.0
347,12001002209,2020,125833.0
348,12001002209,2021,103740.66666666667
349,12001002209,2022,81648.33333333334
350,12001002210,2016,59556.0
351,12001002210,2017,64688.0
352,12001002210,2018,69500.0
353,12001002210,2019,68469.0
354,12001002210,2020,57125.0
355,12001002210,2021,48291.666666666664
356,12001002210,2022,39458.33333333333
357,12001002217,2016,30625.0
358,12001002217,2017,29872.0
359,12001002217,2018,29444.0
360,12001002217,2019,32337.0
361,12001002217,2020,40319.0
362,12001002217,2021,35539.666666666664
363,12001002217,2022,30760.333333333336
364,12001002218,2016,25981.0
365,12001002218,2017,31500.0
366,12001002218,2018,32164.5
367,12001002218,2019,33716.0
368,12001002218,2020,36414.0
369,12001002218,2021,37192.666666666664
370,12001002218,2022,37971.333333333336
371,12001002219,2016,38750.0
372,12001002219,2017,40565.0
373,12001002219,2018,41671.0
374,12001002219,2019,38750.0
375,12001002219,2020,44272.0
376,12001002219,2021,44991.0
377,12001002219,2022,45710.0
378,12001002220,2016,46429.0
379,12001002220,2017,42765.0
380,12001002220,2018,46042.0
381,12001002220,2019,49688.0
382,12001002220,2020,58859.0
383,12001002220,2021,58784.666666666664
384,12001002220,2022,58710.333333333336
385,12001110800,2016,58636.0
386,12001110800,2017,60455.0
387,12001110800,2018,64583.0
388,12001110800,2019,61875.0
389,12001110800,2020,76576.0
390,12001110800,2021,72358.0
391,12001110800,2022,68140.0
392,12003040101,2016,63922.0
393,12003040101,2017,64651.5
394,12003040101,2018,70197.0
395,12003040101,2019,62885.0
396,12003040101,2020,55431.0
397,12003040101,2021,50981.0
398,12003040101,2022,46531.0
399,12003040102,2016,42081.0
400,12003040102,2017,59146.0
401,12003040102,2018,64843.5
402,12003040102,2019,68867.0
403,12003040102,2020,57896.5
404,12003040102,2021,54046.0
405,12003040102,2022,50195.5
406,12003040201,2016,46345.0
407,12003040201,2017,62648.0
408,12003040201,2018,44614.0
409,12003040201,2019,66510.0
410,12003040201,2020,60596.0
411,12003040201,2021,61353.666666666664
412,12003040201,2022,62111.333333333336
413,12003040202,2016,62869.0
414,12003040202,2017,49538.0
415,12003040202,2018,58502.0
416,12003040202,2019,54830.0
417,12003040202,2020,61019.5
418,12003040202,2021,59338.333333333336
419,12003040202,2022,57657.166666666664
420,12005000201,2016,55976.0
421,12005000201,2017,58305.0
422,12005000201,2018,56062.5
423,12005000201,2019,66781.5
424,12005000201,2020,74663.5
425,12005000201,2021,67331.16666666667
426,12005000201,2022,59998.833333333336
427,12005000202,2016,52666.5
428,12005000202,2017,54781.0
429,12005000202,2018,57702.0
430,12005000202,2019,63938.0
431,12005000202,2020,55289.0
432,12005000202,2021,46640.0
433,12005000202,2022,37991.0
434,12005000300,2016,29342.0
435,12005000300,2017,31414.0
436,12005000300,2018,47321.0
437,12005000300,2019,49495.0
438,12005000300,2020,49032.875
439,12005000300,2021,48570.75
440,12005000300,2022,48108.625
441,12005000400,2016,47646.5
442,12005000400,2017,49732.0
443,12005000400,2018,52367.5
444,12005000400,2019,59668.5
445,12005000400,2020,61373.375
446,12005000400,2021,63078.25
447,12005000400,2022,64783.125
448,12005000500,2016,66488.0
449,12005000500,2017,65585.0
450,12005000500,2018,57729.5
451,12005000500,2019,58328.5
452,12005000500,2020,59585.0
453,12005000500,2021,57908.0
454,12005000500,2022,56231.0
455,12005000600,2016,54554.0
456,12005000600,2017,58333.0
457,12005000600,2018,65804.0
458,12005000600,2019,68100.0
459,12005000600,2020,59911.0
460,12005000600,2021,58153.666666666664
461,12005000600,2022,56396.333333333336
462,12005000700,2016,54639.0
463,12005000700,2017,62356.0
464,12005000700,2018,64875.0
465,12005000700,2019,64132.0
466,12005000700,2020,66116.0
467,12005000700,2021,59297.333333333336
468,12005000700,2022,52478.666666666664
469,12005000803,2016,45660.0
470,12005000803,2017,39122.0
471,12005000803,2018,38573.5
472,12005000803,2019,37623.5
473,12005000803,2020,39069.0
474,12005000803,2021,45531.333333333336
475,12005000803,2022,51993.666666666664
476,12005000804,2016,58456.0
477,12005000804,2017,61383.0
478,12005000804,2018,61157.0
479,12005000804,2019,62645.0
480,12005000804,2020,68125.0
481,12005000804,2021,61530.833333333336
482,12005000804,2022,54936.666666666664
483,12005000805,2016,48342.5
484,12005000805,2017,58116.0
485,12005000805,2018,62352.5
