,tract,year,population,white_pop,Black_pop,Native_pop,Asian_pop,Pacific_pop,male_population,female_population,0-19_pop,20-29_pop,30-39_pop,40-49_pop,50-59_pop,60-69_pop,70+_pop
0,12001000200,2016,7295.0,5666.0,1057.0,0.0,181.0,97.0,3456.0,3839.0,1408.0,4729.0,348.0,506.0,175.0,36.0,93.0
1,12001000200,2017,6834.0,5046.0,1277.0,0.0,225.0,36.0,3096.0,3738.0,1266.0,4237.0,349.0,520.0,276.0,78.0,108.0
2,12001000200,2018,6671.0,5009.0,1081.0,0.0,355.0,16.0,2853.0,3818.0,1251.0,4360.0,104.0,420.0,268.0,113.0,155.0
3,12001000200,2019,7557.0,5668.0,1369.0,0.0,361.0,14.0,3311.0,4246.0,1593.0,4974.0,103.0,313.0,364.0,105.0,105.0
4,12001000200,2020,6618.0,4734.25,1390.5,3.25,304.0,10.5,2955.5,3662.5,1409.75,4038.25,205.5,313.5,376.25,142.25,132.5
5,12001000200,2021,5679.0,3800.5,1412.0,6.5,247.0,7.0,2600.0,3079.0,1226.5,3102.5,308.0,314.0,388.5,179.5,160.0
6,12001000200,2022,4740.0,2866.75,1433.5,9.75,190.0,3.5,2244.5,2495.5,1043.25,2166.75,410.5,314.5,400.75,216.75,187.5
7,12001000301,2016,3801.0,1933.0,1455.0,13.0,133.0,0.0,1889.0,1912.0,860.0,1231.0,513.0,315.0,413.0,254.0,215.0
8,12001000301,2017,3849.0,2313.0,1223.0,19.0,128.0,0.0,1806.0,2043.0,573.0,1548.0,673.0,246.0,379.0,216.0,214.0
9,12001000301,2018,4355.0,2160.0,1822.0,13.0,228.0,0.0,2026.0,2329.0,641.0,2109.0,630.0,291.0,303.0,225.0,156.0
10,12001000301,2019,4426.0,2223.0,1807.0,13.0,199.0,0.0,1994.0,2432.0,710.0,2182.0,636.0,241.0,260.0,241.0,156.0
11,12001000301,2020,4308.0,2481.0,1419.0,13.0,110.0,0.0,2138.0,2170.0,892.0,1861.0,630.0,342.0,187.0,269.0,127.0
12,12001000301,2021,3680.6666666666665,2153.3333333333335,1116.6666666666667,14.333333333333334,129.0,0.0,1789.3333333333333,1891.3333333333333,739.3333333333334,1381.3333333333333,534.6666666666666,333.3333333333333,242.0,297.6666666666667,152.33333333333334
13,12001000301,2022,3053.333333333333,1825.6666666666665,814.3333333333334,15.666666666666666,148.0,0.0,1440.6666666666665,1612.6666666666665,586.6666666666667,901.6666666666666,439.33333333333337,324.6666666666667,297.0,326.3333333333333,177.66666666666666
14,12001000302,2016,2426.0,1498.0,512.0,17.0,167.0,0.0,1092.0,1334.0,434.0,422.0,344.0,316.0,352.0,355.0,203.0
15,12001000302,2017,2374.0,1532.0,448.0,17.0,179.0,0.0,1151.0,1223.0,408.0,490.0,423.0,279.0,331.0,270.0,173.0
16,12001000302,2018,2343.0,1599.0,390.0,12.0,134.0,0.0,1040.0,1303.0,445.0,518.0,427.0,206.0,305.0,276.0,166.0
17,12001000302,2019,2319.0,1577.0,376.0,14.0,112.0,0.0,991.0,1328.0,430.0,439.0,488.0,85.0,355.0,237.0,285.0
18,12001000302,2020,2167.0,1439.0,589.0,4.0,4.0,0.0,989.0,1178.0,472.0,385.0,444.0,59.0,352.0,191.0,264.0
19,12001000302,2021,3330.666666666667,1602.3333333333333,1452.0,2.666666666666667,6.333333333333334,0.0,1533.6666666666665,1797.0,953.3333333333333,445.0,546.0,361.3333333333333,463.3333333333333,289.6666666666667,272.0
20,12001000302,2022,4494.333333333334,1765.6666666666667,2315.0,1.3333333333333335,8.666666666666668,0.0,2078.333333333333,2416.0,1434.6666666666665,505.0,648.0,663.6666666666666,574.6666666666666,388.33333333333337,280.0
21,12001000400,2016,5658.0,1929.0,3178.0,0.0,11.0,0.0,2623.0,3035.0,1916.0,565.0,750.0,966.0,686.0,487.0,288.0
22,12001000400,2017,5996.0,1950.0,3391.0,0.0,72.0,0.0,2617.0,3379.0,1981.0,714.0,662.0,968.0,634.0,611.0,426.0
23,12001000400,2018,6655.0,2389.0,3364.0,26.0,86.0,0.0,2832.0,3823.0,2255.0,1061.0,783.0,804.0,713.0,604.0,435.0
24,12001000400,2019,6256.0,2254.0,3102.0,22.0,259.0,1.0,2728.0,3528.0,2071.0,1065.0,866.0,530.0,752.0,539.0,433.0
25,12001000400,2020,5866.0,2620.0,2195.0,52.0,220.0,8.0,2473.0,3393.0,1475.0,1464.0,786.0,454.0,662.0,558.0,467.0
26,12001000400,2021,5586.0,3042.3333333333335,1760.6666666666667,34.66666666666667,164.66666666666666,5.333333333333334,2460.3333333333335,3125.6666666666665,1223.6666666666667,1469.0,793.6666666666666,475.3333333333333,662.0,518.3333333333334,444.0
27,12001000400,2022,5306.0,3464.6666666666665,1326.3333333333335,17.333333333333336,109.33333333333333,2.666666666666667,2447.6666666666665,2858.3333333333335,972.3333333333333,1474.0,801.3333333333334,496.6666666666667,662.0,478.6666666666667,421.0
28,12001000500,2016,5026.0,3887.0,892.0,0.0,54.0,0.0,2435.0,2591.0,721.0,1479.0,809.0,518.0,662.0,439.0,398.0
29,12001000500,2017,5202.0,3983.0,927.0,0.0,118.0,0.0,2617.0,2585.0,620.0,1575.0,999.0,536.0,778.0,262.0,432.0
30,12001000500,2018,5171.0,3886.0,1002.0,0.0,90.0,0.0,2662.0,2509.0,676.0,1557.0,1063.0,491.0,642.0,326.0,416.0
31,12001000500,2019,4973.0,3812.0,958.0,0.0,115.0,0.0,2574.0,2399.0,662.0,1333.0,1045.0,579.0,538.0,367.0,449.0
32,12001000500,2020,4640.0,3777.0,627.0,0.0,93.0,0.0,2342.0,2298.0,718.0,1037.0,904.0,897.0,398.0,302.0,384.0
33,12001000500,2021,4550.666666666667,2612.333333333333,1682.3333333333333,0.0,77.66666666666667,0.0,2161.6666666666665,2389.0,962.3333333333334,933.0,759.3333333333334,789.6666666666666,445.0,305.3333333333333,356.0
34,12001000500,2022,4461.333333333333,1447.6666666666665,2737.6666666666665,0.0,62.33333333333333,0.0,1981.3333333333333,2480.0,1206.6666666666667,829.0,614.6666666666667,682.3333333333334,492.0,308.6666666666667,328.0
35,12001000600,2016,4372.0,283.0,3793.0,0.0,47.0,0.0,1801.0,2571.0,1451.0,725.0,470.0,575.0,539.0,312.0,300.0
36,12001000600,2017,4689.0,334.0,3988.0,0.0,58.0,0.0,1779.0,2910.0,1600.0,875.0,449.0,562.0,596.0,350.0,257.0
37,12001000600,2018,5195.0,290.0,4574.0,0.0,0.0,0.0,2190.0,3005.0,1858.0,990.0,465.0,644.0,577.0,341.0,320.0
38,12001000600,2019,4963.0,256.0,4511.0,0.0,8.0,0.0,2244.0,2719.0,2022.0,753.0,474.0,650.0,509.0,230.0,325.0
39,12001000600,2020,5343.0,262.0,4901.0,0.0,7.0,0.0,2142.0,3201.0,2085.0,727.0,484.0,614.0,423.0,572.0,438.0
40,12001000600,2021,5744.333333333333,651.0,4928.0,0.0,18.333333333333336,0.0,2453.0,3291.3333333333335,1921.0,739.6666666666666,577.0,619.6666666666666,686.6666666666667,678.3333333333334,522.0
41,12001000600,2022,6145.666666666667,1040.0,4955.0,0.0,29.666666666666668,0.0,2764.0,3381.6666666666665,1757.0,752.3333333333334,670.0,625.3333333333334,950.3333333333334,784.6666666666666,606.0
