,tract,year,16+_Pop,16+_Labor,16+_Employed,state_code,state,county
0,01001020100,2016,1580.0,1027.0,984.0,01,AL,001
1,01001020100,2017,1483.0,923.0,881.0,01,AL,001
2,01001020100,2018,1562.0,966.0,931.0,01,AL,001
3,01001020100,2019,1617.0,980.0,952.0,01,AL,001
4,01001020100,2020,1558.0,852.0,834.0,01,AL,001
5,01001020100,2021,1632.6666666666667,877.6666666666666,841.6666666666666,01,AL,001
6,01001020100,2022,1707.3333333333333,903.3333333333334,849.3333333333334,01,AL,001
7,01001020200,2016,1782.0,929.0,857.0,01,AL,001
8,01001020200,2017,1695.0,889.0,852.0,01,AL,001
9,01001020200,2018,1646.0,790.0,750.0,01,AL,001
10,01001020200,2019,1575.0,766.0,723.0,01,AL,001
11,01001020200,2020,1450.0,729.0,688.0,01,AL,001
12,01001020200,2021,1807.6666666666667,984.3333333333334,929.6666666666666,01,AL,001
13,01001020200,2022,2165.333333333333,1239.6666666666667,1171.3333333333333,01,AL,001
14,01001020300,2016,2523.0,1495.0,1413.0,01,AL,001
15,01001020300,2017,2672.0,1567.0,1482.0,01,AL,001
16,01001020300,2018,2704.0,1684.0,1624.0,01,AL,001
17,01001020300,2019,2799.0,1795.0,1727.0,01,AL,001
18,01001020300,2020,2930.0,2015.0,1941.0,01,AL,001
19,01001020300,2021,3142.0,2032.3333333333333,1911.6666666666667,01,AL,001
20,01001020300,2022,3354.0,2049.6666666666665,1882.3333333333333,01,AL,001
21,01001020400,2016,3566.0,2067.0,1853.0,01,AL,001
22,01001020400,2017,3354.0,2000.0,1849.0,01,AL,001
23,01001020400,2018,3097.0,1752.0,1663.0,01,AL,001
24,01001020400,2019,3227.0,1790.0,1725.0,01,AL,001
25,01001020400,2020,3059.0,1668.0,1619.0,01,AL,001
26,01001020400,2021,4706.0,2887.666666666667,2801.666666666667,01,AL,001
27,01001020400,2022,6353.0,4107.333333333334,3984.3333333333335,01,AL,001
28,01001020500,2016,8000.0,5327.0,5167.0,01,AL,001
29,01001020500,2017,7752.0,5177.0,4787.0,01,AL,001
30,01001020500,2018,7722.0,5051.0,4607.0,01,AL,001
31,01001020500,2019,8495.0,5649.0,5190.0,01,AL,001
32,01001020500,2020,7103.75,4672.5,4291.5,01,AL,001
33,01001020500,2021,5712.5,3696.0,3393.0,01,AL,001
34,01001020500,2022,4321.25,2719.5,2494.5,01,AL,001
35,01001020600,2016,2930.0,1743.0,1596.0,01,AL,001
36,01001020600,2017,2855.0,1471.0,1364.0,01,AL,001
37,01001020600,2018,3004.0,1451.0,1333.0,01,AL,001
38,01001020600,2019,2812.0,1372.0,1271.0,01,AL,001
39,01001020600,2020,1426.0,500.0,477.0,01,AL,001
40,01001020600,2021,1725.0,840.3333333333333,753.6666666666667,01,AL,001
41,01001020600,2022,2024.0,1180.6666666666663,1030.3333333333337,01,AL,001
42,01001020700,2016,2323.0,1521.0,1307.0,01,AL,001
43,01001020700,2017,2621.0,1706.0,1418.0,01,AL,001
44,01001020700,2018,2915.0,1761.0,1488.0,01,AL,001
45,01001020700,2019,2765.0,1652.0,1477.0,01,AL,001
46,01001020700,2020,2062.0,1177.0,1034.0,01,AL,001
47,01001020700,2021,2148.333333333333,1286.0,1141.0,01,AL,001
48,01001020700,2022,2234.6666666666665,1395.0,1248.0,01,AL,001
49,01001020801,2016,2321.0,1504.0,1355.0,01,AL,001
50,01001020801,2017,2261.0,1503.0,1369.0,01,AL,001
51,01001020801,2018,2233.0,1421.0,1347.0,01,AL,001
52,01001020801,2019,2524.0,1549.0,1491.0,01,AL,001
53,01001020801,2020,1493.0,868.0,863.0,01,AL,001
54,01001020801,2021,3682.6666666666665,2166.0,2045.0,01,AL,001
55,01001020801,2022,5872.333333333333,3464.0,3227.0,01,AL,001
56,01001020802,2016,8062.0,4762.0,4409.0,01,AL,001
57,01001020802,2017,8600.0,5089.0,4857.0,01,AL,001
58,01001020802,2018,8885.0,5307.0,5070.0,01,AL,001
59,01001020802,2019,8641.0,4984.0,4738.0,01,AL,001
60,01001020802,2020,7655.75,4425.5,4190.0,01,AL,001
61,01001020802,2021,6670.5,3867.0,3642.0,01,AL,001
62,01001020802,2022,5685.25,3308.5,3094.0,01,AL,001
63,01001020900,2016,4700.0,2750.0,2546.0,01,AL,001
64,01001020900,2017,4895.0,2983.0,2781.0,01,AL,001
65,01001020900,2018,5105.0,3295.0,3169.0,01,AL,001
66,01001020900,2019,4912.0,3099.0,3041.0,01,AL,001
67,01001020900,2020,4251.0,2670.5,2617.0,01,AL,001
68,01001020900,2021,3590.0,2242.0,2193.0,01,AL,001
69,01001020900,2022,2929.0,1813.5,1769.0,01,AL,001
70,01001021000,2016,2268.0,1385.0,1345.0,01,AL,001
71,01001021000,2017,2232.0,1279.0,1202.0,01,AL,001
72,01001021000,2018,2018.0,1187.0,1110.0,01,AL,001
73,01001021000,2019,1965.0,1155.0,1104.0,01,AL,001
74,01001021000,2020,1316.0,734.0,662.0,01,AL,001
75,01001021000,2021,1763.0,988.6666666666666,918.0,01,AL,001
76,01001021000,2022,2210.0,1243.3333333333333,1174.0,01,AL,001
