,tract,year,median_income,state_code,state,county
0,01001020100,2016,77813.0,01,AL,001
1,01001020100,2017,55891.0,01,AL,001
2,01001020100,2018,54664.5,01,AL,001
3,01001020100,2019,57351.5,01,AL,001
4,01001020100,2020,54933.0,01,AL,001
5,01001020100,2021,48335.833333333336,01,AL,001
6,01001020100,2022,41738.66666666666,01,AL,001
7,01001020200,2016,35141.5,01,AL,001
8,01001020200,2017,36222.5,01,AL,001
9,01001020200,2018,38388.0,01,AL,001
10,01001020200,2019,38771.0,01,AL,001
11,01001020200,2020,44985.5,01,AL,001
12,01001020200,2021,43729.333333333336,01,AL,001
13,01001020200,2022,42473.16666666666,01,AL,001
14,01001020300,2016,41217.0,01,AL,001
15,01001020300,2017,40694.0,01,AL,001
16,01001020300,2018,42428.5,01,AL,001
17,01001020300,2019,43916.0,01,AL,001
18,01001020300,2020,48817.0,01,AL,001
19,01001020300,2021,51694.833333333336,01,AL,001
20,01001020300,2022,54572.66666666666,01,AL,001
21,01001020400,2016,57450.5,01,AL,001
22,01001020400,2017,57031.5,01,AL,001
23,01001020400,2018,54187.5,01,AL,001
24,01001020400,2019,58674.5,01,AL,001
25,01001020400,2020,63347.0,01,AL,001
26,01001020400,2021,59497.66666666666,01,AL,001
27,01001020400,2022,55648.333333333336,01,AL,001
28,01001020500,2016,51799.0,01,AL,001
29,01001020500,2017,67537.0,01,AL,001
30,01001020500,2018,72313.0,01,AL,001
31,01001020500,2019,62416.0,01,AL,001
32,01001020500,2020,59383.875,01,AL,001
33,01001020500,2021,56351.75,01,AL,001
34,01001020500,2022,53319.625,01,AL,001
35,01001020600,2016,50287.5,01,AL,001
36,01001020600,2017,48975.0,01,AL,001
37,01001020600,2018,48140.0,01,AL,001
38,01001020600,2019,44695.5,01,AL,001
39,01001020600,2020,28750.0,01,AL,001
40,01001020600,2021,33950.166666666664,01,AL,001
41,01001020600,2022,39150.333333333336,01,AL,001
42,01001020700,2016,44350.5,01,AL,001
43,01001020700,2017,41124.0,01,AL,001
44,01001020700,2018,45416.5,01,AL,001
45,01001020700,2019,49040.0,01,AL,001
46,01001020700,2020,44578.0,01,AL,001
47,01001020700,2021,54452.5,01,AL,001
48,01001020700,2022,64327.0,01,AL,001
49,01001020801,2016,74201.5,01,AL,001
50,01001020801,2017,81889.5,01,AL,001
51,01001020801,2018,79677.5,01,AL,001
52,01001020801,2019,74906.5,01,AL,001
53,01001020801,2020,85648.0,01,AL,001
54,01001020801,2021,74973.66666666667,01,AL,001
55,01001020801,2022,64299.33333333333,01,AL,001
56,01001020802,2016,53625.0,01,AL,001
57,01001020802,2017,60701.5,01,AL,001
58,01001020802,2018,75815.0,01,AL,001
59,01001020802,2019,68737.0,01,AL,001
60,01001020802,2020,63079.5,01,AL,001
61,01001020802,2021,57422.0,01,AL,001
62,01001020802,2022,51764.5,01,AL,001
63,01001020900,2016,46107.0,01,AL,001
64,01001020900,2017,46669.5,01,AL,001
65,01001020900,2018,79375.0,01,AL,001
66,01001020900,2019,50076.0,01,AL,001
67,01001020900,2020,49865.125,01,AL,001
68,01001020900,2021,49654.25,01,AL,001
69,01001020900,2022,49443.375,01,AL,001
70,01001021000,2016,49232.5,01,AL,001
71,01001021000,2017,47102.0,01,AL,001
72,01001021000,2018,52830.0,01,AL,001
73,01001021000,2019,47361.0,01,AL,001
74,01001021000,2020,39722.0,01,AL,001
75,01001021000,2021,40452.0,01,AL,001
76,01001021000,2022,41182.0,01,AL,001
77,01001021100,2016,41912.0,01,AL,001
78,01001021100,2017,32411.0,01,AL,001
79,01001021100,2018,26272.0,01,AL,001
80,01001021100,2019,37634.0,01,AL,001
81,01001021100,2020,27821.0,01,AL,001
82,01001021100,2021,34919.0,01,AL,001
83,01001021100,2022,42017.0,01,AL,001
84,01003010100,2016,49115.0,01,AL,003
85,01003010100,2017,46293.0,01,AL,003
86,01003010100,2018,44205.0,01,AL,003
87,01003010100,2019,44592.0,01,AL,003
88,01003010100,2020,42963.0,01,AL,003
89,01003010100,2021,39646.0,01,AL,003
90,01003010100,2022,36329.0,01,AL,003
91,01003010200,2016,33012.0,01,AL,003
92,01003010200,2017,33713.0,01,AL,003
93,01003010200,2018,34678.0,01,AL,003
94,01003010200,2019,42105.5,01,AL,003
95,01003010200,2020,43541.5,01,AL,003
96,01003010200,2021,42615.66666666666,01,AL,003
97,01003010200,2022,41689.833333333336,01,AL,003
98,01003010300,2016,40764.0,01,AL,003
99,01003010300,2017,39955.0,01,AL,003
100,01003010300,2018,51625.0,01,AL,003
101,01003010300,2019,53750.0,01,AL,003
102,01003010300,2020,82647.0,01,AL,003
103,01003010300,2021,72181.33333333333,01,AL,003
104,01003010300,2022,61715.66666666667,01,AL,003
105,01003010400,2016,51250.0,01,AL,003
106,01003010400,2017,51858.0,01,AL,003
107,01003010400,2018,54438.0,01,AL,003
108,01003010400,2019,54776.0,01,AL,003
109,01003010400,2020,45313.0,01,AL,003
110,01003010400,2021,47112.66666666666,01,AL,003
111,01003010400,2022,48912.333333333336,01,AL,003
112,01003010500,2016,50712.0,01,AL,003
113,01003010500,2017,39538.0,01,AL,003
114,01003010500,2018,51884.5,01,AL,003
115,01003010500,2019,60208.5,01,AL,003
116,01003010500,2020,61232.5,01,AL,003
117,01003010500,2021,46292.66666666666,01,AL,003
118,01003010500,2022,31352.83333333333,01,AL,003
119,01003010600,2016,16413.0,01,AL,003
120,01003010600,2017,14911.0,01,AL,003
121,01003010600,2018,28739.0,01,AL,003
122,01003010600,2019,32973.0,01,AL,003
123,01003010600,2020,32000.0,01,AL,003
124,01003010600,2021,44903.16666666666,01,AL,003
125,01003010600,2022,57806.33333333333,01,AL,003
126,01003010701,2016,70709.5,01,AL,003
127,01003010701,2017,72275.0,01,AL,003
128,01003010701,2018,79721.5,01,AL,003
129,01003010701,2019,66269.5,01,AL,003
130,01003010701,2020,71939.0,01,AL,003
131,01003010701,2021,77608.5,01,AL,003
132,01003010701,2022,83278.0,01,AL,003
133,01003010703,2016,88947.5,01,AL,003
134,01003010703,2017,89162.5,01,AL,003
135,01003010703,2018,88316.5,01,AL,003
136,01003010703,2019,92283.5,01,AL,003
137,01003010703,2020,86179.75,01,AL,003
138,01003010703,2021,80076.0,01,AL,003
139,01003010703,2022,73972.25,01,AL,003
140,01003010704,2016,67868.5,01,AL,003
141,01003010704,2017,72317.0,01,AL,003
142,01003010704,2018,73590.5,01,AL,003
143,01003010704,2019,74283.0,01,AL,003
144,01003010704,2020,79797.0,01,AL,003
145,01003010704,2021,69083.33333333333,01,AL,003
146,01003010704,2022,58369.66666666667,01,AL,003
147,01003010705,2016,47656.0,01,AL,003
148,01003010705,2017,55525.0,01,AL,003
149,01003010705,2018,55407.0,01,AL,003
150,01003010705,2019,68125.0,01,AL,003
151,01003010705,2020,63915.5,01,AL,003
152,01003010705,2021,59706.0,01,AL,003
153,01003010705,2022,55496.5,01,AL,003
154,01003010800,2016,51287.0,01,AL,003
155,01003010800,2017,45694.0,01,AL,003
156,01003010800,2018,45854.0,01,AL,003
157,01003010800,2019,45307.0,01,AL,003
158,01003010800,2020,54890.0,01,AL,003
159,01003010800,2021,52468.333333333336,01,AL,003
160,01003010800,2022,50046.66666666666,01,AL,003
161,01003010903,2016,47625.0,01,AL,003
