,tract,year,16+_Pop,16+_Labor,16+_Employed,state_code,state,county
0,35001000107,2016,2181.0,1263.0,1168.0,35,NM,001
1,35001000107,2017,2149.0,1219.0,1144.0,35,NM,001
2,35001000107,2018,2073.0,1194.0,1157.0,35,NM,001
3,35001000107,2019,2106.0,1249.0,1214.0,35,NM,001
4,35001000107,2020,2180.0,1269.0,1232.0,35,NM,001
5,35001000107,2021,2270.0,1330.3333333333333,1297.3333333333333,35,NM,001
6,35001000107,2022,2360.0,1391.6666666666667,1362.6666666666667,35,NM,001
7,35001000108,2016,2450.0,1453.0,1428.0,35,NM,001
8,35001000108,2017,2496.0,1500.0,1473.0,35,NM,001
9,35001000108,2018,2510.0,1471.0,1459.0,35,NM,001
10,35001000108,2019,2349.0,1431.0,1404.0,35,NM,001
11,35001000108,2020,2344.0,1233.0,1204.0,35,NM,001
12,35001000108,2021,2246.0,1255.3333333333333,1190.6666666666667,35,NM,001
13,35001000108,2022,2148.0,1277.6666666666667,1177.3333333333333,35,NM,001
14,35001000109,2016,2050.0,1300.0,1164.0,35,NM,001
15,35001000109,2017,2011.0,1290.0,1122.0,35,NM,001
16,35001000109,2018,1977.0,1225.0,1089.0,35,NM,001
17,35001000109,2019,2011.0,1354.0,1244.0,35,NM,001
18,35001000109,2020,1947.0,1115.0,1037.0,35,NM,001
19,35001000109,2021,2360.0,1378.6666666666667,1297.6666666666667,35,NM,001
20,35001000109,2022,2773.0,1642.3333333333337,1558.3333333333337,35,NM,001
21,35001000110,2016,3186.0,1906.0,1819.0,35,NM,001
22,35001000110,2017,3292.0,2108.0,2009.0,35,NM,001
23,35001000110,2018,3375.0,2293.0,2201.0,35,NM,001
24,35001000110,2019,3261.0,2141.0,2050.0,35,NM,001
25,35001000110,2020,3155.0,2071.0,2012.0,35,NM,001
26,35001000110,2021,2902.0,1824.3333333333333,1758.3333333333333,35,NM,001
27,35001000110,2022,2649.0,1577.6666666666667,1504.6666666666667,35,NM,001
28,35001000111,2016,2396.0,1331.0,1251.0,35,NM,001
29,35001000111,2017,2455.0,1436.0,1371.0,35,NM,001
30,35001000111,2018,2331.0,1501.0,1435.0,35,NM,001
31,35001000111,2019,2328.0,1551.0,1464.0,35,NM,001
32,35001000111,2020,2481.0,1804.0,1711.0,35,NM,001
33,35001000111,2021,2251.333333333333,1555.3333333333333,1469.0,35,NM,001
34,35001000111,2022,2021.6666666666667,1306.6666666666667,1227.0,35,NM,001
35,35001000112,2016,1792.0,1058.0,985.0,35,NM,001
36,35001000112,2017,1650.0,974.0,905.0,35,NM,001
37,35001000112,2018,1716.0,994.0,932.0,35,NM,001
38,35001000112,2019,1764.0,1073.0,988.0,35,NM,001
39,35001000112,2020,1788.0,1109.0,1005.0,35,NM,001
40,35001000112,2021,2101.333333333333,1427.3333333333333,1296.3333333333333,35,NM,001
41,35001000112,2022,2414.6666666666665,1745.6666666666663,1587.6666666666663,35,NM,001
42,35001000113,2016,2728.0,2064.0,1879.0,35,NM,001
43,35001000113,2017,2906.0,2158.0,1954.0,35,NM,001
44,35001000113,2018,2747.0,1953.0,1828.0,35,NM,001
45,35001000113,2019,2610.0,1762.0,1664.0,35,NM,001
46,35001000113,2020,2671.0,1773.0,1685.0,35,NM,001
47,35001000113,2021,2693.6666666666665,1772.6666666666667,1673.6666666666667,35,NM,001
48,35001000113,2022,2716.333333333333,1772.3333333333333,1662.3333333333333,35,NM,001
49,35001000114,2016,2739.0,1772.0,1651.0,35,NM,001
50,35001000114,2017,2839.0,1841.0,1706.0,35,NM,001
51,35001000114,2018,2596.0,1590.0,1510.0,35,NM,001
52,35001000114,2019,2618.0,1548.0,1437.0,35,NM,001
53,35001000114,2020,2852.0,1696.0,1537.0,35,NM,001
54,35001000114,2021,2755.0,1648.6666666666667,1492.3333333333333,35,NM,001
55,35001000114,2022,2658.0,1601.3333333333333,1447.6666666666667,35,NM,001
56,35001000115,2016,2561.0,1554.0,1403.0,35,NM,001
57,35001000115,2017,2583.0,1646.0,1486.0,35,NM,001
58,35001000115,2018,2679.0,1751.0,1612.0,35,NM,001
59,35001000115,2019,2638.0,1788.0,1689.0,35,NM,001
60,35001000115,2020,2698.0,1735.0,1644.0,35,NM,001
61,35001000115,2021,2640.0,1647.3333333333333,1554.0,35,NM,001
62,35001000115,2022,2582.0,1559.6666666666667,1464.0,35,NM,001
63,35001000116,2016,2524.0,1472.0,1374.0,35,NM,001
64,35001000116,2017,2317.0,1403.0,1291.0,35,NM,001
65,35001000116,2018,2402.0,1432.0,1301.0,35,NM,001
66,35001000116,2019,2380.0,1418.0,1332.0,35,NM,001
67,35001000116,2020,2521.0,1606.0,1488.0,35,NM,001
68,35001000116,2021,2370.333333333333,1523.3333333333333,1414.6666666666667,35,NM,001
69,35001000116,2022,2219.6666666666665,1440.6666666666667,1341.3333333333333,35,NM,001
70,35001000117,2016,2069.0,1358.0,1268.0,35,NM,001
71,35001000117,2017,2067.0,1222.0,1164.0,35,NM,001
72,35001000117,2018,2090.0,1125.0,1103.0,35,NM,001
73,35001000117,2019,2082.0,1146.0,1117.0,35,NM,001
74,35001000117,2020,2039.0,1153.0,1067.0,35,NM,001
75,35001000117,2021,2076.333333333333,1272.0,1202.6666666666667,35,NM,001
76,35001000117,2022,2113.6666666666665,1391.0,1338.3333333333333,35,NM,001
77,35001000118,2016,2151.0,1510.0,1474.0,35,NM,001
78,35001000118,2017,2210.0,1556.0,1502.0,35,NM,001
79,35001000118,2018,2087.0,1426.0,1405.0,35,NM,001
80,35001000118,2019,2075.0,1405.0,1388.0,35,NM,001
81,35001000118,2020,2122.0,1588.0,1555.0,35,NM,001
82,35001000118,2021,1930.0,1353.6666666666667,1317.3333333333333,35,NM,001
83,35001000118,2022,1738.0,1119.3333333333333,1079.6666666666667,35,NM,001
84,35001000119,2016,1546.0,885.0,842.0,35,NM,001
85,35001000119,2017,1551.0,893.0,872.0,35,NM,001
86,35001000119,2018,1546.0,960.0,938.0,35,NM,001
87,35001000119,2019,1584.0,934.0,910.0,35,NM,001
88,35001000119,2020,1547.0,944.0,929.0,35,NM,001
89,35001000119,2021,1724.3333333333333,1095.3333333333333,1054.0,35,NM,001
90,35001000119,2022,1901.6666666666667,1246.6666666666667,1179.0,35,NM,001
91,35001000120,2016,2079.0,1398.0,1304.0,35,NM,001
92,35001000120,2017,2258.0,1575.0,1502.0,35,NM,001
93,35001000120,2018,2267.0,1572.0,1507.0,35,NM,001
94,35001000120,2019,2271.0,1630.0,1584.0,35,NM,001
95,35001000120,2020,2318.0,1724.0,1428.0,35,NM,001
96,35001000120,2021,3158.0,2077.0,1782.0,35,NM,001
97,35001000120,2022,3998.0,2430.0,2136.0,35,NM,001
98,35001000121,2016,4838.0,2783.0,2490.0,35,NM,001
99,35001000121,2017,4941.0,2930.0,2690.0,35,NM,001
100,35001000121,2018,4628.0,2604.0,2457.0,35,NM,001
101,35001000121,2019,4701.0,2715.0,2566.0,35,NM,001
102,35001000121,2020,4419.0,2629.0,2462.0,35,NM,001
103,35001000121,2021,4115.0,2437.0,2298.0,35,NM,001
104,35001000121,2022,3811.0,2245.0,2134.0,35,NM,001
105,35001000122,2016,3507.0,2053.0,1970.0,35,NM,001
106,35001000122,2017,3525.0,2099.0,2065.0,35,NM,001
107,35001000122,2018,3644.0,2268.0,2205.0,35,NM,001
108,35001000122,2019,3574.0,2437.0,2304.0,35,NM,001
109,35001000122,2020,3540.0,2463.0,2309.0,35,NM,001
110,35001000122,2021,3463.0,2277.6666666666665,2157.6666666666665,35,NM,001
111,35001000122,2022,3386.0,2092.333333333333,2006.3333333333333,35,NM,001
112,35001000123,2016,3309.0,1907.0,1855.0,35,NM,001
113,35001000123,2017,3429.0,1964.0,1877.0,35,NM,001
114,35001000123,2018,3568.0,2091.0,1965.0,35,NM,001
115,35001000123,2019,3410.0,2060.0,1986.0,35,NM,001
116,35001000123,2020,3428.0,2059.0,1911.0,35,NM,001
117,35001000123,2021,3282.6666666666665,2007.6666666666667,1878.3333333333333,35,NM,001
118,35001000123,2022,3137.333333333333,1956.3333333333333,1845.6666666666667,35,NM,001
119,35001000124,2016,2992.0,1905.0,1813.0,35,NM,001
120,35001000124,2017,2984.0,1923.0,1854.0,35,NM,001
121,35001000124,2018,3329.0,2283.0,2186.0,35,NM,001
122,35001000124,2019,3385.0,2267.0,2122.0,35,NM,001
123,35001000124,2020,3656.0,2113.0,2000.0,35,NM,001
124,35001000124,2021,3545.6666666666665,2058.6666666666665,1953.6666666666667,35,NM,001
125,35001000124,2022,3435.333333333333,2004.3333333333333,1907.3333333333333,35,NM,001
126,35001000125,2016,3325.0,1950.0,1861.0,35,NM,001
127,35001000125,2017,3280.0,1929.0,1833.0,35,NM,001
128,35001000125,2018,3351.0,2046.0,1909.0,35,NM,001
129,35001000125,2019,3413.0,2077.0,1883.0,35,NM,001
130,35001000125,2020,3370.0,2172.0,2000.0,35,NM,001
131,35001000125,2021,3023.333333333333,1907.3333333333333,1767.6666666666667,35,NM,001
132,35001000125,2022,2676.6666666666665,1642.6666666666663,1535.3333333333333,35,NM,001
133,35001000126,2016,2330.0,1378.0,1303.0,35,NM,001
134,35001000126,2017,2365.0,1430.0,1365.0,35,NM,001
135,35001000126,2018,2171.0,1265.0,1222.0,35,NM,001
136,35001000126,2019,2060.0,1197.0,1158.0,35,NM,001
137,35001000126,2020,2014.0,1219.0,1195.0,35,NM,001
138,35001000126,2021,2147.0,1334.6666666666667,1234.0,35,NM,001
139,35001000126,2022,2280.0,1450.3333333333333,1273.0,35,NM,001
140,35001000127,2016,2413.0,1566.0,1312.0,35,NM,001
141,35001000127,2017,2390.0,1573.0,1420.0,35,NM,001
142,35001000127,2018,2451.0,1578.0,1447.0,35,NM,001
143,35001000127,2019,2361.0,1496.0,1371.0,35,NM,001
144,35001000127,2020,2003.0,1318.0,1217.0,35,NM,001
145,35001000127,2021,2188.333333333333,1321.6666666666667,1226.6666666666667,35,NM,001
146,35001000127,2022,2373.6666666666665,1325.3333333333333,1236.3333333333333,35,NM,001
147,35001000128,2016,2559.0,1329.0,1246.0,35,NM,001
148,35001000128,2017,2683.0,1423.0,1381.0,35,NM,001
149,35001000128,2018,2783.0,1609.0,1534.0,35,NM,001
150,35001000128,2019,3095.0,1675.0,1623.0,35,NM,001
151,35001000128,2020,3051.0,2148.0,2015.0,35,NM,001
152,35001000128,2021,3284.0,2179.333333333333,2007.6666666666667,35,NM,001
153,35001000128,2022,3517.0,2210.6666666666665,2000.3333333333333,35,NM,001
154,35001000129,2016,3750.0,2242.0,1993.0,35,NM,001
155,35001000129,2017,3674.0,2315.0,2139.0,35,NM,001
156,35001000129,2018,3494.0,1975.0,1893.0,35,NM,001
157,35001000129,2019,3249.0,1902.0,1855.0,35,NM,001
158,35001000129,2020,3342.0,1777.0,1720.0,35,NM,001
159,35001000129,2021,2730.6666666666665,1502.3333333333333,1449.6666666666667,35,NM,001
160,35001000129,2022,2119.333333333333,1227.6666666666663,1179.3333333333337,35,NM,001
161,35001000203,2016,1508.0,953.0,909.0,35,NM,001
