,tract,year,16+_Pop,16+_Labor,16+_Employed
0,35001000107,2016,2181.0,1263.0,1168.0
1,35001000107,2017,2149.0,1219.0,1144.0
2,35001000107,2018,2073.0,1194.0,1157.0
3,35001000107,2019,2106.0,1249.0,1214.0
4,35001000107,2020,2180.0,1269.0,1232.0
5,35001000107,2021,2270.0,1330.3333333333333,1297.3333333333333
6,35001000107,2022,2360.0,1391.6666666666667,1362.6666666666667
7,35001000108,2016,2450.0,1453.0,1428.0
8,35001000108,2017,2496.0,1500.0,1473.0
9,35001000108,2018,2510.0,1471.0,1459.0
10,35001000108,2019,2349.0,1431.0,1404.0
11,35001000108,2020,2344.0,1233.0,1204.0
12,35001000108,2021,2246.0,1255.3333333333333,1190.6666666666667
13,35001000108,2022,2148.0,1277.6666666666667,1177.3333333333333
14,35001000109,2016,2050.0,1300.0,1164.0
15,35001000109,2017,2011.0,1290.0,1122.0
16,35001000109,2018,1977.0,1225.0,1089.0
17,35001000109,2019,2011.0,1354.0,1244.0
18,35001000109,2020,1947.0,1115.0,1037.0
19,35001000109,2021,2360.0,1378.6666666666667,1297.6666666666667
20,35001000109,2022,2773.0,1642.3333333333335,1558.3333333333335
21,35001000110,2016,3186.0,1906.0,1819.0
22,35001000110,2017,3292.0,2108.0,2009.0
23,35001000110,2018,3375.0,2293.0,2201.0
24,35001000110,2019,3261.0,2141.0,2050.0
25,35001000110,2020,3155.0,2071.0,2012.0
26,35001000110,2021,2902.0,1824.3333333333333,1758.3333333333333
27,35001000110,2022,2649.0,1577.6666666666667,1504.6666666666667
28,35001000111,2016,2396.0,1331.0,1251.0
29,35001000111,2017,2455.0,1436.0,1371.0
30,35001000111,2018,2331.0,1501.0,1435.0
31,35001000111,2019,2328.0,1551.0,1464.0
32,35001000111,2020,2481.0,1804.0,1711.0
33,35001000111,2021,2251.3333333333335,1555.3333333333333,1469.0
34,35001000111,2022,2021.6666666666667,1306.6666666666667,1227.0
35,35001000112,2016,1792.0,1058.0,985.0
36,35001000112,2017,1650.0,974.0,905.0
37,35001000112,2018,1716.0,994.0,932.0
38,35001000112,2019,1764.0,1073.0,988.0
39,35001000112,2020,1788.0,1109.0,1005.0
40,35001000112,2021,2101.3333333333335,1427.3333333333333,1296.3333333333333
41,35001000112,2022,2414.6666666666665,1745.6666666666665,1587.6666666666665
42,35001000113,2016,2728.0,2064.0,1879.0
43,35001000113,2017,2906.0,2158.0,1954.0
44,35001000113,2018,2747.0,1953.0,1828.0
45,35001000113,2019,2610.0,1762.0,1664.0
46,35001000113,2020,2671.0,1773.0,1685.0
47,35001000113,2021,2693.6666666666665,1772.6666666666667,1673.6666666666667
48,35001000113,2022,2716.3333333333335,1772.3333333333333,1662.3333333333333
49,35001000114,2016,2739.0,1772.0,1651.0
50,35001000114,2017,2839.0,1841.0,1706.0
51,35001000114,2018,2596.0,1590.0,1510.0
52,35001000114,2019,2618.0,1548.0,1437.0
53,35001000114,2020,2852.0,1696.0,1537.0
54,35001000114,2021,2755.0,1648.6666666666667,1492.3333333333333
55,35001000114,2022,2658.0,1601.3333333333333,1447.6666666666667
56,35001000115,2016,2561.0,1554.0,1403.0
57,35001000115,2017,2583.0,1646.0,1486.0
58,35001000115,2018,2679.0,1751.0,1612.0
59,35001000115,2019,2638.0,1788.0,1689.0
60,35001000115,2020,2698.0,1735.0,1644.0
61,35001000115,2021,2640.0,1647.3333333333333,1554.0
62,35001000115,2022,2582.0,1559.6666666666667,1464.0
63,35001000116,2016,2524.0,1472.0,1374.0
64,35001000116,2017,2317.0,1403.0,1291.0
65,35001000116,2018,2402.0,1432.0,1301.0
66,35001000116,2019,2380.0,1418.0,1332.0
67,35001000116,2020,2521.0,1606.0,1488.0
68,35001000116,2021,2370.3333333333335,1523.3333333333333,1414.6666666666667
69,35001000116,2022,2219.6666666666665,1440.6666666666667,1341.3333333333333
70,35001000117,2016,2069.0,1358.0,1268.0
71,35001000117,2017,2067.0,1222.0,1164.0
72,35001000117,2018,2090.0,1125.0,1103.0
73,35001000117,2019,2082.0,1146.0,1117.0
74,35001000117,2020,2039.0,1153.0,1067.0
75,35001000117,2021,2076.3333333333335,1272.0,1202.6666666666667
76,35001000117,2022,2113.6666666666665,1391.0,1338.3333333333333
77,35001000118,2016,2151.0,1510.0,1474.0
78,35001000118,2017,2210.0,1556.0,1502.0
79,35001000118,2018,2087.0,1426.0,1405.0
80,35001000118,2019,2075.0,1405.0,1388.0
81,35001000118,2020,2122.0,1588.0,1555.0
82,35001000118,2021,1930.0,1353.6666666666667,1317.3333333333333
83,35001000118,2022,1738.0,1119.3333333333333,1079.6666666666667
84,35001000119,2016,1546.0,885.0,842.0
85,35001000119,2017,1551.0,893.0,872.0
86,35001000119,2018,1546.0,960.0,938.0
87,35001000119,2019,1584.0,934.0,910.0
88,35001000119,2020,1547.0,944.0,929.0
89,35001000119,2021,1724.3333333333333,1095.3333333333333,1054.0
90,35001000119,2022,1901.6666666666667,1246.6666666666667,1179.0
91,35001000120,2016,2079.0,1398.0,1304.0
92,35001000120,2017,2258.0,1575.0,1502.0
93,35001000120,2018,2267.0,1572.0,1507.0
94,35001000120,2019,2271.0,1630.0,1584.0
95,35001000120,2020,2318.0,1724.0,1428.0
96,35001000120,2021,3158.0,2077.0,1782.0
97,35001000120,2022,3998.0,2430.0,2136.0
98,35001000121,2016,4838.0,2783.0,2490.0
99,35001000121,2017,4941.0,2930.0,2690.0
100,35001000121,2018,4628.0,2604.0,2457.0
101,35001000121,2019,4701.0,2715.0,2566.0
102,35001000121,2020,4419.0,2629.0,2462.0
103,35001000121,2021,4115.0,2437.0,2298.0
104,35001000121,2022,3811.0,2245.0,2134.0
105,35001000122,2016,3507.0,2053.0,1970.0
