,tract,year,median_income,state_code,state,county
0,35001000107,2016,88916.5,35,NM,001
1,35001000107,2017,85241.0,35,NM,001
2,35001000107,2018,96250.0,35,NM,001
3,35001000107,2019,93385.5,35,NM,001
4,35001000107,2020,84297.0,35,NM,001
5,35001000107,2021,73375.66666666667,35,NM,001
6,35001000107,2022,62454.33333333333,35,NM,001
7,35001000108,2016,51533.0,35,NM,001
8,35001000108,2017,62402.5,35,NM,001
9,35001000108,2018,62773.5,35,NM,001
10,35001000108,2019,64926.0,35,NM,001
11,35001000108,2020,60416.5,35,NM,001
12,35001000108,2021,62925.0,35,NM,001
13,35001000108,2022,65433.5,35,NM,001
14,35001000109,2016,67942.0,35,NM,001
15,35001000109,2017,75714.0,35,NM,001
16,35001000109,2018,84616.0,35,NM,001
17,35001000109,2019,85437.5,35,NM,001
18,35001000109,2020,75458.0,35,NM,001
19,35001000109,2021,61284.66666666666,35,NM,001
20,35001000109,2022,47111.33333333333,35,NM,001
21,35001000110,2016,32938.0,35,NM,001
22,35001000110,2017,35956.0,35,NM,001
23,35001000110,2018,46875.0,35,NM,001
24,35001000110,2019,46607.0,35,NM,001
25,35001000110,2020,45479.0,35,NM,001
26,35001000110,2021,54755.0,35,NM,001
27,35001000110,2022,64031.0,35,NM,001
28,35001000111,2016,73307.0,35,NM,001
29,35001000111,2017,77853.5,35,NM,001
30,35001000111,2018,83733.5,35,NM,001
31,35001000111,2019,87578.0,35,NM,001
32,35001000111,2020,104404.5,35,NM,001
33,35001000111,2021,98135.0,35,NM,001
34,35001000111,2022,91865.5,35,NM,001
35,35001000112,2016,85596.0,35,NM,001
36,35001000112,2017,83125.0,35,NM,001
37,35001000112,2018,73579.5,35,NM,001
38,35001000112,2019,82347.0,35,NM,001
39,35001000112,2020,106237.0,35,NM,001
40,35001000112,2021,86651.5,35,NM,001
41,35001000112,2022,67066.0,35,NM,001
42,35001000113,2016,47480.5,35,NM,001
43,35001000113,2017,48143.5,35,NM,001
44,35001000113,2018,48987.5,35,NM,001
45,35001000113,2019,48031.0,35,NM,001
46,35001000113,2020,63750.0,35,NM,001
47,35001000113,2021,57996.833333333336,35,NM,001
48,35001000113,2022,52243.66666666666,35,NM,001
49,35001000114,2016,46490.5,35,NM,001
50,35001000114,2017,46819.0,35,NM,001
51,35001000114,2018,43288.0,35,NM,001
52,35001000114,2019,47608.5,35,NM,001
53,35001000114,2020,52566.0,35,NM,001
54,35001000114,2021,47272.333333333336,35,NM,001
55,35001000114,2022,41978.66666666666,35,NM,001
56,35001000115,2016,36685.0,35,NM,001
57,35001000115,2017,31625.0,35,NM,001
58,35001000115,2018,32727.0,35,NM,001
59,35001000115,2019,35632.0,35,NM,001
60,35001000115,2020,38600.0,35,NM,001
61,35001000115,2021,45870.333333333336,35,NM,001
62,35001000115,2022,53140.66666666666,35,NM,001
63,35001000116,2016,60411.0,35,NM,001
64,35001000116,2017,64419.0,35,NM,001
65,35001000116,2018,69364.0,35,NM,001
66,35001000116,2019,74016.5,35,NM,001
67,35001000116,2020,75494.0,35,NM,001
68,35001000116,2021,71102.66666666667,35,NM,001
69,35001000116,2022,66711.33333333333,35,NM,001
70,35001000117,2016,62320.0,35,NM,001
71,35001000117,2017,60359.5,35,NM,001
72,35001000117,2018,57005.0,35,NM,001
73,35001000117,2019,52420.5,35,NM,001
74,35001000117,2020,73613.0,35,NM,001
75,35001000117,2021,72498.16666666667,35,NM,001
76,35001000117,2022,71383.33333333333,35,NM,001
77,35001000118,2016,70268.5,35,NM,001
78,35001000118,2017,78016.0,35,NM,001
