,tract,year,16+_Pop,16+_Labor,16+_Employed
0,4001942600,2016,1116.0,360.0,275.0
1,4001942600,2017,1148.0,379.0,311.0
2,4001942600,2018,1199.0,365.0,328.0
3,4001942600,2019,1334.0,429.0,372.0
4,4001942600,2020,1393.0,484.0,440.0
5,4001942600,2021,2116.0,783.0,663.0
6,4001942600,2022,2839.0,1082.0,886.0
7,4001942700,2016,3562.0,1381.0,1109.0
8,4001942700,2017,3646.0,1335.0,1042.0
9,4001942700,2018,3816.0,1387.0,1110.0
10,4001942700,2019,4119.0,1603.0,1311.0
11,4001942700,2020,4170.0,1645.0,1284.0
12,4001942700,2021,4331.333333333333,1658.3333333333333,1359.6666666666667
13,4001942700,2022,4492.666666666667,1671.6666666666667,1435.3333333333333
14,4001944000,2016,4654.0,1685.0,1511.0
15,4001944000,2017,4741.0,1813.0,1633.0
16,4001944000,2018,4831.0,1892.0,1712.0
17,4001944000,2019,4994.0,1956.0,1778.0
18,4001944000,2020,5141.0,2027.0,1836.0
19,4001944000,2021,4804.333333333333,1859.0,1589.3333333333333
20,4001944000,2022,4467.666666666667,1691.0,1342.6666666666667
21,4001944100,2016,4131.0,1523.0,1096.0
22,4001944100,2017,4274.0,1522.0,1126.0
23,4001944100,2018,4253.0,1514.0,1144.0
24,4001944100,2019,4502.0,1641.0,1267.0
25,4001944100,2020,4579.0,1608.0,1183.0
26,4001944100,2021,3990.6666666666665,1441.6666666666667,1119.3333333333333
27,4001944100,2022,3402.333333333333,1275.3333333333333,1055.6666666666667
28,4001944201,2016,2814.0,1109.0,992.0
29,4001944201,2017,2984.0,1061.0,922.0
30,4001944201,2018,3053.0,996.0,911.0
31,4001944201,2019,2914.0,849.0,792.0
32,4001944201,2020,2789.0,702.0,649.0
33,4001944201,2021,2944.3333333333335,896.0,754.0
34,4001944201,2022,3099.6666666666665,1090.0,859.0
35,4001944202,2016,3255.0,1284.0,964.0
36,4001944202,2017,2914.0,1185.0,851.0
37,4001944202,2018,2927.0,1212.0,959.0
38,4001944202,2019,2850.0,1069.0,868.0
39,4001944202,2020,1973.0,611.0,547.0
40,4001944202,2021,3024.0,1099.6666666666667,887.3333333333333
41,4001944202,2022,4075.0,1588.3333333333335,1227.6666666666665
42,4001944300,2016,5126.0,2077.0,1568.0
43,4001944300,2017,4895.0,1822.0,1458.0
44,4001944300,2018,4664.0,1693.0,1425.0
45,4001944300,2019,4485.0,1445.0,1328.0
46,4001944300,2020,4109.75,1351.0,1229.0
47,4001944300,2021,3734.5,1257.0,1130.0
48,4001944300,2022,3359.25,1163.0,1031.0
49,4001944901,2016,2984.0,1069.0,932.0
50,4001944901,2017,2962.0,1038.0,961.0
51,4001944901,2018,2810.0,993.0,929.0
52,4001944901,2019,2861.0,1023.0,972.0
53,4001944901,2020,2874.0,1000.0,957.0
54,4001944901,2021,3138.6666666666665,1077.3333333333333,965.3333333333334
55,4001944901,2022,3403.3333333333335,1154.6666666666667,973.6666666666666
56,4001944902,2016,3668.0,1232.0,982.0
57,4001944902,2017,3772.0,1307.0,1110.0
58,4001944902,2018,3855.0,1329.0,1145.0
59,4001944902,2019,3893.0,1320.0,1200.0
60,4001944902,2020,3976.0,1339.0,1209.0
61,4001944902,2021,3981.6666666666665,1483.0,1314.0
62,4001944902,2022,3987.3333333333335,1627.0,1419.0
63,4001945001,2016,3993.0,1771.0,1524.0
64,4001945001,2017,3914.0,1680.0,1500.0
65,4001945001,2018,3628.0,1631.0,1434.0
66,4001945001,2019,3273.0,1547.0,1387.0
67,4001945001,2020,3169.0,1640.0,1584.0
68,4001945001,2021,3143.6666666666665,1496.0,1393.0
69,4001945001,2022,3118.3333333333335,1352.0,1202.0
70,4001945002,2016,3093.0,1208.0,1011.0
71,4001945002,2017,3111.0,1215.0,1036.0
72,4001945002,2018,3119.0,1198.0,999.0
73,4001945002,2019,3160.0,1233.0,1036.0
74,4001945002,2020,3334.0,1268.0,1132.0
75,4001945002,2021,2795.6666666666665,1052.0,946.0
76,4001945002,2022,2257.333333333333,836.0,760.0
77,4001945100,2016,1719.0,620.0,574.0
78,4001945100,2017,1644.0,636.0,565.0
79,4001945100,2018,1833.0,756.0,667.0
80,4001945100,2019,1938.0,823.0,735.0
81,4001945100,2020,1997.0,1014.0,898.0
82,4001945100,2021,2526.0,1171.0,1045.0
83,4001945100,2022,3055.0,1328.0,1192.0
84,4001970200,2016,3584.0,1485.0,1339.0
85,4001970200,2017,4032.0,1587.0,1475.0
86,4001970200,2018,3963.0,1335.0,1291.0
87,4001970200,2019,3833.0,1263.0,1217.0
88,4001970200,2020,3695.25,1287.0,1233.25
89,4001970200,2021,3557.5,1311.0,1249.5
90,4001970200,2022,3419.75,1335.0,1265.75
91,4001970300,2016,3282.0,1359.0,1282.0
92,4001970300,2017,3145.0,1363.0,1311.0
93,4001970300,2018,3207.0,1132.0,1095.0
94,4001970300,2019,3248.0,1165.0,1116.0
95,4001970300,2020,2713.0,939.0,915.0
96,4001970300,2021,2958.3333333333335,1248.6666666666667,1175.6666666666667
97,4001970300,2022,3203.6666666666665,1558.3333333333335,1436.3333333333335
