,tract,year,median_income,state_code,state,county
0,04001942600,2016,22371.5,04,AZ,001
1,04001942600,2017,22052.0,04,AZ,001
2,04001942600,2018,17979.0,04,AZ,001
3,04001942600,2019,18096.0,04,AZ,001
4,04001942600,2020,22164.0,04,AZ,001
5,04001942600,2021,24477.33333333333,04,AZ,001
6,04001942600,2022,26790.666666666668,04,AZ,001
7,04001942700,2016,29104.0,04,AZ,001
8,04001942700,2017,27408.0,04,AZ,001
9,04001942700,2018,27532.0,04,AZ,001
10,04001942700,2019,28557.5,04,AZ,001
11,04001942700,2020,30106.5,04,AZ,001
12,04001942700,2021,30302.33333333333,04,AZ,001
13,04001942700,2022,30498.166666666668,04,AZ,001
14,04001944000,2016,30694.0,04,AZ,001
15,04001944000,2017,32446.0,04,AZ,001
16,04001944000,2018,30313.0,04,AZ,001
17,04001944000,2019,33239.0,04,AZ,001
18,04001944000,2020,35057.0,04,AZ,001
19,04001944000,2021,32954.666666666664,04,AZ,001
20,04001944000,2022,30852.33333333333,04,AZ,001
21,04001944100,2016,28750.0,04,AZ,001
22,04001944100,2017,27143.0,04,AZ,001
23,04001944100,2018,24773.0,04,AZ,001
24,04001944100,2019,24904.0,04,AZ,001
25,04001944100,2020,23125.0,04,AZ,001
26,04001944100,2021,25355.0,04,AZ,001
27,04001944100,2022,27585.0,04,AZ,001
28,04001944201,2016,29815.0,04,AZ,001
29,04001944201,2017,24861.0,04,AZ,001
30,04001944201,2018,27500.0,04,AZ,001
31,04001944201,2019,28750.0,04,AZ,001
32,04001944201,2020,25741.5,04,AZ,001
33,04001944201,2021,26390.0,04,AZ,001
34,04001944201,2022,27038.5,04,AZ,001
35,04001944202,2016,27687.0,04,AZ,001
36,04001944202,2017,27733.0,04,AZ,001
37,04001944202,2018,27377.5,04,AZ,001
38,04001944202,2019,27843.0,04,AZ,001
39,04001944202,2020,21276.0,04,AZ,001
40,04001944202,2021,21525.33333333333,04,AZ,001
41,04001944202,2022,21774.666666666668,04,AZ,001
42,04001944300,2016,22024.0,04,AZ,001
43,04001944300,2017,22109.0,04,AZ,001
44,04001944300,2018,21761.0,04,AZ,001
45,04001944300,2019,21786.0,04,AZ,001
46,04001944300,2020,21402.0,04,AZ,001
47,04001944300,2021,21018.0,04,AZ,001
48,04001944300,2022,20634.0,04,AZ,001
49,04001944901,2016,20250.0,04,AZ,001
50,04001944901,2017,22045.0,04,AZ,001
51,04001944901,2018,25417.0,04,AZ,001
52,04001944901,2019,24583.0,04,AZ,001
53,04001944901,2020,22552.5,04,AZ,001
54,04001944901,2021,21172.33333333333,04,AZ,001
55,04001944901,2022,19792.166666666668,04,AZ,001
56,04001944902,2016,18412.0,04,AZ,001
57,04001944902,2017,18716.0,04,AZ,001
58,04001944902,2018,20967.5,04,AZ,001
59,04001944902,2019,18700.5,04,AZ,001
60,04001944902,2020,20913.5,04,AZ,001
61,04001944902,2021,26496.666666666668,04,AZ,001
62,04001944902,2022,32079.833333333336,04,AZ,001
63,04001945001,2016,37663.0,04,AZ,001
