,tract,year,median_income
0,4001942600,2016,22371.5
1,4001942600,2017,22052.0
2,4001942600,2018,17979.0
3,4001942600,2019,18096.0
4,4001942600,2020,22164.0
5,4001942600,2021,24477.333333333332
6,4001942600,2022,26790.666666666668
7,4001942700,2016,29104.0
8,4001942700,2017,27408.0
9,4001942700,2018,27532.0
10,4001942700,2019,28557.5
11,4001942700,2020,30106.5
12,4001942700,2021,30302.333333333332
13,4001942700,2022,30498.166666666668
14,4001944000,2016,30694.0
15,4001944000,2017,32446.0
16,4001944000,2018,30313.0
17,4001944000,2019,33239.0
18,4001944000,2020,35057.0
19,4001944000,2021,32954.666666666664
20,4001944000,2022,30852.333333333332
21,4001944100,2016,28750.0
22,4001944100,2017,27143.0
23,4001944100,2018,24773.0
24,4001944100,2019,24904.0
25,4001944100,2020,23125.0
26,4001944100,2021,25355.0
27,4001944100,2022,27585.0
28,4001944201,2016,29815.0
29,4001944201,2017,24861.0
30,4001944201,2018,27500.0
31,4001944201,2019,28750.0
32,4001944201,2020,25741.5
33,4001944201,2021,26390.0
34,4001944201,2022,27038.5
35,4001944202,2016,27687.0
36,4001944202,2017,27733.0
37,4001944202,2018,27377.5
38,4001944202,2019,27843.0
39,4001944202,2020,21276.0
40,4001944202,2021,21525.333333333332
41,4001944202,2022,21774.666666666668
42,4001944300,2016,22024.0
43,4001944300,2017,22109.0
44,4001944300,2018,21761.0
45,4001944300,2019,21786.0
46,4001944300,2020,21402.0
47,4001944300,2021,21018.0
48,4001944300,2022,20634.0
49,4001944901,2016,20250.0
50,4001944901,2017,22045.0
51,4001944901,2018,25417.0
52,4001944901,2019,24583.0
53,4001944901,2020,22552.5
54,4001944901,2021,21172.333333333332
55,4001944901,2022,19792.166666666668
56,4001944902,2016,18412.0
57,4001944902,2017,18716.0
58,4001944902,2018,20967.5
59,4001944902,2019,18700.5
60,4001944902,2020,20913.5
61,4001944902,2021,26496.666666666668
62,4001944902,2022,32079.833333333336
63,4001945001,2016,37663.0
64,4001945001,2017,36562.5
65,4001945001,2018,41250.0
66,4001945001,2019,40300.5
67,4001945001,2020,49131.5
68,4001945001,2021,40578.333333333336
69,4001945001,2022,32025.166666666668
70,4001945002,2016,23472.0
71,4001945002,2017,22011.0
72,4001945002,2018,20673.0
73,4001945002,2019,22902.0
74,4001945002,2020,24236.0
75,4001945002,2021,23429.5
76,4001945002,2022,22623.0
77,4001945100,2016,21816.5
78,4001945100,2017,25635.0
79,4001945100,2018,27923.5
80,4001945100,2019,33665.0
81,4001945100,2020,29934.0
82,4001945100,2021,33407.0
83,4001945100,2022,36880.0
84,4001970200,2016,40353.0
85,4001970200,2017,48504.0
86,4001970200,2018,55721.0
87,4001970200,2019,48341.0
88,4001970200,2020,46238.5
89,4001970200,2021,44136.0
90,4001970200,2022,42033.5
91,4001970300,2016,39931.0
92,4001970300,2017,46337.5
93,4001970300,2018,50234.0
94,4001970300,2019,60999.5
95,4001970300,2020,73751.0
96,4001970300,2021,66909.66666666667
97,4001970300,2022,60068.333333333336
98,4001970501,2016,53227.0
99,4001970501,2017,52282.0
100,4001970501,2018,55404.5
101,4001970501,2019,54047.0
102,4001970501,2020,57601.0
103,4001970501,2021,55749.0
104,4001970501,2022,53897.0
105,4001970502,2016,52045.0
106,4001970502,2017,64438.0
107,4001970502,2018,62813.0
108,4001970502,2019,66328.0
109,4001970502,2020,61111.0
110,4001970502,2021,51695.666666666664
111,4001970502,2022,42280.33333333333
112,4003000100,2016,32865.0
113,4003000100,2017,36319.5
114,4003000100,2018,35000.0
115,4003000100,2019,34804.0
116,4003000100,2020,38464.625
117,4003000100,2021,42125.25
118,4003000100,2022,45785.875
119,4003000201,2016,49446.5
120,4003000201,2017,49322.5
121,4003000201,2018,50137.0
122,4003000201,2019,49851.5
123,4003000201,2020,53913.0
124,4003000201,2021,52192.0
125,4003000201,2022,50471.0
126,4003000202,2016,48750.0
127,4003000202,2017,42655.5
128,4003000202,2018,35915.0
129,4003000202,2019,32661.0
130,4003000202,2020,36664.0
131,4003000202,2021,38173.666666666664
132,4003000202,2022,39683.333333333336
133,4003000203,2016,41193.0
134,4003000203,2017,41442.0
135,4003000203,2018,40441.0
136,4003000203,2019,44167.0
137,4003000203,2020,49558.0
138,4003000203,2021,40949.5
139,4003000203,2022,32341.0
140,4003000301,2016,23732.5
141,4003000301,2017,27930.5
142,4003000301,2018,26245.0
143,4003000301,2019,28381.0
144,4003000301,2020,30142.5
145,4003000301,2021,33946.5
146,4003000301,2022,37750.5
147,4003000302,2016,41554.5
148,4003000302,2017,59182.0
149,4003000302,2018,54798.0
150,4003000302,2019,55354.5
151,4003000302,2020,54044.375
152,4003000302,2021,52734.25
153,4003000302,2022,51424.125
154,4003000303,2016,50114.0
155,4003000303,2017,52900.0
156,4003000303,2018,57868.0
157,4003000303,2019,47000.0
158,4003000303,2020,47111.0
159,4003000303,2021,41094.5
160,4003000303,2022,35078.0
161,4003000400,2016,29061.5
162,4003000400,2017,33993.0
163,4003000400,2018,34385.5
164,4003000400,2019,40274.5
165,4003000400,2020,45742.5
166,4003000400,2021,44737.5
167,4003000400,2022,43732.5
168,4003000500,2016,42727.5
169,4003000500,2017,41833.0
170,4003000500,2018,39474.0
171,4003000500,2019,41681.0
172,4003000500,2020,38834.125
173,4003000500,2021,35987.25
174,4003000500,2022,33140.375
175,4003000600,2016,30293.5
176,4003000600,2017,41152.5
177,4003000600,2018,45208.5
178,4003000600,2019,39297.5
179,4003000600,2020,42438.5
180,4003000600,2021,39044.166666666664
181,4003000600,2022,35649.833333333336
182,4003000700,2016,32255.5
183,4003000700,2017,35677.0
184,4003000700,2018,41703.5
185,4003000700,2019,57500.0
186,4003000700,2020,38208.5
187,4003000700,2021,36386.666666666664
188,4003000700,2022,34564.833333333336
189,4003000800,2016,32743.0
190,4003000800,2017,39455.0
191,4003000800,2018,43677.5
192,4003000800,2019,40565.0
193,4003000800,2020,56362.0
194,4003000800,2021,44346.5
195,4003000800,2022,32331.0
196,4003000901,2016,20315.5
197,4003000901,2017,20488.5
198,4003000901,2018,22798.5
199,4003000901,2019,24851.5
200,4003000901,2020,20673.0
201,4003000901,2021,23407.0
202,4003000901,2022,26141.0
203,4003000902,2016,28875.0
204,4003000902,2017,24821.0
205,4003000902,2018,23750.0
206,4003000902,2019,28438.0
207,4003000902,2020,30363.0
208,4003000902,2021,29485.666666666668
209,4003000902,2022,28608.333333333332
210,4003001000,2016,27731.0
211,4003001000,2017,30625.5
212,4003001000,2018,31146.0
213,4003001000,2019,34242.5
214,4003001000,2020,48277.0
215,4003001000,2021,43349.5
216,4003001000,2022,38422.0
217,4003001100,2016,33494.5
218,4003001100,2017,37949.0
219,4003001100,2018,37404.0
220,4003001100,2019,32527.0
221,4003001100,2020,34973.0
222,4003001100,2021,35746.0
223,4003001100,2022,36519.0
224,4003001200,2016,37292.0
225,4003001200,2017,41563.0
226,4003001200,2018,37461.0
227,4003001200,2019,32917.0
228,4003001200,2020,33529.0
229,4003001200,2021,38794.0
230,4003001200,2022,44059.0
231,4003001300,2016,49324.0
232,4003001300,2017,49707.5
233,4003001300,2018,44167.0
234,4003001300,2019,48456.0
235,4003001300,2020,46798.75
236,4003001300,2021,45141.5
237,4003001300,2022,43484.25
238,4003001401,2016,41827.0
239,4003001401,2017,51014.0
240,4003001401,2018,61667.0
241,4003001401,2019,62917.0
242,4003001401,2020,59957.0
243,4003001401,2021,63848.0
244,4003001401,2022,67739.0
245,4003001402,2016,71630.0
246,4003001402,2017,78917.0
247,4003001402,2018,81324.0
248,4003001402,2019,85804.0
249,4003001402,2020,86936.0
250,4003001402,2021,68585.66666666667
251,4003001402,2022,50235.333333333336
252,4003001501,2016,31885.0
253,4003001501,2017,37596.0
254,4003001501,2018,33520.0
255,4003001501,2019,36078.0
256,4003001501,2020,36848.0
257,4003001501,2021,34357.0
258,4003001501,2022,31866.0
259,4003001502,2016,29375.0
260,4003001502,2017,29309.0
261,4003001502,2018,26821.0
262,4003001502,2019,24974.0
263,4003001502,2020,26333.0
264,4003001502,2021,36555.333333333336
265,4003001502,2022,46777.66666666667
266,4003001601,2016,57000.0
267,4003001601,2017,66563.0
268,4003001601,2018,54228.0
269,4003001601,2019,55125.0
270,4003001601,2020,53689.0
271,4003001601,2021,46817.666666666664
272,4003001601,2022,39946.333333333336
273,4003001602,2016,33075.0
274,4003001602,2017,40913.0
275,4003001602,2018,49675.0
276,4003001602,2019,43194.0
277,4003001602,2020,45006.5
278,4003001602,2021,46764.666666666664
279,4003001602,2022,48522.833333333336
280,4003001701,2016,50281.0
281,4003001701,2017,45486.0
282,4003001701,2018,38347.0
283,4003001701,2019,42510.0
284,4003001701,2020,49028.5
285,4003001701,2021,48190.333333333336
286,4003001701,2022,47352.166666666664
287,4003001702,2016,46514.0
288,4003001702,2017,47180.0
289,4003001702,2018,44559.5
290,4003001702,2019,49678.5
291,4003001702,2020,55052.5
292,4003001702,2021,55963.666666666664
293,4003001702,2022,56874.833333333336
294,4003001703,2016,57786.0
295,4003001703,2017,65924.5
296,4003001703,2018,72506.0
297,4003001703,2019,72885.5
298,4003001703,2020,70615.5
299,4003001703,2021,70574.83333333333
300,4003001703,2022,70534.16666666667
301,4003001800,2016,70493.5
302,4003001800,2017,70775.0
303,4003001800,2018,74014.5
304,4003001800,2019,80178.5
305,4003001800,2020,85066.0
306,4003001800,2021,89953.5
307,4003001800,2022,94841.0
308,4003001900,2016,99728.5
309,4003001900,2017,93161.5
310,4003001900,2018,93388.0
311,4003001900,2019,97349.5
312,4003001900,2020,97675.0
313,4003001900,2021,79786.33333333333
314,4003001900,2022,61897.666666666664
315,4003002001,2016,44009.0
316,4003002001,2017,46914.0
317,4003002001,2018,47846.0
318,4003002001,2019,50634.0
319,4003002001,2020,67904.0
320,4003002001,2021,66261.33333333333
321,4003002001,2022,64618.666666666664
322,4003002002,2016,62976.0
323,4003002002,2017,68000.0
324,4003002002,2018,58750.0
325,4003002002,2019,57743.0
326,4003002002,2020,61786.0
327,4003002002,2021,59022.333333333336
328,4003002002,2022,56258.666666666664
329,4003002100,2016,53495.0
330,4003002100,2017,63417.0
331,4003002100,2018,62854.0
332,4003002100,2019,65871.0
333,4003002100,2020,79271.0
334,4003002100,2021,84018.0
335,4003002100,2022,88765.0
336,4005000100,2016,93512.0
337,4005000100,2017,95547.0
338,4005000100,2018,107050.0
339,4005000100,2019,102633.0
340,4005000100,2020,104525.0
341,4005000100,2021,89762.83333333333
342,4005000100,2022,75000.66666666667
343,4005000200,2016,60238.5
344,4005000200,2017,55434.5
345,4005000200,2018,69318.0
346,4005000200,2019,71276.0
347,4005000200,2020,76776.5
348,4005000200,2021,65528.833333333336
349,4005000200,2022,54281.16666666667
350,4005000300,2016,43033.5
351,4005000300,2017,47976.0
352,4005000300,2018,51095.0
353,4005000300,2019,48636.5
354,4005000300,2020,51886.125
355,4005000300,2021,55135.75
356,4005000300,2022,58385.375
357,4005000400,2016,61635.0
358,4005000400,2017,61354.0
359,4005000400,2018,63667.0
360,4005000400,2019,57500.0
361,4005000400,2020,75333.0
362,4005000400,2021,70777.66666666667
363,4005000400,2022,66222.33333333333
364,4005000500,2016,61667.0
365,4005000500,2017,73632.0
366,4005000500,2018,60349.0
367,4005000500,2019,71577.0
368,4005000500,2020,74017.5
369,4005000500,2021,70023.83333333333
370,4005000500,2022,66030.16666666667
371,4005000600,2016,62036.5
372,4005000600,2017,59202.0
373,4005000600,2018,82188.0
374,4005000600,2019,91954.0
375,4005000600,2020,83888.0
376,4005000600,2021,75822.0
377,4005000600,2022,67756.0
378,4005000700,2016,59690.0
379,4005000700,2017,64946.5
380,4005000700,2018,72901.0
381,4005000700,2019,75022.5
382,4005000700,2020,69668.0
383,4005000700,2021,56232.0
384,4005000700,2022,42796.0
385,4005000800,2016,29360.0
386,4005000800,2017,29236.0
387,4005000800,2018,34875.0
388,4005000800,2019,35146.0
389,4005000800,2020,37031.0
390,4005000800,2021,49662.666666666664
391,4005000800,2022,62294.33333333333
392,4005000900,2016,74926.0
393,4005000900,2017,77893.0
394,4005000900,2018,75738.0
395,4005000900,2019,81184.0
396,4005000900,2020,64070.75
397,4005000900,2021,46957.5
398,4005000900,2022,29844.25
399,4005001000,2016,12731.0
400,4005001000,2017,14453.0
401,4005001000,2018,15478.0
402,4005001000,2019,13333.0
403,4005001000,2020,18423.5
404,4005001000,2021,34865.66666666667
405,4005001000,2022,51307.833333333336
406,4005001101,2016,67750.0
407,4005001101,2017,47898.0
408,4005001101,2018,60391.0
409,4005001101,2019,62143.0
410,4005001101,2020,70417.0
411,4005001101,2021,55903.0
412,4005001101,2022,41389.0
413,4005001102,2016,26875.0
414,4005001102,2017,35673.0
415,4005001102,2018,40451.0
416,4005001102,2019,45267.0
417,4005001102,2020,48732.375
418,4005001102,2021,52197.75
419,4005001102,2022,55663.125
420,4005001200,2016,59128.5
421,4005001200,2017,59671.5
422,4005001200,2018,62321.0
423,4005001200,2019,64392.5
424,4005001200,2020,68589.625
425,4005001200,2021,72786.75
426,4005001200,2022,76983.875
427,4005001301,2016,81181.0
428,4005001301,2017,84453.0
429,4005001301,2018,86250.0
430,4005001301,2019,95729.0
431,4005001301,2020,73375.0
432,4005001301,2021,69942.33333333333
433,4005001301,2022,66509.66666666667
434,4005001302,2016,63077.0
435,4005001302,2017,74044.0
436,4005001302,2018,74968.0
437,4005001302,2019,78184.0
438,4005001302,2020,81113.0
