State,Average rates
Alabama,0.065
Alaska,0.0534
Arizona,0.049
Arkansas,0.033800000000000004
California,0.0884
Colorado,0.0455
Connecticut,0.075
Delaware,0.087
Florida,0.055
Georgia,0.0575
Hawaii,0.054
Idaho,0.065
Illinois,0.095
Indiana,0.049
Iowa,0.081
Kansas,0.05500000000000001
Kentucky,0.05
Louisiana,0.05499999999999999
Maine,0.071725
Maryland,0.0825
Massachusetts,0.08
Michigan,0.06
Minnesota,0.098
Mississippi,0.045
Missouri,0.04
Montana,0.0675
Nebraska,0.0654
Nevada,0.0
New Hampshire,0.076
New Jersey,0.08625000000000001
New Mexico,0.053500000000000006
New York,0.06875
North Carolina,0.025
North Dakota,0.0309
Ohio,0.0
Oklahoma,0.04
Oregon,0.07100000000000001
Pennsylvania,0.0999
Rhode Island,0.07
South Carolina,0.05
South Dakota,0.0
Tennessee,0.065
Texas,0.0
Utah,0.0495
Vermont,0.07166666666666667
Virginia,0.06
Washington,0.0
"Washington, D.C.",0.0825
West Virginia,0.065
Wisconsin,0.079
Wyoming,0.0
