,county_name,fips,state_name,"Median Debt in Collections, All",Average household income
0,Autauga County,1001,Alabama,1905.0,75515
1,Baldwin County,1003,Alabama,2219.0,80251
2,Barbour County,1005,Alabama,1252.0,47909
3,Bibb County,1007,Alabama,1521.0,58529
4,Blount County,1009,Alabama,2013.0,60646
5,Bullock County,1011,Alabama,1967.0,45516
6,Butler County,1013,Alabama,1860.0,52630
7,Calhoun County,1015,Alabama,2256.0,61117
8,Chambers County,1017,Alabama,1377.0,53553
9,Cherokee County,1019,Alabama,1420.0,55611
10,Chilton County,1021,Alabama,2533.0,62771
11,Choctaw County,1023,Alabama,1133.0,52247
12,Clarke County,1025,Alabama,1869.0,51892
13,Clay County,1027,Alabama,2032.0,56739
14,Cleburne County,1029,Alabama,1506.0,54871
15,Coffee County,1031,Alabama,2223.0,69305
16,Colbert County,1033,Alabama,2428.0,59835
17,Conecuh County,1035,Alabama,1224.0,41773
18,Coosa County,1037,Alabama,1835.1216158143532,55936
19,Covington County,1039,Alabama,2395.0,55315
20,Crenshaw County,1041,Alabama,1876.0,58669
21,Cullman County,1043,Alabama,1785.0,67585
22,Dale County,1045,Alabama,2267.0,59184
23,Dallas County,1047,Alabama,2156.0,46049
24,DeKalb County,1049,Alabama,1681.0,57354
25,Elmore County,1051,Alabama,1929.0,70961
26,Escambia County,1053,Alabama,1698.0,47508
27,Etowah County,1055,Alabama,2033.0,63046
28,Fayette County,1057,Alabama,2069.0,52024
29,Franklin County,1059,Alabama,1846.0,52295
30,Geneva County,1061,Alabama,1903.0,49724
31,Greene County,1063,Alabama,1798.0,33639
32,Hale County,1065,Alabama,1679.0,49368
33,Henry County,1067,Alabama,1887.0,59476
34,Houston County,1069,Alabama,1988.0,66880
35,Jackson County,1071,Alabama,1545.0,52230
36,Jefferson County,1073,Alabama,1839.0,78690
37,Lamar County,1075,Alabama,1223.0,51320
38,Lauderdale County,1077,Alabama,2014.0,69253
39,Lawrence County,1079,Alabama,1767.0,58594
40,Lee County,1081,Alabama,1697.0,73270
41,Limestone County,1083,Alabama,1823.0,76168
42,Lowndes County,1085,Alabama,2905.0,47366
43,Macon County,1087,Alabama,1711.0,48702
44,Madison County,1089,Alabama,2106.0,85717
45,Marengo County,1091,Alabama,2058.0,50946
46,Marion County,1093,Alabama,1628.0,50337
47,Marshall County,1095,Alabama,1631.0,63466
48,Mobile County,1097,Alabama,1993.0,60779
49,Monroe County,1099,Alabama,2947.0,45863
50,Montgomery County,1101,Alabama,2013.0,74318
51,Morgan County,1103,Alabama,1569.0,70726
52,Perry County,1105,Alabama,1244.0,33680
53,Pickens County,1107,Alabama,1152.0,54603
54,Pike County,1109,Alabama,1800.0,54193
55,Randolph County,1111,Alabama,1574.0,56137
56,Russell County,1113,Alabama,2254.0,53747
57,St. Clair County,1115,Alabama,2013.0,69677
58,Shelby County,1117,Alabama,1896.0,96481
59,Sumter County,1119,Alabama,2467.0,38126
60,Talladega County,1121,Alabama,2356.0,58110
61,Tallapoosa County,1123,Alabama,1616.0,56874
62,Tuscaloosa County,1125,Alabama,2057.0,71000
63,Walker County,1127,Alabama,2353.0,64412
64,Washington County,1129,Alabama,1952.0,54475
65,Wilcox County,1131,Alabama,1492.0,42007
66,Winston County,1133,Alabama,1916.0,51630
67,Aleutians East Borough,2013,Alaska,1835.1216158143532,81570
68,Aleutians West Census Area,2016,Alaska,1835.1216158143532,101440
69,Anchorage Municipality,2020,Alaska,2272.0,106660
70,Bethel Census Area,2050,Alaska,1273.0,70334
71,Bristol Bay Borough,2060,Alaska,1835.1216158143532,99525
72,Denali Borough,2068,Alaska,1835.1216158143532,91022
73,Dillingham Census Area,2070,Alaska,1835.1216158143532,72873
74,Fairbanks North Star Borough,2090,Alaska,3008.0,98389
75,Haines Borough,2100,Alaska,1835.1216158143532,76564
76,Juneau City and Borough,2110,Alaska,1553.0,107563
77,Kenai Peninsula Borough,2122,Alaska,3191.0,84549
78,Ketchikan Gateway Borough,2130,Alaska,1835.1216158143532,86145
79,Kodiak Island Borough,2150,Alaska,1835.1216158143532,90125
80,Kusilvak Census Area,2158,Alaska,1835.1216158143532,46732
81,Lake and Peninsula Borough,2164,Alaska,1835.1216158143532,60837
82,Matanuska-Susitna Borough,2170,Alaska,2333.0,91159
83,Nome Census Area,2180,Alaska,1835.1216158143532,73589
84,North Slope Borough,2185,Alaska,1835.1216158143532,93624
85,Northwest Arctic Borough,2188,Alaska,1835.1216158143532,80250
86,Petersburg Borough,2195,Alaska,1835.1216158143532,87391
87,Prince of Wales-Hyder Census Area,2198,Alaska,1835.1216158143532,66830
88,Sitka City and Borough,2220,Alaska,1835.1216158143532,89940
89,Southeast Fairbanks Census Area,2240,Alaska,1835.1216158143532,80274
90,Valdez-Cordova Census Area,2261,Alaska,1835.1216158143532,95129
91,Yakutat City and Borough,2282,Alaska,1835.1216158143532,73088
92,Yukon-Koyukuk Census Area,2290,Alaska,1835.1216158143532,53907
93,Apache County,4001,Arizona,2330.0,42002
94,Cochise County,4003,Arizona,1662.0,64549
95,Coconino County,4005,Arizona,2423.0,78885
96,Gila County,4007,Arizona,1579.0,55246
97,Graham County,4009,Arizona,1870.0,59370
98,Greenlee County,4011,Arizona,1512.0,71773
99,La Paz County,4012,Arizona,2336.0,46901
100,Maricopa County,4013,Arizona,2052.0,89077
101,Mohave County,4015,Arizona,2288.0,57206
102,Navajo County,4017,Arizona,2538.0,53791
103,Pima County,4019,Arizona,1891.0,73423
104,Pinal County,4021,Arizona,2063.0,69864
105,Santa Cruz County,4023,Arizona,1938.0,59164
106,Yavapai County,4025,Arizona,2273.0,65373
107,Yuma County,4027,Arizona,1960.0,59035
108,Arkansas County,5001,Arkansas,1197.0,57077
109,Ashley County,5003,Arkansas,1551.0,55565
110,Baxter County,5005,Arkansas,1828.0,57247
111,Benton County,5007,Arkansas,1852.0,97031
112,Boone County,5009,Arkansas,1506.0,58658
113,Bradley County,5011,Arkansas,1302.0,54378
114,Calhoun County,5013,Arkansas,1835.1216158143532,57517
115,Carroll County,5015,Arkansas,931.0,58830
116,Chicot County,5017,Arkansas,1143.0,53248
117,Clark County,5019,Arkansas,1806.0,54268
118,Clay County,5021,Arkansas,2574.0,46074
119,Cleburne County,5023,Arkansas,1676.0,59787
120,Cleveland County,5025,Arkansas,1835.1216158143532,57182
121,Columbia County,5027,Arkansas,1582.0,53655
122,Conway County,5029,Arkansas,1726.0,57701
123,Craighead County,5031,Arkansas,1739.0,62797
124,Crawford County,5033,Arkansas,1609.0,61329
125,Crittenden County,5035,Arkansas,1759.0,55159
126,Cross County,5037,Arkansas,1239.0,61914
127,Dallas County,5039,Arkansas,1835.1216158143532,44870
128,Desha County,5041,Arkansas,1285.0,43560
129,Drew County,5043,Arkansas,1819.0,57827
130,Faulkner County,5045,Arkansas,1847.0,71385
131,Franklin County,5047,Arkansas,2399.0,49603
132,Fulton County,5049,Arkansas,1148.0,47478
133,Garland County,5051,Arkansas,1462.0,63690
134,Grant County,5053,Arkansas,1238.0,66845
135,Greene County,5055,Arkansas,1763.0,58805
136,Hempstead County,5057,Arkansas,2125.0,52426
137,Hot Spring County,5059,Arkansas,1847.0,54707
138,Howard County,5061,Arkansas,1695.0,59294
139,Independence County,5063,Arkansas,1381.0,59214
140,Izard County,5065,Arkansas,1609.0,50944
141,Jackson County,5067,Arkansas,1241.0,52085
142,Jefferson County,5069,Arkansas,1650.0,53235
143,Johnson County,5071,Arkansas,2070.0,49280
144,Lafayette County,5073,Arkansas,1501.0,59077
145,Lawrence County,5075,Arkansas,2066.0,50287
146,Lee County,5077,Arkansas,1728.0,41798
147,Lincoln County,5079,Arkansas,1174.0,54584
148,Little River County,5081,Arkansas,1523.0,59113
149,Logan County,5083,Arkansas,1318.0,52645
150,Lonoke County,5085,Arkansas,1625.0,70716
151,Madison County,5087,Arkansas,1557.0,61519
152,Marion County,5089,Arkansas,1224.0,45432
153,Miller County,5091,Arkansas,2150.0,56997
154,Mississippi County,5093,Arkansas,1331.0,52080
155,Monroe County,5095,Arkansas,1829.0,47475
156,Montgomery County,5097,Arkansas,1835.1216158143532,51753
157,Nevada County,5099,Arkansas,941.0,45112
158,Newton County,5101,Arkansas,1835.1216158143532,47959
159,Ouachita County,5103,Arkansas,1435.0,49607
160,Perry County,5105,Arkansas,1038.0,56931
161,Phillips County,5107,Arkansas,2002.0,44626
162,Pike County,5109,Arkansas,1101.0,52727
163,Poinsett County,5111,Arkansas,1571.0,47721
164,Polk County,5113,Arkansas,1518.0,48496
165,Pope County,5115,Arkansas,1288.0,57914
166,Prairie County,5117,Arkansas,1835.1216158143532,52656
167,Pulaski County,5119,Arkansas,2006.0,78950
168,Randolph County,5121,Arkansas,1352.0,50329
169,St. Francis County,5123,Arkansas,1532.0,45472
170,Saline County,5125,Arkansas,1897.0,76913
171,Scott County,5127,Arkansas,1840.0,44300
172,Searcy County,5129,Arkansas,1835.1216158143532,48021
173,Sebastian County,5131,Arkansas,1445.0,65730
174,Sevier County,5133,Arkansas,1642.0,57655
175,Sharp County,5135,Arkansas,1968.0,47567
176,Stone County,5137,Arkansas,1835.1216158143532,49251
177,Union County,5139,Arkansas,1391.0,59213
178,Van Buren County,5141,Arkansas,2361.0,50038
179,Washington County,5143,Arkansas,1556.0,72794
180,White County,5145,Arkansas,1510.0,62733
181,Woodruff County,5147,Arkansas,1090.0,47914
182,Yell County,5149,Arkansas,1194.0,58585
183,Alameda County,6001,California,2032.0,134377
184,Alpine County,6003,California,1835.1216158143532,92738
185,Amador County,6005,California,1820.0,78014
186,Butte County,6007,California,1946.0,72948
187,Calaveras County,6009,California,1548.0,79782
188,Colusa County,6011,California,2247.0,82313
189,Contra Costa County,6013,California,1910.0,137621
190,Del Norte County,6015,California,1259.0,61652
191,El Dorado County,6017,California,1899.0,108803
192,Fresno County,6019,California,1693.0,72519
193,Glenn County,6021,California,1453.0,60614
194,Humboldt County,6023,California,1197.0,64549
195,Imperial County,6025,California,1800.0,60686
196,Inyo County,6027,California,1595.0,68448
197,Kern County,6029,California,1914.0,71441
198,Kings County,6031,California,1723.0,74030
199,Lake County,6033,California,1340.0,71170
