Date,Florida,Colorado,Texas,California,Ohio,Minnesota,Montana,Massachusetts,Arizonia,Rhode Island,Maine,Virginia,New York,Alabama,West Virginia,Georgia,Oklahoma,Vermont,Nevada,Mississippi,Michigan,Indiana,North Carolina,New Mexico,Pennsylvania,Utah,Arkansas,Kentucky,Maryland,Louisiana,Wyoming,Tennessee,Connecticut,Idaho,Illinois,South Carolina,South Dakota,New Jersey,Washington,New Hampshire,Alaska,Delaware,Hawaii,Iowa,Kansas,Missouri,Nebraska,Oregon,North Dakota,Wisconsin
1/1/1988,7532,587,2475,11581,1703,1119,35,1626,1902,273,576,2763,2353,659,89,2591,253,177,904,360,1769,1064,1844,424,3787,367,262,578,2346,385,38,1279,1124,166,2088,867,113,2206,1621,771,42,438,251,344,402,1145,236,558,29,1089
2/1/1988,7904,823,2992,11486,1961,1524,40,1767,2062,322,569,4257,3005,816,108,4120,352,362,1004,464,2123,1520,3846,603,3552,486,413,685,3078,391,34,1945,1173,250,2241,1446,81,2717,1678,693,43,482,324,344,589,1299,252,768,36,926
3/1/1988,9858,870,3018,12104,2220,1840,37,2325,2087,357,605,4332,3876,802,108,3961,329,329,1006,417,2717,1796,3639,483,4989,455,425,773,2921,477,36,1934,1628,268,2757,1443,82,5105,1824,1067,29,430,413,375,646,1491,391,749,30,1285
4/1/1988,8937,853,2951,12201,2280,1782,46,1561,2000,334,538,4023,3207,788,102,3673,303,346,942,391,2442,1685,3230,446,3903,507,413,779,3181,449,48,1932,1347,247,2725,1352,89,2666,1752,643,31,417,434,412,571,1277,265,690,70,1246
5/1/1988,9748,792,2892,12598,2409,1723,44,1841,2108,264,439,4132,2930,850,96,3716,331,296,1068,346,2564,1621,3391,441,3767,456,436,738,2590,453,40,1895,1005,234,2746,1332,77,2706,1652,621,32,514,383,367,574,1413,227,711,80,1154
6/1/1988,11335,833,3019,13446,2625,1808,54,1754,2051,346,611,4177,3128,847,111,4276,399,305,727,404,2603,1661,3382,449,4015,502,399,766,3246,482,40,1880,1458,240,2920,1439,102,2897,1717,633,42,563,539,374,663,1535,277,754,98,1243
7/1/1988,9406,870,2839,12575,2473,1372,43,1677,1925,316,539,4028,2961,801,111,3714,272,264,952,354,2428,1559,2724,443,3462,474,380,703,2936,402,40,1589,1224,198,2820,1313,89,2806,1737,614,39,462,675,361,566,1244,254,755,59,1211
8/1/1988,10760,798,2929,13943,2438,1705,45,1579,1966,318,525,4548,2772,757,101,3754,348,353,977,388,2691,1553,3482,406,3926,455,382,747,3232,415,42,1685,1198,221,2834,1432,102,2957,1850,552,44,440,501,369,618,1342,277,770,69,1263
9/1/1988,9781,779,3096,14025,2382,1705,52,1561,1809,267,493,4057,2777,761,90,3444,375,330,1798,371,2553,1743,3418,475,3703,430,389,813,3409,403,68,1671,889,234,2818,1348,92,3001,1883,526,63,494,446,434,628,1532,294,720,74,1300
10/1/1988,9042,748,2757,13655,2147,1537,43,1573,1723,308,412,3695,2857,666,103,3312,356,263,1033,379,2511,1517,3205,437,3465,481,348,694,3045,437,39,1511,599,246,2863,1349,87,2591,1809,507,39,499,302,305,558,1318,288,782,59,1175
11/1/1988,8076,831,3126,17729,2313,1757,41,1501,1875,252,350,4206,2828,734,104,3469,376,225,1143,420,2582,1490,3268,446,3835,478,402,816,3005,392,39,1743,864,245,2823,1391,61,2385,2054,638,39,529,436,403,577,1327,351,828,77,1250
12/1/1988,8159,697,3656,13112,2280,1931,50,1575,1777,272,508,4555,2868,877,120,3551,359,419,1330,418,2577,1910,3255,468,3775,467,466,791,2953,461,38,1609,1107,238,3236,1452,111,1959,1907,476,46,566,312,457,765,1648,367,796,78,1543
1/1/1989,9262,741,3038,13572,2330,1442,32,1466,1616,305,508,4411,2712,706,116,3200,389,288,1138,388,2452,1484,3345,402,3419,455,414,774,2685,434,22,1789,971,186,2741,1308,84,2401,1954,468,28,450,511,438,620,1355,345,846,72,1213
