Longitude,Latitude,Zipcode
-72.878648,41.601435,28202
-70.256668,43.657432,28202
-68.424621,44.541326,4843
-71.057959,42.352824,2111
-71.118913,42.373832,28202
-71.155305,41.702031,28202
-70.662582,42.612569,19801
-72.600637,42.587947,19808
-71.138868,42.451648,28202
-71.776211,44.307428,3246
-85.479839,32.606782,36830
-85.349641,31.341141,36303
-86.070453,34.018213,35952
-87.837519,32.51816,36732
-85.004072,32.470793,36867
-86.503625,34.33712,35203
-87.601323,33.659316,35570
-86.029358,34.672722,35203
-86.839705,34.168227,35055
-87.624719,34.226209,35565
-86.955682,31.433211,36401
-88.145294,34.441791,35582
-88.10861,33.760578,35592
-87.814433,33.929915,35594
-85.11093,31.292788,39837
-86.325829,34.025184,35952
-86.484121,31.308098,35203
-86.590912,34.083317,35203
-87.492461,31.023929,36502
-85.863854,31.033593,72223
-87.071644,31.105841,39201
-86.326164,31.002757,57104
-87.284489,33.730583,35570
-85.36861,33.150834,36278
-86.263729,31.713971,27101
-87.317282,31.504812,36460
-86.749579,33.103149,35040
-86.971249,34.801218,35203
-85.872633,34.270639,35974
-85.431824,31.236023,36303
-92.064249,33.613671,71671
-90.418989,35.530798,70501
-93.577614,33.357532,38804
-92.466015,33.537851,71744
-94.119185,36.120848,72703
-91.79225,33.629148,71655
-94.051985,35.498372,72740
-91.54254,33.120424,71611
-92.847949,33.916591,71763
-92.064305,33.614261,71671
-92.663411,33.214038,35203
-90.787159,35.010912,35203
-93.053037,34.509011,35203
-93.501715,34.031303,71940
-94.208106,36.373131,72701
-93.37968,33.801352,71857
-94.175611,35.336278,72901
-94.22591,35.483265,38804
-94.232105,36.263888,72521
-91.312003,34.692774,72029
-94.136012,36.120094,72833
-94.357218,33.938471,71842
-92.458617,34.769564,72223
-118.442233,34.059213,45202
-82.98644,30.292568,19808
-83.416732,30.469478,57104
-81.42171,30.339021,57104
-80.252961,27.191715,34994
-82.456482,27.947304,30308
-82.443866,29.387987,32626
-81.023568,29.212036,57104
-83.583301,30.117958,57104
-86.570054,30.76032,57104
-81.626261,28.106663,57104
-82.440281,27.960254,30308
-82.571131,27.497179,57104
-87.217336,30.412738,28202
-84.247872,30.509692,30308
