Longitude,Latitude,Zipcode
-8765604.5277,5318191.7558,14068
-8231382.7075,4975222.4167,11101
-8247285.0774,5032103.3401,10901
-8208889.9938,5008471.2748,10528
-8969252.2221,4965197.2665,43920
-10860356.356,4248664.8609,73134
-11881988.7623,3809843.4802,88011
-11799695.9166,4246434.937,87508
-9994272.3055,5400088.3092,53913
-10723154.4808,3585676.8217,77840
-8554630.2893,4709179.0847,20783
-13054459.9052,6050086.3045,99206
-13670665.2843,5698880.5436,97005
-13499061.3904,5475297.446,97701
-13644996.811,5690219.966,97086
-8481037.4326,4969198.9937,17901
-7959677.0036,5110432.8461,2818
-9486111.6549,4165025.308,37415
-8137757.806,5534906.5737,5495
-8078762.1724,5504869.1363,5602
-8814234.9852,4490024.6954,24502
-9121833.6584,4555007.0786,25646
-9073152.9072,4752776.3032,26104
-10441197.9368,3825981.4035,71109
-13125541.4262,4003305.9183,92705
-10079435.8572,5094708.3082,52722
-13619317.2826,6067367.4331,98133
-10585192.4144,3432162.2,77573
-10804112.5592,3852295.7864,75052
-9611083.8195,4330393.7002,37087
-8981259.5143,5015829.6399,44512
-8236878.8044,5157470.6327,12449
-10819824.2664,3873305.8868,76010
-9016309.8766,4159829.0471,29730
-11835826.3763,3723487.1217,79907
-13069760.7145,6052726.9538,99207
-10756059.3034,4978811.8746,68506
-13520023.1073,4649576.5276,95823
-10775449.1459,3898781.4324,75093
-9045145.7635,3318694.6023,32825
-9101372.0327,3522619.9097,32065
16123045.2288,1512905.8042,96913
-11872620.5366,4191071.3752,87114
-13506791.723,5472057.701,97702
-8270718.2749,5016667.067,7420
-8455396.6614,5121881.2553,18844
-8481342.9606,4408393.4217,23464
-10845720.274,3858730.2876,76116
-9601286.6231,5112188.1625,46601
-13046265.9636,3915392.6689,92069
-10546190.2003,4032563.0854,74728
-9244303.4392,5243756.5657,48312
-13140926.6949,4013838.9601,90670
-8915037.702,3086364.4161,33409
-9124635.5633,5058795.1107,44028
-13170067.59,4034353.7111,90006
-9415122.0855,3578019.9508,32351
-13191582.8521,4056792.7257,91406
-9383224.9482,3556723.7228,32310
-9617060.8643,4276956.1911,37130
-13512351.8505,4665174.3032,95825
-9176383.9128,3253154.5492,33612
-9238861.8678,4685282.5736,45662
-13139088.2577,4038227.7363,91731
-10399650.0795,4526426.0118,65613
-13095256.7206,4035045.6968,91764
-9366855.4156,4053850.7055,30040
-9359529.9267,4025047.2241,30043
-8243169.059,4991277.7918,7606
-8452528.1382,4912876.1183,19611
-9637078.9607,4330889.7816,37138
-8244409.2709,5029602.6735,10952
-13039314.4429,3864917.7546,92108
-13418906.1117,5874418.7674,98902
-8229303.6263,4976276.2202,11106
-9757503.244,3545948.2473,36561
-9378820.1949,4007848.8814,30084
-13645185.1338,5712481.3102,97220
-8235486.5168,4955146.6211,11204
-10279554.2207,4125812.6285,72204
-9528889.1491,5203472.4744,49007
-10881682.974,3557620.1173,78759
-8597670.5672,4709410.0924,22182
-10438609.6189,3826561.7827,71103
-10776184.8902,3916199.6108,75033
-10142422.8617,3563446.0153,70806
-9040115.9635,3321181.4582,32826
-10808277.8361,3863258.8861,76011
-10522688.3969,4447129.4614,64804
-10729814.3224,3526215.2615,77833
-9415732.0053,4751368.3291,45239
-12833608.6245,4323565.5802,89145
-9737540.1127,5098322.7359,46323
-8487791.3542,4874724.0547,17601
-12952385.4633,3999745.0826,92211
-7954817.1573,5124384.8166,2920
-13696565.1677,5612361.8102,97301
-8781993.9038,4299120.7048,27701
-13122120.608,4003228.751,92806
-10061916.6435,4664994.9125,63122
-13118785.8742,3986652.065,92606
-8889212.545,4706176.1626,26241
-13121352.0674,4044838.3711,91773
-7344065.8999,2067391.1867,778
-12508742.3206,3979086.8404,85374
