,State,County,City,Zip Code
0,NY,Albany,ALBANY,12207
1,NY,Broome,GLEN AUBREY,13777
2,NY,Broome,HARPURSVILLE,13787
3,NY,Cattaraugus,MACHIAS,14101
4,NY,Erie,ALDEN,14004
5,NY,Erie,HAMBURG,14075
6,NY,Erie,BUFFALO,14213
7,NY,Erie,COLLINS,14034
8,NY,Fulton,MAYFIELD,12117
9,NY,Hamilton,INLET,13360
10,NY,Madison,HAMILTON,13346
11,NY,Monroe,ROCHESTER,14621
12,NY,Monroe,ROCHESTER,14621
13,NY,Monroe,BROCKPORT,14420
14,NY,Monroe,ROCHESTER,14621
15,NY,Monroe,PENFIELD,14526
16,NY,Monroe,ROCHESTER,14609
17,NY,Montgomery,AMSTERDAM,12010
18,NY,Oneida,UTICA,13502
19,NY,Oneida,UTICA,13501
20,NY,Onondaga,BALDWINSVILLE,13027
21,NY,Onondaga,SYRACUSE,13208
22,NY,Ontario,BLOOMFIELD,14469
23,NY,Orange,NEWBURGH,12550
24,NY,Otsego,RICHFIELD SPRINGS,13439
25,NY,Rockland,STONY POINT,10980
26,NY,Rockland,NYACK,10960
27,NY,Rockland,SPRING VALLEY,10977
28,NY,Schuyler,ROCK STREAM,14878
29,NY,Seneca,WATERLOO,13165
30,NY,Suffolk,SAYVILLE,11782
31,NY,Suffolk,SAG HARBOR,11963
32,NY,Suffolk,FARMINGVILLE,11738
33,NY,Suffolk,BAYSHORE,11706
34,NY,Suffolk,SPEONK,11972
35,NY,Suffolk,MEDFORD,11763
36,NY,Sullivan,FERNDALE,12734
37,NY,Tioga,RICHFORD,13835
38,NY,Ulster,HIGHLAND,12528
39,NY,Ulster,SAUGERTIES,12477
40,NY,Ulster,SAUGERTIES,12477
41,NY,Ulster,NAPANOCH,12458
42,NY,Wayne,MACEDON,14502
43,NY,Westchester,PELHAM,10803
44,NY,Westchester,NEW ROCHELLE,10801
45,NY,Westchester,GOLDENS BRIDGE,10526
46,NY,Wyoming,STRYKERSVILLE,14145
47,NY,Yates,DUNDEE,14837
48,NY,Bronx,BRONX,10461
49,NY,Bronx,BRONX,10463
50,NY,Bronx,BRONX,10458
51,NY,Bronx,BRONX,10466
52,NY,Kings,BROOKLYN,11205
53,NY,Kings,BROOKLYN,11206
54,NY,Kings,BROOKLYN,11206
55,NY,Kings,BROOKLYN,11223
56,NY,Kings,BROOKLYN,11211
57,NY,Kings,BROOKLYN,11215
58,NY,Kings,BROOKLYN,11216
59,NY,Kings,BROOKLYN,11220
