name,visits,lat,lon,zipcode
"Bashas' / U.S. 160  Tuba City, AZ 86045, Tuba City, AZ, United States",550476,36.12291949,-111.2240988,86045
"Bashas' / US-160 &, US-163, Kayenta, AZ, United States",358196,36.70961554,-110.2511441,86033
"Bashas' / NWC I-40 & Apache Co Rd 7080, Sanders, AZ, United States",178205,35.21667654,-109.3368392,86512
"Bashas' / NEC 60, Navajo Dr #15, Dilkon, AZ, United States",165821,35.39144076,-110.3293638,86047
"Raley's / Hwy 95 â€?Air Force Road, Tonopah, NV, United States",204394,38.0576237,-117.2185866,89049
"Smith's / West Wendover, NV, United States",457576,40.73962557,-114.0780191,89883
"Albertsons / 1024 21st St, Lewiston, ID, United States",440953,46.40984715,-117.0037218,99179
"WinCo Foods / 2001 17th St, Lewiston, ID, United States",1010627,46.39947988,-117.0071063,99179
"Albertsons / 405 S 8th St, Payette, ID, United States",596822,44.07013992,-116.9340814,97914
"Safeway / Airport Road, Bluewater, Arizona, United States",537941,34.15467248,-114.275805,92242
"Albertsons / 2582 Idaho St, Elko, NV, United States",733991,40.85164097,-115.742994,89801
"Raley's / 2505 Mountain City Hwy., Elko, NV, United States",399710,40.83764379,-115.7926665,89801
"Smith's / 1740 Mountain City Hwy, Elko, NV, United States",743385,40.83497041,-115.7847265,89801
"Raley's / 3701 S. Carson St., Carson City, NV, United States",453090,39.1329797,-119.7677604,89701
"Smith's / 599 E William St, Carson City, NV, United States",748307,39.16900798,-119.7627156,89701
"Trader Joe's / 3790 US Hwy 395 S, Carson City, NV, United States",586084,39.11309003,-119.7757229,89701
"Raley's / 1630 Robb Drive, Reno, NV, United States",617251,39.52792749,-119.8799466,89523
"Raley's / 18144 Wedge Pkwy, Reno, NV, United States",446519,39.39514222,-119.7656764,89521
"Raley's / 4788 Caughlin Pkwy, Reno, NV, United States",391190,39.48287527,-119.8537095,89519
"WinCo Foods / 2855 Northtowne Ln, Reno, NV, United States",1497890,39.55347362,-119.7840811,89512
"Raley's / 1441 Mayberry Dr, Reno, NV, United States",290975,39.51042636,-119.8365624,89509
"Raley's / 701 Keystone Ave, Reno, NV, United States",349166,39.53139482,-119.8325183,89503
"Safeway / 5150 Mae Anne Ave, Reno, NV, United States",833492,39.53098597,-119.8674794,89503
"Raley's / 3310 South McCarran Boulevard, Reno, NV, United States",172907,39.48409947,-119.7465076,89502
"Smith's / 750 S Meadows Pkwy, Reno, NV, United States",817500,39.43732654,-119.7568017,89502
"Sprouts Farmers Market / 587 S Meadows Pkwy, Reno, NV, United States",331044,39.43977302,-119.7600067,89502
"Total Wine & More / S Virginia St 6671, Reno, NV, United States",378508,39.46535708,-119.7856846,89502
"Trader Joe's / 5035 S McCarran Blvd, Reno, NV, United States",521406,39.47879984,-119.7839861,89502
"Whole Foods Market / 6139 S Virginia Street, Reno, NV, United States",905112,39.46879877,-119.787085,89502
"WinCo Foods / 9750 S Virginia St, Reno, NV, United States",1004057,39.44196894,-119.768336,89502
"Raley's / 1363 Highway 395 North, Gardnerville, NV, United States",457812,38.93828861,-119.7411666,89460
"Smith's / 1341 Us Highway 395 N, Gardnerville, NV, United States",426061,38.93681727,-119.738744,89460
"Raley's / 930 Tahoe Blvd., Incline Village, NV, United States",777463,39.25082613,-119.9496802,89451
"Raley's / 176 West Goldfield Avenue, Yerington, NV, United States",372348,38.99581837,-119.1649626,89447
"Raley's / 2389 Wingfield Hills Rd, Spanish Springs, NV, United States",499181,39.60784001,-119.6992121,89436
"Raley's / 1075 N. Hills Blvd., Reno, NV, United States",551822,39.60551701,-119.8401172,89433
"Smith's / 175 Lemmon Dr, Reno, NV, United States",979172,39.61371013,-119.8521937,89433
"Sprouts Farmers Market / 125 Disc Drive, Sparks, NV, United States",283873,39.57510441,-119.7424495,89433
"Raley's / 2895 North McCarran Blvd., Sparks, NV, United States",479121,39.55510425,-119.7541637,89431
"Smith's / 1255 Baring Blvd, Sparks, NV, United States",1151432,39.55470882,-119.7221863,89431
"Safeway / 400 Dartmouth Avenue, Lovelock, Nevada, United States",204068,40.17995299,-118.4769794,89419
"Safeway / 1095 Hwy 95, Hawthorne, NV, United States",289087,38.5352886,-118.6307303,89415
"Safeway / 212 Elks Point Rd, Zephyr Cove, NV, United States",445767,38.986403,-119.9436892,89413
"Raley's / 1400 US Highway 95A North, Fernley, NV, United States",365362,39.60910555,-119.223905,89408
"Safeway / 890 W Williams Ave, Fallon, NV, United States",658402,39.47715227,-118.7871199,89408
"Smith's / 2200 US Highway 50 E, Dayton, NV, United States",720879,39.26394759,-119.5826087,89403
"Walmart Neighborhood Market / 1400 S Lamb Blvd, Sunrise Manor, NV, United States",817687,36.15617037,-115.0796725,89199
"Albertsons / 9725 S Maryland Pkwy, Las Vegas, NV, United States",775640,36.01219299,-115.1382756,89183
"Smith's / 9750 S Maryland Pkwy, Las Vegas, NV, United States",1013879,36.01204901,-115.1341751,89183
"Sprouts Farmers Market / 1140 E Silverado Ranch Blvd, Las Vegas, NV, United States",357673,36.01463811,-115.1381769,89183
"Walmart Neighborhood Market / 490 E Silverado Ranch Blvd, Las Vegas, NV, United States",950596,36.01459554,-115.152623,89183
"Albertsons / 7975 Blue Diamond Rd, Las Vegas, NV, United States",861198,36.01816778,-115.2648422,89178
"Albertsons / 1300 E Flamingo Rd, Las Vegas, NV, United States",515722,36.11579092,-115.1360702,89169
"VONS / 1155 E Twain Ave, Las Vegas, NV, United States",324326,36.12083525,-115.1390725,89169
"Smith's / 10616 S Eastern Ave, Henderson, NV, United States",1018482,35.9995145,-115.1025351,89165
"Sprouts Farmers Market / 635 S Green Valley Pkwy, Henderson, NV, United States",286176,36.00431507,-115.0849207,89165
"Trader Joe's / 10345 S Eastern Ave, Henderson, NV, United States",750902,36.00072245,-115.1093036,89165
"Smith's / 3160 N Rainbow Blvd, Las Vegas, NV, United States",761131,36.21714924,-115.2407715,89158
"Smith's / 1421 N Jones Blvd, Las Vegas, NV, United States",722875,36.18654897,-115.2250903,89158
"Walmart Neighborhood Market / 6151 W Lake Mead Blvd, Las Vegas, NV, United States",578211,36.19459823,-115.2260714,89158
"Albertsons / 6885 E Lake Mead Blvd, Las Vegas, NV, United States",610067,36.19462257,-115.0238204,89156
"Walmart Neighborhood Market / 6570 E Lake Mead Blvd, Sunrise Manor, NV, United States",943944,36.19648794,-115.0290248,89156
"Albertsons / 6730 N Hualapai Way, Las Vegas, NV, United States",779412,36.28372127,-115.313036,89149
"Smith's / 7130 N Durango Dr, Las Vegas, NV, United States",1240297,36.29070941,-115.2856645,89149
"Total Wine & More / 5720 Centennial Center Blvd, Las Vegas, NV, United States",273670,36.26625777,-115.2580178,89149
"Trader Joe's / 5639 Centennial Center Blvd, Las Vegas, NV, United States",555022,36.26356301,-115.2575166,89149
"VONS / 6450 Sky Pointe Dr, Las Vegas, NV, United States",534403,36.28036843,-115.2614818,89149
"Smith's / 10100 W Tropicana Ave, Spring Valley, NV, United States",883475,36.10155833,-115.3131747,89148
"Albertsons / 10140 W Flamingo Rd, Las Vegas, NV, United States",604979,36.11657667,-115.3136312,89147
"Albertsons / 4055 S Durango Dr, Las Vegas, NV, United States",560591,36.11597271,-115.2806118,89147
"Smith's / Las Vegas, NV, United States",798308,36.11617904,-115.2952982,89147
"Sprouts Farmers Market / 4020 S Rainbow Blvd, Las Vegas, NV, United States",358889,36.11535399,-115.2411548,89147
"Smith's / 4840 W Desert Inn Rd, Las Vegas, NV, United States",952923,36.13142854,-115.2064414,89146
"Walmart Neighborhood Market / Casada Way, Las Vegas, Nevada, United States",619777,36.160234,-115.2318252,89146
"Sprouts Farmers Market / 771 S Rainbow Blvd, Las Vegas, NV, United States",241085,36.16413967,-115.2459926,89145
"Total Wine & More / 730 S Rampart Blvd, Las Vegas, NV, United States",532678,36.16311236,-115.2885915,89145
"Whole Foods Market / 8855 W Charleston Blvd,, Las Vegas, NV, United States",741811,36.15772139,-115.2882858,89145
"Albertsons / 10250 W Charleston Blvd, Las Vegas, NV, United States",766508,36.160844,-115.3195852,89144
"Smith's / 9851 W Charleston Blvd, Las Vegas, NV, United States",851834,36.15767836,-115.3122894,89144
"Albertsons / 8410 Farm Rd, Las Vegas, NV, United States",867307,36.30054964,-115.2793513,89143
"Smith's / 9710 W Skye Canyon Park Dr., Las Vegas, NV, United States",1510391,36.31635974,-115.3080756,89143
"Sprouts Farmers Market / 8441 Farm Rd, Las Vegas, NV, United States",314307,36.29955821,-115.2829564,89143
"Smith's / 10600 Southern Highlands Pkwy, Las Vegas, NV, United States",1177340,35.99693924,-115.2054232,89141
"Albertsons / 4800 Blue Diamond Rd, Las Vegas, NV, United States",613694,36.03540337,-115.2066171,89139
"Smith's / 8050 S Rainbow Blvd, Las Vegas, NV, United States",847835,36.04240598,-115.2418074,89139
"Albertsons / 11720 W Charleston Blvd, Las Vegas, NV, United States",753849,36.16088776,-115.3505476,89138
"Trader Joe's / 2315  Summa Dr, Las Vegas, NV, United States",1040544,36.14567973,-115.3355381,89138
"Albertsons / 1940 Village Center Circle, Las Vegas, NV, United States",790834,36.19368059,-115.3058736,89134
"Albertsons / 7151 W Craig Rd, Las Vegas, NV, United States",747190,36.23819362,-115.2502456,89130
"Albertsons / 4850 W Craig Rd, Las Vegas, NV, United States",643032,36.24051208,-115.2091147,89130
"Albertsons / 7075 W Ann Rd, Las Vegas, NV, United States",583939,36.26076233,-115.2478331,89130
"Walmart Neighborhood Market / 5850 W Craig Rd, Las Vegas, NV, United States",543241,36.24052454,-115.2240564,89130
"Albertsons / 8350 W Cheyenne Ave, Las Vegas, NV, United States",957329,36.22010206,-115.2753658,89129
"Walmart Neighborhood Market / 10440 W Cheyenne Ave, Las Vegas, NV, United States",826260,36.22055163,-115.3244075,89129
"Albertsons / 1650 N Buffalo Dr, Las Vegas, NV, United States",791846,36.18987944,-115.258626,89128
"Smith's / 2211 N Rampart Blvd, Las Vegas, NV, United States",1225576,36.20166761,-115.2838352,89128
"Sprouts Farmers Market / 7530 W Lake Mead Blvd, Las Vegas, NV, United States",444207,36.19749581,-115.2586808,89128
"Trader Joe's / 7575 W Washington, Las Vegas, NV, United States",642718,36.18058065,-115.2579542,89128
"Whole Foods Market / 7250 W. Lake Mead Blvd., Las Vegas, NV, United States",554659,36.19758518,-115.2500528,89128
"WinCo Foods / 7501 W Washington Ave, Las Vegas, NV, United States",1271079,36.18038024,-115.2561425,89128
"Smith's / 2385 E Windmill Ln, Las Vegas, NV, United States",770525,36.04050308,-115.1191297,89123
"Smith's / 8180 Las Vegas Blvd S, Las Vegas, NV, United States",294728,36.04018188,-115.1706956,89123
"VONS / 475 E Windmill Ln, Las Vegas, NV, United States",699205,36.04128508,-115.1525805,89123
"Walmart Neighborhood Market / 7445 S Eastern Ave, Las Vegas, NV, United States",423600,36.05496572,-115.1200188,89123
"Albertsons / 2835 S Nellis Blvd, Las Vegas, NV, United States",525572,36.13850768,-115.0672171,89121
"Albertsons / 5500 Boulder Hwy, Las Vegas, NV, United States",476163,36.10167689,-115.0546098,89121
