Latitude,Longitude,Zipcode
32.79793924,-116.9951766,92020
28.03386554,-82.35694026,33637
39.33536844,-76.61769175,21218
42.56977698,-71.94456969,1440
35.78330134,-78.83858778,27513
40.89111732,-74.44419207,7046
40.65316001,-74.34977454,7090
40.86355461,-77.06061498,17862
35.07772739,-90.01887045,38106
42.9866358,-87.97869441,53219
40.63850966,-83.56197627,43326
41.44326841,-80.98855356,44062
41.63800103,-70.98782648,2747
41.55635718,-87.72018003,60478
30.02444745,-90.09007246,70124
39.72346469,-104.8951659,80230
40.68721714,-81.62453829,44662
33.51570212,-102.0095237,79382
41.79016024,-80.57715532,44082
33.16797894,-117.2459464,92081
33.61263727,-117.7021688,92630
40.72834675,-76.89666043,17864
38.7164303,-77.12915542,22309
55.35431817,-131.6866723,99901
55.46544897,-131.8028745,99901
55.36052225,-131.6876932,99901
57.06276006,-135.3480512,99835
58.27532169,-134.3922488,99824
58.34624761,-134.4905843,99801
58.38809155,-134.6500841,99801
66.90233706,-162.5838244,99752
63.98199541,-145.5471025,99737
64.03655617,-145.7287837,99737
64.15369417,-145.8847465,99737
64.86345956,-147.6734733,99712
64.89739395,-147.6893949,99712
64.87409618,-147.8218111,99709
64.82848968,-147.787933,99709
64.73885242,-147.2908217,99705
64.85050963,-147.7166708,99701
64.82083852,-147.7606278,99701
64.84327124,-147.7508936,99701
64.84755887,-147.7052095,99701
60.47244195,-151.1186767,99669
61.58459006,-149.4451123,99654
61.60452839,-149.4139377,99654
61.58117082,-149.3997007,99654
61.57302873,-149.1431861,99645
61.54418376,-149.6138728,99623
57.81035629,-152.3628845,99615
57.80678898,-152.3687843,99615
58.72786905,-157.0152331,99613
60.50893309,-151.1618027,99611
61.31304962,-149.5391302,99577
61.31511954,-149.5757411,99577
59.04325236,-158.4914404,99576
61.40369523,-149.4699938,99567
61.14704889,-149.8937686,99518
61.17552362,-149.9267364,99517
61.10917961,-149.8273104,99516
61.12367199,-149.7789444,99507
61.17365572,-149.8394805,99507
61.21819116,-149.8107084,99507
61.18166704,-149.8136335,99507
61.1910559,-149.7646032,99504
61.19619932,-149.7606465,99504
61.19861391,-149.901563,99503
61.14719969,-149.9558029,99502
46.41128177,-117.0511469,99403
46.41789999,-117.0674813,99403
46.07661212,-118.3328554,99362
46.02890466,-118.3831919,99362
46.06701311,-118.2908111,99362
46.0396003,-118.3056669,99362
46.31950064,-119.2795059,99354
46.28575316,-119.3002629,99354
46.28269907,-119.2854985,99354
46.26743095,-119.2897114,99352
46.27214587,-119.2976123,99352
46.20517592,-119.750126,99350
46.38135977,-118.6480618,99348
46.31490949,-118.7247927,99348
46.19522197,-119.1269135,99337
46.20243586,-119.2528897,99336
46.20491346,-119.1308472,99336
46.04811165,-118.4003194,99324
46.0468067,-118.3999685,99324
46.24238802,-119.1947904,99301
46.2364232,-119.108168,99301
46.27251135,-119.2161384,99301
46.23830455,-119.1460591,99301
47.67467329,-117.4757705,99224
47.74375837,-117.5812922,99224
47.67300772,-117.47468,99224
47.60220753,-117.3900894,99223
47.62431397,-117.3886521,99223
47.73930665,-117.4223381,99218
47.74422052,-117.4182244,99218
47.73206114,-117.3420803,99217
47.72316699,-117.2857835,99217
47.65406006,-117.2086435,99216
47.66439139,-117.2072281,99216
47.65361988,-117.3104805,99212
47.76799485,-117.4725479,99208
47.7224652,-117.4640413,99208
47.72102822,-117.4334511,99208
47.73253955,-117.4195838,99208
47.74041436,-117.4463074,99208
47.68576961,-117.3911115,99207
47.6615229,-117.2707082,99206
47.63624164,-117.2486966,99206
47.64735388,-117.2677346,99206
47.69908129,-117.4495328,99205
47.69626796,-117.4354215,99205
47.62756131,-117.4038442,99203
47.61419443,-117.3965891,99203
47.67194836,-117.4011966,99202
47.64181784,-117.4349348,99202
47.66221505,-117.3861176,99202
47.67195788,-117.4004088,99202
47.6549827,-117.3985415,99202
47.66970529,-117.4165148,99201
48.64811748,-118.7385539,99166
46.72235946,-117.1877935,99163
46.73095355,-117.183299,99163
47.15044193,-118.7212097,99159
48.18447299,-117.1405917,99156
48.61140932,-118.0931101,99141
48.54094807,-117.8960366,99114
48.53021871,-117.8938405,99114
48.56235469,-117.9186437,99114
46.57088679,-117.1291517,99113
47.66314397,-117.1954194,99037
47.63920617,-117.1958605,99037
47.66480634,-117.1841483,99037
47.41333143,-117.3684192,99031
47.41332797,-117.3684058,99031
47.69025895,-117.7328781,99029
47.67086565,-117.0916826,99019
47.50093578,-117.9504156,99008
47.71216985,-117.4328238,99005
46.40802481,-120.2731181,98953
46.33054298,-120.0094664,98944
46.67143033,-120.5370808,98942
47.22423946,-120.9960994,98941
46.80271091,-120.9217174,98937
46.40391064,-120.5464047,98933
46.2574097,-119.8951906,98930
46.98860624,-120.5417957,98926
46.60629202,-120.5667088,98908
46.59588059,-120.5266218,98908
46.61871793,-120.5784544,98908
46.5954238,-120.6593647,98908
46.55001546,-120.4950542,98903
46.58677598,-120.5158848,98902
46.5827712,-120.5156421,98902
46.59937635,-120.5611186,98902
46.60590311,-120.5033772,98901
46.59730569,-120.4581691,98901
48.36388422,-120.1230759,98856
48.78365201,-119.3985096,98855
47.2305408,-119.8742118,98848
48.93867778,-119.0959305,98844
48.40799977,-119.5351492,98841
47.11446498,-119.2539445,98837
47.13795804,-119.3070689,98837
47.1424632,-119.2934558,98837
47.34999445,-119.0335624,98832
47.59452553,-120.6689883,98826
48.09504826,-119.7827747,98812
47.41509292,-120.3365693,98801
47.40472996,-120.3149608,98801
47.4163284,-120.3333349,98801
47.42416426,-120.3171513,98801
47.4283979,-120.3157763,98801
45.73994925,-122.6203712,98686
45.70291243,-122.6697968,98685
45.59928114,-122.5054057,98684
45.72185679,-121.4746851,98672
45.72856627,-121.4863274,98672
45.67958113,-122.6374771,98665
45.63233739,-122.564108,98664
45.61539537,-122.5605234,98664
45.47004832,-122.5542487,98664
45.63230592,-122.5664323,98664
45.65608785,-122.6554116,98663
45.6811036,-122.5929759,98662
45.61784013,-122.6049234,98661
45.65158733,-122.6374801,98661
45.65838,-122.6040616,98661
45.7703542,-122.6404782,98642
46.13233248,-122.9533525,98632
46.1625853,-122.941373,98632
46.14083961,-122.9454709,98632
46.14802345,-122.9501362,98632
46.19149659,-122.9164295,98626
45.82515744,-120.7956259,98620
45.58839601,-122.3985747,98607
45.61707645,-122.4026784,98607
45.59520809,-122.4073317,98607
45.59579155,-122.4727514,98607
45.75887919,-122.5586554,98604
45.75770804,-122.5602143,98604
45.76698243,-122.5624261,98604
46.89636742,-122.606281,98597
46.62052607,-123.8325584,98586
47.2025786,-123.1379226,98584
47.23742963,-123.0943838,98584
46.90023757,-122.6594019,98576
47.19488508,-124.1975742,98571
46.97895906,-123.6558106,98563
46.6561318,-122.9611091,98532
46.70160719,-122.9616607,98531
46.97984211,-123.8198652,98520
47.05161014,-122.8209944,98516
47.06236419,-122.8633675,98506
47.01343292,-122.8223866,98503
47.02341775,-122.7908481,98503
47.04407504,-122.8248839,98503
47.03726634,-122.8086458,98503
47.01214977,-122.8224371,98503
47.041331,-122.7860227,98503
47.03815845,-122.9328488,98502
47.03158749,-122.863382,98501
47.02954636,-122.8726974,98501
47.08827691,-122.9683649,98501
47.04042988,-122.8852918,98501
46.96766202,-122.8343651,98501
47.04287094,-122.8439033,98501
47.15982967,-122.5110901,98499
47.15560764,-122.5720885,98498
47.21150657,-122.527576,98467
47.2358349,-122.5355078,98466
47.09798088,-122.3829578,98446
47.14442115,-122.4337276,98444
47.17042339,-122.4320353,98444
47.12238725,-122.4387278,98444
47.36817168,-122.3069372,98443
47.23619712,-122.3566028,98424
47.30503415,-122.4232237,98422
47.28183405,-122.3704628,98422
47.20407075,-122.4799907,98409
47.1988161,-122.466333,98409
47.24321206,-122.4802387,98407
47.27415865,-122.5208807,98407
47.23775234,-122.4847482,98405
47.24518178,-122.4810518,98405
47.24889269,-122.4476455,98405
47.24546176,-122.4643006,98405
47.20581811,-122.4272961,98404
47.26815245,-122.463728,98403
47.26970176,-122.4589706,98403
47.26350564,-122.447367,98402
47.23339821,-122.4384049,98402
47.21938684,-122.1933757,98391
48.1021529,-123.0964924,98382
48.13173768,-123.1880677,98382
47.185021,-122.2870971,98372
47.18426944,-122.2645256,98372
47.24931014,-122.2876097,98372
47.16879455,-122.2216569,98372
47.18769315,-122.2953379,98371
47.78044621,-122.6002873,98370
47.71836835,-122.6920008,98370
47.71350614,-122.6052729,98370
47.69004593,-122.6496686,98370
47.64313074,-122.660844,98370
47.73881718,-122.6263573,98370
47.7408741,-122.6367362,98370
48.11590801,-122.7546757,98368
48.11708084,-122.7816396,98368
47.41560238,-122.6258012,98367
47.53332696,-122.6369346,98366
48.11159974,-123.4424275,98362
48.09568365,-123.3011482,98362
48.0350001,-122.78259,98339
48.03463434,-122.7929805,98339
47.31738901,-122.6047198,98335
47.28503356,-122.6303153,98335
47.29887344,-122.5813749,98335
47.28967205,-122.5789338,98335
47.32913105,-122.5862688,98335
47.5863865,-122.7172538,98312
47.63608197,-122.7026427,98312
47.59962102,-122.7083683,98312
47.6721216,-122.6816757,98311
47.60769414,-122.6350894,98310
47.93073558,-122.0860129,98290
47.84422805,-122.0151103,98290
48.64608851,-122.33187,98284
48.29794796,-122.6503602,98277
48.29064323,-122.6489414,98277
48.29800973,-122.6503037,98277
47.90802256,-122.2957349,98275
47.88070552,-122.2845715,98275
47.87721216,-122.2886153,98275
48.4217741,-122.3241404,98274
48.40601204,-122.3443294,98273
48.42734634,-122.3061161,98273
48.4229207,-122.3355502,98273
47.84945566,-121.986986,98272
47.86427682,-121.916012,98272
47.8518974,-121.9808842,98272
47.85212955,-121.9846493,98272
47.85479508,-121.9829653,98272
47.87409713,-121.8290882,98272
48.07275469,-122.1393158,98270
48.06165241,-122.1615502,98270
47.46888686,-122.3434172,98270
48.96243545,-122.4057678,98264
48.98211016,-122.4846336,98264
48.97079793,-122.406836,98264
48.95004092,-122.4437763,98264
48.94887175,-122.4464689,98264
48.01473451,-122.4087097,98260
47.96065312,-122.0904757,98258
48.53188791,-123.0201538,98250
48.53426426,-123.0262611,98250
48.84291476,-122.6114774,98248
48.69832656,-122.9080834,98245
48.70138503,-122.9066903,98245
48.70503045,-122.9066169,98245
47.97981019,-122.4056101,98236
48.47985818,-122.3129413,98233
48.72218987,-122.4701651,98229
48.74195913,-122.3996098,98229
48.74619484,-122.4011245,98226
48.77455776,-122.4526685,98226
48.83538901,-122.5306633,98226
48.83395174,-122.5280831,98226
48.76212806,-122.4844861,98225
48.75430219,-122.4849972,98225
48.77542418,-122.5026782,98225
48.75271066,-122.4725687,98225
48.77076169,-122.4924649,98225
48.75816746,-122.4736942,98225
48.71899502,-122.481742,98225
48.17814341,-122.1974497,98223
48.20875444,-122.0990854,98223
48.51695125,-122.6178909,98221
48.46568964,-122.3428575,98221
47.8810043,-122.1776069,98208
47.91998457,-122.2219391,98208
47.90961135,-122.1897143,98208
47.89967318,-122.2234014,98208
47.88096858,-122.1871414,98208
47.89594881,-122.2380989,98204
47.96278201,-122.21794,98203
47.94564784,-122.2646034,98203
47.92253595,-122.2084508,98203
47.98751219,-122.1930672,98201
47.87955227,-122.204756,98201
47.98417296,-122.2102707,98201
47.64808735,-122.3993306,98199
47.40449753,-122.3109211,98198
47.36837275,-122.3071589,98198
47.36837459,-122.307113,98198
47.43835097,-122.2737886,98188
47.51063585,-122.2626911,98178
47.51101391,-122.2600339,98178
47.77104339,-122.3778111,98177
47.76294134,-122.3660292,98177
47.37965535,-122.2382322,98168
47.46016772,-122.3367795,98166
47.5108926,-122.3674988,98166
47.73603376,-122.3282588,98155
47.76094398,-122.3138105,98155
47.77383244,-122.3096568,98155
47.73606077,-122.3031932,98155
47.51077502,-122.3674319,98146
47.48912715,-122.348207,98146
47.51319728,-122.3693376,98146
47.51315446,-122.3693157,98146
47.48186462,-122.3370407,98146
47.59951627,-122.2968982,98144
47.51157449,-122.3183536,98144
47.58881014,-122.2964639,98144
47.5749851,-122.2855145,98144
47.66586249,-122.3136476,98134
47.75669328,-122.3536844,98133
47.76847429,-122.353136,98133
47.7393271,-122.3504832,98133
47.73871396,-122.3354152,98133
47.7133364,-122.3534817,98133
47.80547028,-122.3224106,98133
47.67714009,-122.3225395,98133
47.67444978,-122.3626064,98133
47.53883159,-122.3759662,98126
47.70111782,-122.2984812,98125
47.72168227,-122.3134737,98125
47.72909276,-122.2960023,98125
47.72117979,-122.2901883,98125
47.70006847,-122.3267697,98125
47.61143126,-122.2879815,98122
47.60966038,-122.308589,98122
47.61253854,-122.3163324,98122
47.61793587,-122.2859091,98122
47.61332862,-122.3259773,98122
47.61633421,-122.3079526,98122
47.61996774,-122.3388765,98121
47.63105526,-122.3586579,98119
47.638431,-122.3605048,98119
47.5371397,-122.2846708,98118
47.54951131,-122.2866345,98118
47.65444768,-122.3959593,98118
47.54394219,-122.2679824,98118
47.54396695,-122.26798,98118
47.7192612,-122.3217284,98117
47.56636124,-122.3870796,98116
47.56532448,-122.3851465,98116
47.56432683,-122.3851444,98116
47.69359596,-122.289416,98115
47.69059098,-122.3199505,98115
47.68698979,-122.300133,98115
47.68071032,-122.3252908,98115
47.69916074,-122.3172393,98115
47.66248663,-122.3075695,98115
47.68563524,-122.3183378,98115
47.68075822,-122.2884124,98115
47.6749302,-122.2928878,98115
47.69421998,-122.3181073,98115
47.68786222,-122.2649643,98115
47.62553064,-122.3082656,98112
47.62292471,-122.2885582,98112
47.63461799,-122.3078681,98112
47.67892149,-122.535193,98110
47.62392287,-122.5212468,98110
47.66322785,-122.5763326,98110
47.62137406,-122.5439188,98110
47.62673787,-122.5551036,98110
47.63631058,-122.5205013,98110
47.61884632,-122.3472142,98109
47.55629548,-122.3165988,98108
47.54941513,-122.286578,98108
47.67123747,-122.3754721,98107
47.66026883,-122.3641873,98107
47.52061859,-122.3392076,98106
47.66628882,-122.3181081,98105
47.66362315,-122.2732994,98105
47.66570261,-122.3136337,98105
47.60806397,-122.3250942,98104
47.68955368,-122.3360396,98103
47.66398105,-122.3312033,98103
47.68643589,-122.3571212,98103
47.66392239,-122.3367288,98103
47.66446435,-122.3522668,98103
47.64133096,-122.3167805,98102
47.63186892,-122.321264,98102
47.63925489,-122.3203878,98102
