Longitude,Latitude,Zipcode
-9844095.0453,5230976.1334,60034
-9007027.1226,4195441.5319,28208
-9580425.8697,4792069.2056,46131
-12432974.0329,3927587.8699,85142
-12432580.2285,3924830.5989,85142
-12435059.8462,3929308.1221,85298
-12518034.063,3949789.4637,85338
-12407477.2667,4426920.5747,86040
-12423216.5734,3938352.1114,85212
-13408470.4354,4153714.9667,93458
-13174788.1072,4052775.2456,91505
-13143103.2146,4106372.5697,93550
-13485278.6314,4505626.8848,95363
-13513842.0605,4418854.2179,95023
-13684095.3809,4974867.4948,96093
-8566907.6786,4706684.9623,20019
-8570066.4543,4706760.137,20002
-8573076.1359,4708644.3251,20001
-8570750.7907,4704626.5888,20003
-8568402.162,4707514.7713,20002
-8569090.1805,4706882.0087,20002
-9084113.609,3526259.7699,32257
-9096228.4053,3501280.3052,32043
-8932262.7966,2975257.7762,33142
-9285128.6636,3564240.5581,32340
-9189766.319,3176860.6156,34203
-12745889.2671,5251315.7852,83301
-10045501.6867,4827879.4128,62650
-9938576.4975,4764736.2618,62075
-9896926.5228,4600351.1471,62846
-9589147.2092,4823736.2632,46227
-9606536.0292,5114199.6541,46628
-9737204.2239,4485421.9049,42431
-10824926.146,4520683.4193,67037
-9412298.7338,4725783.5987,41017
-9739419.3548,4424029.5617,42240
-9399158.618,4724281.2867,41076
-9537113.176,4607396.5683,40218
-10027056.1579,3502260.9644,70119
-10374444.1972,3526071.3308,70607
-10027717.412,3502016.9855,70119
-10022485.7144,3500569.0645,70122
-10024738.63,3499478.8,70117
-10022832.906,3499230.3364,70117
-10192991.605,3717480.314,71334
-10025283.2327,3491657.8568,70053
-10242559.7358,3535429.9138,70501
-10017114.7316,3492890.3156,70131
-10013116.3349,3507383.6848,70128
-10392754.7981,3522632.4676,70663
-10026958.1406,3490174.3762,70058
-10022232.132,3487926.7199,70056
-10081137.5873,3557327.3179,70462
-8517457.2243,4718950.6241,21401
-9584589.9472,5278391.6101,49423
-9243689.8076,5213821.5145,48207
-10404176.1593,5605256.8331,55345
-10387329.7581,5600763.7484,55423
-9287224.1083,5223429.0393,48152
-9282764.6075,5195897.9879,48174
-9262944.7634,5230943.1872,48075
-10384142.7297,5607891.4058,55419
-10311318.2481,5527867.2822,55027
-10380125.2909,5615742.2669,55404
-10394036.9689,5684726.7968,55070
-10356796.8327,5619892.7478,55106
-10464078.8889,5491286.7176,56001
-7975731.4306,5379566.6846,3235
-8336779.2143,4922351.7387,8530
-8263086.9551,4964750.3038,7203
-8616931.1061,4238666.1576,28590
-8783159.7774,4307130.3076,27704
-8781017.1726,4299908.3582,27701
-8783304.8438,4288764.0811,27713
-8737223.5428,4303694.6869,27596
-10671491.9954,4317876.1557,74112
-10684135.2017,4311894.272,74105
-10783224.6069,3873458.2795,75235
-10835806.1062,3630663.4825,76554
-10624369.6571,3486157.3654,77091
-11112373.7777,3336741.8718,78839
-10841365.2255,3811074.1177,76031
-12461410.149,4937531.394,84065
-12448840.1048,5113994.283,84326
-12453957.7357,4923357.8293,84043
-12450840.4841,4928038.5698,84043
-10356444.3403,5602586.6198,55075
-10394043.474,5684726.2326,55070
-10189256.2656,3488778.8397,70544
-10298516.204,5895002.4213,55720
-10313514.7245,5159891.0654,52339
-10498243.7327,6001268.7574,56626
-10575578.6157,4279686.6604,74464
-12759925.4759,3856708.3574,85364
-10881138.6096,3531281.8226,78741
-9090347.9609,5086817.2447,44114
-12653293.4403,4462727.5099,84738
-9080516.6762,3529416.2577,32256
-9906877.3773,3658502.2943,39462
-10235028.4388,4605701.6514,65582
-11391307.8044,5349819.1203,57772
-9234765.8102,4853446.4057,43207
-9376755.7692,4839277.6421,45415
-11904882.5584,4304262.4821,87013
-10216124.3914,4569870.0745,65401
-12039923.086,4313010.1992,87313
-12047833.4427,4402227.0397,87401
-10795511.3015,3897891.7795,75057
-9762433.9532,4066346.7468,35543
-7308076.1364,2063021.2197,735
-7382867.9485,2077248.6534,783
-7402531.2251,2051710.4267,766
-11507759.7575,5753972.8601,57775
-7334266.7446,2082935.6826,729
16132198.7853,1523311.3941,96929
16122905.3952,1519735.6949,96929
16114438.2282,1510735.7535,96910
16127480.6923,1519965.1296,96929
-10830212.1838,3851369.9467,76119
-12563471.179,3812475.4811,85321
-9753840.9368,3895283.0077,35474
-9463978.3571,3826135.841,36867
-16647465.7849,8698487.1051,99577
-16686165.1969,8674742.3668,99501
-14964247.3496,8031379.7442,99801
-16664843.4046,8741827.0827,99623
-10273879.9471,4135561.4279,72117
-9600952.7114,3806659.1196,36116
-10478619.5485,4325885.3547,72764
-10492198.3236,4306232.3473,72730
-10267579.3235,4173188.6242,72173
-12463184.5707,4000454.1155,85266
-12145856.6675,4425715.7063,86514
-12693021.5552,3854441.7069,85356
-10018596.8125,4193516.4895,38127
-10006725.2414,4171231.8187,38118
