lat,lon,zipcode
40.74,-114.04,84083
55.35,-131.67,99901
58.36,-134.55,99824
58.36,-134.56,99824
64.76,-147.35,99705
64.85,-147.7,99703
64.85,-147.69,99703
64.83,-147.65,99703
64.84,-147.81,99701
64.84,-147.82,99701
64.82,-147.87,99701
60.49,-151.05,99672
60.48,-151.07,99672
60.13,-149.43,99664
61.6,-149.13,99645
61.6,-149.12,99645
61.58,-149.41,99623
61.58,-149.44,99623
61.58,-149.41,99623
61.58,-149.41,99623
57.81,-152.37,99615
59.64,-151.54,99556
61.18,-149.98,99529
61.17,-149.98,99529
61.14,-149.84,99518
61.13,-149.89,99518
61.14,-149.86,99518
61.14,-149.84,99518
61.14,-149.92,99518
61.13,-149.88,99518
61.19,-149.92,99517
61.11,-149.85,99515
61.22,-149.89,99513
61.22,-149.89,99513
61.32,-149.57,99505
61.33,-149.57,99505
61.35,-149.55,99505
61.26,-149.68,99505
61.21,-149.78,99504
61.21,-149.74,99504
61.2,-149.74,99504
61.23,-149.74,99504
61.23,-149.75,99504
61.23,-149.74,99504
61.19,-149.87,99503
61.18,-149.88,99503
61.18,-149.84,99503
61.14,-149.96,99502
61.15,-149.95,99502
61.22,-149.82,99501
46.07,-118.34,99362
46.08,-118.3,99362
46.07,-118.34,99362
46.23,-119.23,99352
46.23,-119.27,99352
46.26,-119.31,99352
46.3,-119.28,99352
46.3,-119.28,99352
46.26,-119.27,99352
46.23,-119.27,99352
46.26,-119.31,99352
46.21,-119.22,99336
46.23,-119.21,99336
46.19,-119.18,99336
46.21,-119.16,99336
46.2,-119.16,99336
46.27,-119.19,99336
46.05,-118.35,99324
46.05,-118.35,99324
47.64,-117.56,99224
47.62,-117.54,99224
47.63,-117.54,99224
47.63,-117.54,99224
47.59,-117.56,99224
47.6,-117.37,99223
47.6,-117.37,99223
47.74,-117.49,99218
47.72,-117.44,99218
47.77,-117.4,99218
47.72,-117.42,99218
47.75,-117.4,99218
47.75,-117.4,99218
47.74,-117.41,99218
47.77,-117.4,99218
47.75,-117.4,99218
47.68,-117.28,99212
47.66,-117.28,99212
47.7,-117.41,99207
47.69,-117.37,99207
47.69,-117.37,99207
47.68,-117.41,99207
47.66,-117.24,99206
47.7,-117.45,99205
47.68,-117.44,99205
47.7,-117.45,99205
47.65,-117.41,99204
47.62,-117.4,99203
47.63,-117.37,99202
47.63,-117.37,99202
47.67,-117.36,99202
47.65,-117.36,99202
47.66,-117.34,99202
47.67,-117.4,99201
47.66,-117.42,99201
47.67,-117.4,99201
47.67,-117.4,99201
46.41,-117,99179
46.42,-117.04,99179
46.42,-117.04,99179
47.12,-118.37,99169
46.74,-117.17,99165
46.72,-117.18,99163
48.55,-117.91,99114
47.63,-117.22,99037
47.66,-117.22,99037
47.66,-117.2,99037
47.66,-117.19,99037
47.67,-117.1,99019
47.64,-117.65,99011
47.51,-117.57,99004
47.51,-117.57,99004
46.38,-120.32,98953
46.32,-120.01,98938
46.26,-119.89,98930
46.22,-119.79,98930
47,-120.54,98926
47,-120.53,98926
46.98,-120.54,98926
46.99,-120.55,98926
46.62,-120.56,98902
46.58,-120.49,98902
46.6,-120.52,98902
46.59,-120.5,98902
46.6,-120.58,98902
46.58,-120.54,98902
46.59,-120.6,98902
46.6,-120.58,98902
46.62,-120.56,98902
46.57,-120.48,98902
46.59,-120.54,98902
47.6,-120.66,98847
47.6,-120.65,98847
48.42,-119.51,98841
47.13,-119.27,98837
47.1,-119.25,98837
47.14,-119.28,98837
47.31,-119.56,98823
47.84,-120.02,98816
47.4,-120.28,98801
47.41,-120.29,98801
47.41,-120.29,98801
47.44,-120.33,98801
47.43,-120.32,98801
47.45,-120.33,98801
45.72,-122.65,98686
45.72,-122.65,98686
45.69,-122.67,98685
45.72,-122.67,98685
45.72,-122.66,98685
45.72,-122.67,98685
45.62,-122.53,98684
45.64,-122.51,98684
45.61,-122.51,98683
45.59,-122.48,98683
