,PROPERTY_ID,Year,Avg_RentActual
0,111_1,2016,95.88333333333334
1,111_1,2017,95.45
2,111_1,2018,91.06666666666668
3,111_1,2019,92.86666666666667
4,111_1,2020,94.87500000000001
5,111_1,2021,97.49999999999999
6,111_1,2022,95.6
7,111_10,2016,84.70833333333333
8,111_10,2017,85.59999999999998
9,111_10,2018,85.18333333333332
10,111_10,2019,81.25833333333334
11,111_10,2020,97.20833333333333
12,111_10,2021,98.32499999999999
13,111_10,2022,98.99999999999999
14,111_100,2016,85.97500000000001
15,111_100,2017,90.89166666666665
16,111_100,2018,87.1416666666667
17,111_100,2019,86.75
18,111_100,2020,89.42500000000001
19,111_100,2021,91.55833333333334
20,111_100,2022,87.9
21,111_1004827,2016,
22,111_1004827,2017,
23,111_1004827,2018,
24,111_1004827,2019,
25,111_1004827,2020,66.67272727272726
26,111_1004827,2021,88.63333333333333
27,111_1004827,2022,95.44999999999999
28,111_101,2016,94.10000000000001
29,111_101,2017,86.44166666666666
30,111_101,2018,87.55833333333334
31,111_101,2019,91.44166666666666
32,111_101,2020,89.33333333333333
33,111_101,2021,89.44166666666666
34,111_101,2022,94.7
35,111_102,2016,93.58333333333331
36,111_102,2017,94.46666666666665
37,111_102,2018,94.76666666666667
38,111_102,2019,96.54166666666667
39,111_102,2020,95.675
40,111_102,2021,96.85000000000001
41,111_102,2022,97.1
42,111_103,2016,93.59999999999998
43,111_103,2017,90.58333333333333
44,111_103,2018,94.19999999999999
45,111_103,2019,96.63333333333331
46,111_103,2020,96.56666666666665
47,111_103,2021,97.55833333333334
48,111_103,2022,96.8
49,111_1031,2016,
50,111_1031,2017,
51,111_1031,2018,
52,111_1031,2019,
53,111_1031,2020,99.19999999999999
54,111_1031,2021,97.02499999999999
55,111_1031,2022,97.25
56,111_1046,2016,89.5
57,111_1046,2017,89.5
58,111_1046,2018,88.16666666666667
59,111_1046,2019,90.79166666666667
60,111_1046,2020,96.9666666666667
61,111_1046,2021,96.75
62,111_1046,2022,96.1
63,111_105,2016,
64,111_105,2017,89.7
65,111_105,2018,89.70000000000003
66,111_105,2019,89.62500000000001
67,111_105,2020,90.18333333333335
68,111_105,2021,97.43333333333334
69,111_105,2022,94.85
70,111_107,2016,97.30833333333332
71,111_107,2017,99.83333333333333
72,111_107,2018,96.70833333333333
73,111_107,2019,93.66666666666667
74,111_107,2020,99.91666666666667
75,111_107,2021,100.0
76,111_107,2022,100.0
77,111_109,2016,81.275
78,111_109,2017,97.04166666666667
79,111_109,2018,96.20833333333336
80,111_109,2019,90.27500000000002
81,111_109,2020,88.90833333333335
82,111_109,2021,87.78333333333335
83,111_109,2022,88.7
84,111_1091788,2016,
85,111_1091788,2017,
86,111_1091788,2018,
87,111_1091788,2019,86.15
88,111_1091788,2020,86.35833333333335
89,111_1091788,2021,81.7
90,111_1091788,2022,70.85
91,111_1091789,2016,
92,111_1091789,2017,
93,111_1091789,2018,
94,111_1091789,2019,93.95
95,111_1091789,2020,99.175
96,111_1091789,2021,98.89999999999999
97,111_1091789,2022,97.525
98,111_1091795,2016,
99,111_1091795,2017,
100,111_1091795,2018,
101,111_1091795,2019,
102,111_1091795,2020,87.89999999999999
103,111_1091795,2021,87.89999999999999
104,111_1091795,2022,87.9
105,111_1091801,2016,
106,111_1091801,2017,
107,111_1091801,2018,
108,111_1091801,2019,
109,111_1091801,2020,
110,111_1091801,2021,
111,111_1091801,2022,
112,111_1091818,2016,
113,111_1091818,2017,
114,111_1091818,2018,
115,111_1091818,2019,90.0
116,111_1091818,2020,92.78333333333332
117,111_1091818,2021,99.44166666666666
118,111_1091818,2022,99.575
119,111_1092159,2016,
120,111_1092159,2017,
121,111_1092159,2018,
122,111_1092159,2019,
123,111_1092159,2020,99.2
124,111_1092159,2021,98.24999999999999
125,111_1092159,2022,98.25
126,111_1092166,2016,
127,111_1092166,2017,
128,111_1092166,2018,
129,111_1092166,2019,
130,111_1092166,2020,
131,111_1092166,2021,
132,111_1092166,2022,
133,111_1092177,2016,
134,111_1092177,2017,
135,111_1092177,2018,
136,111_1092177,2019,
137,111_1092177,2020,
138,111_1092177,2021,
139,111_1092177,2022,
140,111_1092189,2016,
141,111_1092189,2017,
142,111_1092189,2018,
143,111_1092189,2019,94.2
144,111_1092189,2020,96.15000000000002
145,111_1092189,2021,100.0
146,111_1092189,2022,100.0
147,111_11,2016,88.18333333333334
148,111_11,2017,90.34166666666665
149,111_11,2018,95.49166666666667
150,111_11,2019,94.21666666666665
151,111_11,2020,92.66666666666667
152,111_11,2021,94.56666666666666
153,111_11,2022,98.67500000000001
154,111_111,2016,94.70000000000003
155,111_111,2017,94.70000000000003
156,111_111,2018,94.70000000000003
157,111_111,2019,94.70000000000003
158,111_111,2020,94.70000000000003
159,111_111,2021,94.70000000000003
160,111_111,2022,94.7
161,111_1112,2016,
162,111_1112,2017,
163,111_1112,2018,
164,111_1112,2019,
165,111_1112,2020,95.46363636363638
166,111_1112,2021,96.70000000000003
167,111_1112,2022,96.7
168,111_113,2016,80.02500000000002
169,111_113,2017,80.10833333333335
170,111_113,2018,86.63333333333334
171,111_113,2019,89.62500000000001
172,111_113,2020,91.12499999999999
173,111_113,2021,95.21666666666664
174,111_113,2022,95.05
175,111_114,2016,93.22500000000001
176,111_114,2017,91.625
177,111_114,2018,92.26666666666665
178,111_114,2019,95.43333333333334
179,111_114,2020,91.86666666666666
180,111_114,2021,92.89166666666665
181,111_114,2022,95.8
182,111_1177673,2016,
183,111_1177673,2017,
184,111_1177673,2018,
185,111_1177673,2019,
186,111_1177673,2020,96.72857142857143
187,111_1177673,2021,97.38333333333334
188,111_1177673,2022,98.9
189,111_12,2016,93.59166666666664
190,111_12,2017,94.375
191,111_12,2018,94.64999999999999
192,111_12,2019,95.45833333333333
193,111_12,2020,92.35833333333333
194,111_12,2021,95.37500000000001
195,111_12,2022,95.325
196,111_1244,2016,
197,111_1244,2017,
198,111_1244,2018,
199,111_1244,2019,
200,111_1244,2020,94.69166666666668
201,111_1244,2021,94.325
202,111_1244,2022,93.5
203,111_1297748,2016,97.22500000000001
204,111_1297748,2017,97.375
205,111_1297748,2018,97.03333333333335
206,111_1297748,2019,96.66666666666669
207,111_1297748,2020,97.03333333333336
208,111_1297748,2021,96.90000000000002
209,111_1297748,2022,96.10000000000001
210,111_1297749,2016,94.85000000000001
211,111_1297749,2017,95.0
212,111_1297749,2018,94.69999999999999
213,111_1297749,2019,94.44999999999999
214,111_1297749,2020,94.7
215,111_1297749,2021,94.27499999999999
216,111_1297749,2022,92.05
217,111_13,2016,80.79999999999998
218,111_13,2017,81.30833333333334
219,111_13,2018,76.31666666666666
220,111_13,2019,74.82499999999999
221,111_13,2020,94.60000000000001
222,111_13,2021,96.82499999999999
223,111_13,2022,98.65
224,111_1306,2016,77.39999999999999
225,111_1306,2017,80.95833333333333
226,111_1306,2018,90.175
227,111_1306,2019,80.69166666666665
228,111_1306,2020,87.79166666666667
229,111_1306,2021,99.10000000000002
230,111_1306,2022,100.0
231,111_1307,2016,96.10000000000001
232,111_1307,2017,94.68333333333334
233,111_1307,2018,91.28333333333336
234,111_1307,2019,88.55833333333334
235,111_1307,2020,84.98333333333335
236,111_1307,2021,90.2
237,111_1307,2022,94.1
238,111_1308,2016,92.99166666666666
239,111_1308,2017,92.96666666666665
240,111_1308,2018,96.05
241,111_1308,2019,95.55833333333334
242,111_1308,2020,97.40833333333335
243,111_1308,2021,99.64999999999999
244,111_1308,2022,99.69999999999999
245,111_1312,2016,92.00833333333333
246,111_1312,2017,88.84166666666665
247,111_1312,2018,93.34166666666668
248,111_1312,2019,95.35833333333335
249,111_1312,2020,93.33333333333333
250,111_1312,2021,94.60000000000001
251,111_1312,2022,94.6
252,111_1318,2016,93.11666666666669
253,111_1318,2017,90.3583333333333
254,111_1318,2018,91.76666666666667
255,111_1318,2019,95.05833333333332
256,111_1318,2020,97.64166666666667
257,111_1318,2021,97.20833333333331
258,111_1318,2022,96.32499999999999
259,111_1318983,2016,
260,111_1318983,2017,
261,111_1318983,2018,
262,111_1318983,2019,
263,111_1318983,2020,
264,111_1318983,2021,
265,111_1318983,2022,90.7
266,111_1319,2016,90.31666666666668
267,111_1319,2017,97.31666666666666
268,111_1319,2018,91.94166666666666
269,111_1319,2019,89.3916666666667
270,111_1319,2020,85.75
271,111_1319,2021,87.625
272,111_1319,2022,90.0
273,111_1320,2016,97.75
274,111_1320,2017,95.0
275,111_1320,2018,98.66666666666667
276,111_1320,2019,97.25
277,111_1320,2020,97.83333333333333
278,111_1320,2021,97.83333333333333
279,111_1320,2022,98.0
280,111_1322,2016,95.87499999999999
281,111_1322,2017,96.10000000000001
282,111_1322,2018,92.99166666666667
283,111_1322,2019,94.73333333333335
284,111_1322,2020,94.02500000000002
285,111_1322,2021,94.46666666666668
286,111_1322,2022,93.3
287,111_1324,2016,93.95
288,111_1324,2017,84.65
289,111_1324,2018,86.01666666666667
290,111_1324,2019,87.425
291,111_1324,2020,92.19166666666665
292,111_1324,2021,92.45833333333331
293,111_1324,2022,93.4
294,111_1325,2016,86.12499999999999
295,111_1325,2017,92.80000000000001
296,111_1325,2018,94.10000000000001
297,111_1325,2019,96.0
298,111_1325,2020,92.81666666666668
299,111_1325,2021,96.32499999999999
300,111_1325,2022,91.175
301,111_1327,2016,
302,111_1327,2017,
303,111_1327,2018,63.789999999999985
304,111_1327,2019,65.10000000000001
305,111_1327,2020,74.88333333333334
306,111_1327,2021,92.55000000000001
307,111_1327,2022,93.2
308,111_1328,2016,88.32000000000001
309,111_1328,2017,94.16666666666667
310,111_1328,2018,92.54166666666667
311,111_1328,2019,95.68333333333334
312,111_1328,2020,95.22500000000001
313,111_1328,2021,96.50000000000001
314,111_1328,2022,96.2
315,111_1331,2016,92.5
316,111_1331,2017,91.16666666666667
317,111_1331,2018,99.33333333333333
318,111_1331,2019,98.83333333333333
319,111_1331,2020,95.66666666666667
320,111_1331,2021,93.83333333333333
321,111_1331,2022,88.5
322,111_1334,2016,87.19166666666668
323,111_1334,2017,86.48333333333335
324,111_1334,2018,91.95833333333333
325,111_1334,2019,98.58333333333331
326,111_1334,2020,92.25
327,111_1334,2021,80.325
328,111_1334,2022,75.9
329,111_1335,2016,96.89999999999999
330,111_1335,2017,97.39999999999999
331,111_1335,2018,96.62499999999999
332,111_1335,2019,93.94999999999999
333,111_1335,2020,92.20000000000003
334,111_1335,2021,92.61666666666669
335,111_1335,2022,92.7
336,111_1342,2016,92.60000000000001
337,111_1342,2017,93.95833333333331
338,111_1342,2018,97.51666666666667
339,111_1342,2019,97.35000000000001
340,111_1342,2020,97.97500000000001
341,111_1342,2021,98.75
342,111_1342,2022,100.0
343,111_1343,2016,91.23333333333333
344,111_1343,2017,97.14999999999999
345,111_1343,2018,98.50000000000001
346,111_1343,2019,97.90000000000002
347,111_1343,2020,98.2
348,111_1343,2021,98.95000000000003
349,111_1343,2022,98.2
350,111_1344,2016,76.72500000000001
351,111_1344,2017,70.45833333333334
352,111_1344,2018,63.291666666666664
353,111_1344,2019,74.48333333333333
354,111_1344,2020,64.58333333333333
355,111_1344,2021,75.0
356,111_1344,2022,75.0
357,111_1345,2016,
358,111_1345,2017,64.73333333333333
359,111_1345,2018,73.98333333333333
360,111_1345,2019,85.00833333333335
361,111_1345,2020,88.46666666666668
362,111_1345,2021,74.7333333333333
363,111_1345,2022,72.3
364,111_1346,2016,75.66666666666666
365,111_1346,2017,44.26666666666666
366,111_1346,2018,37.166666666666664
367,111_1346,2019,23.125
368,111_1346,2020,23.933333333333337
369,111_1346,2021,24.200000000000003
370,111_1346,2022,26.200000000000003
371,111_1348,2016,98.26666666666665
372,111_1348,2017,98.625
373,111_1348,2018,98.5
374,111_1348,2019,98.26666666666665
375,111_1348,2020,96.94999999999999
376,111_1348,2021,96.22500000000001
377,111_1348,2022,94.475
378,111_1349,2016,99.875
379,111_1349,2017,99.625
380,111_1349,2018,99.25833333333333
381,111_1349,2019,99.5
382,111_1349,2020,99.875
383,111_1349,2021,99.375
384,111_1349,2022,100.0
385,111_14,2016,91.55833333333334
386,111_14,2017,93.93333333333332
387,111_14,2018,93.825
388,111_14,2019,94.48333333333333
389,111_14,2020,92.09166666666665
390,111_14,2021,97.40000000000002
391,111_14,2022,98.65
392,111_1467,2016,32.445454545454545
393,111_1467,2017,58.54999999999999
394,111_1467,2018,79.35833333333333
395,111_1467,2019,92.04166666666667
396,111_1467,2020,95.43333333333334
397,111_1467,2021,98.49166666666667
398,111_1467,2022,98.0
399,111_1468,2016,94.29166666666669
400,111_1468,2017,94.73333333333333
401,111_1468,2018,92.84166666666665
402,111_1468,2019,89.73333333333335
403,111_1468,2020,93.30833333333334
404,111_1468,2021,89.14166666666667
405,111_1468,2022,95.3
406,111_1470,2016,
407,111_1470,2017,78.69999999999999
408,111_1470,2018,84.99166666666667
409,111_1470,2019,90.90000000000002
410,111_1470,2020,88.05
411,111_1470,2021,91.71666666666665
412,111_1470,2022,96.3
413,111_1471,2016,87.9
414,111_1471,2017,92.90833333333335
415,111_1471,2018,95.36666666666667
416,111_1471,2019,96.53333333333335
417,111_1471,2020,96.59999999999998
418,111_1471,2021,97.69999999999999
419,111_1471,2022,97.6
420,111_1473,2016,86.58333333333333
421,111_1473,2017,94.36666666666667
422,111_1473,2018,89.17499999999997
423,111_1473,2019,84.71666666666665
424,111_1473,2020,90.69166666666668
425,111_1473,2021,92.73333333333333
426,111_1473,2022,94.25
427,111_1474,2016,98.10000000000001
428,111_1474,2017,97.49999999999999
429,111_1474,2018,96.00000000000001
430,111_1474,2019,97.10000000000001
431,111_1474,2020,96.2
432,111_1474,2021,91.29166666666667
433,111_1474,2022,90.5
434,111_1475,2016,97.75833333333334
435,111_1475,2017,94.78333333333335
436,111_1475,2018,94.125
437,111_1475,2019,96.50833333333333
438,111_1475,2020,96.05833333333332
439,111_1475,2021,97.22500000000001
440,111_1475,2022,96.4
441,111_1478,2016,
442,111_1478,2017,
443,111_1478,2018,62.35454545454545
444,111_1478,2019,88.80833333333334
445,111_1478,2020,90.70833333333333
446,111_1478,2021,97.13333333333333
447,111_1478,2022,99.69999999999999
448,111_1481,2016,84.2
449,111_1481,2017,90.7
450,111_1481,2018,92.11666666666666
451,111_1481,2019,93.30833333333334
452,111_1481,2020,92.08333333333333
453,111_1481,2021,95.94166666666668
454,111_1481,2022,97.05
455,111_1482,2016,
456,111_1482,2017,
457,111_1482,2018,59.43333333333334
458,111_1482,2019,79.04166666666666
459,111_1482,2020,92.44166666666666
460,111_1482,2021,95.78333333333335
461,111_1482,2022,95.75
462,111_1483,2016,
463,111_1483,2017,
464,111_1483,2018,
465,111_1483,2019,
466,111_1483,2020,
467,111_1483,2021,
468,111_1483,2022,
469,111_1489,2016,93.89090909090906
470,111_1489,2017,94.29999999999997
471,111_1489,2018,90.80833333333334
472,111_1489,2019,90.36666666666667
473,111_1489,2020,94.79166666666664
474,111_1489,2021,95.74166666666666
475,111_1489,2022,98.45
476,111_149,2016,85.52500000000002
477,111_149,2017,84.85
478,111_149,2018,88.85000000000001
479,111_149,2019,71.43333333333334
480,111_149,2020,69.8
481,111_149,2021,89.72500000000001
482,111_149,2022,96.4
483,111_1495,2016,
484,111_1495,2017,
485,111_1495,2018,
486,111_1495,2019,84.66
