,PROPERTY_ID,Year,Avg_RentActual
0,109_10,2016,95.15833333333332
1,109_10,2017,98.03333333333332
2,109_10,2018,96.22500000000001
3,109_10,2019,95.75
4,109_10,2020,88.10000000000001
5,109_10,2021,97.45000000000003
6,109_10,2022,97.7
7,109_103,2016,95.5
8,109_103,2017,99.5
9,109_103,2018,100.0
10,109_103,2019,100.0
11,109_103,2020,100.0
12,109_103,2021,100.0
13,109_103,2022,100.0
14,109_104,2016,99.74545454545455
15,109_104,2017,99.41666666666667
16,109_104,2018,99.41666666666667
17,109_104,2019,100.0
18,109_104,2020,98.13333333333334
19,109_104,2021,95.79999999999997
20,109_104,2022,95.8
21,109_105,2016,96.43333333333332
22,109_105,2017,96.43333333333334
23,109_105,2018,95.89999999999999
24,109_105,2019,96.3
25,109_105,2020,96.10000000000001
26,109_105,2021,96.10000000000001
27,109_105,2022,96.1
28,109_107,2016,
29,109_107,2017,
30,109_107,2018,
31,109_107,2019,100.0
32,109_107,2020,100.0
33,109_107,2021,100.0
34,109_107,2022,100.0
35,109_108,2016,98.20000000000003
36,109_108,2017,96.69999999999999
37,109_108,2018,98.50000000000001
38,109_108,2019,98.2
39,109_108,2020,100.0
40,109_108,2021,97.75
41,109_108,2022,96.4
42,109_1140028,2016,
43,109_1140028,2017,
44,109_1140028,2018,
45,109_1140028,2019,
46,109_1140028,2020,95.9
47,109_1140028,2021,99.425
48,109_1140028,2022,98.8
49,109_1140029,2016,
50,109_1140029,2017,
51,109_1140029,2018,
52,109_1140029,2019,
53,109_1140029,2020,94.27999999999999
54,109_1140029,2021,99.75
55,109_1140029,2022,100.0
56,109_1140033,2016,
57,109_1140033,2017,
58,109_1140033,2018,
59,109_1140033,2019,
60,109_1140033,2020,
61,109_1140033,2021,96.8
62,109_1140033,2022,96.8
63,109_1170397,2016,
64,109_1170397,2017,
65,109_1170397,2018,
66,109_1170397,2019,
67,109_1170397,2020,92.58333333333336
68,109_1170397,2021,96.85833333333333
69,109_1170397,2022,97.65
70,109_1170638,2016,
71,109_1170638,2017,
72,109_1170638,2018,
73,109_1170638,2019,
74,109_1170638,2020,
75,109_1170638,2021,97.34
76,109_1170638,2022,94.3
77,109_1195137,2016,
78,109_1195137,2017,
79,109_1195137,2018,
80,109_1195137,2019,
81,109_1195137,2020,
82,109_1195137,2021,97.50833333333333
83,109_1195137,2022,98.1
84,109_12,2016,97.51666666666667
85,109_12,2017,98.95
86,109_12,2018,97.55000000000001
87,109_12,2019,98.54166666666667
88,109_12,2020,98.54166666666669
89,109_12,2021,98.19166666666666
90,109_12,2022,97.9
91,109_1286174,2016,
92,109_1286174,2017,
93,109_1286174,2018,
94,109_1286174,2019,
95,109_1286174,2020,
96,109_1286174,2021,100.0
97,109_1286174,2022,100.0
98,109_1286216,2016,
99,109_1286216,2017,
100,109_1286216,2018,
101,109_1286216,2019,
102,109_1286216,2020,
103,109_1286216,2021,
104,109_1286216,2022,
105,109_1289516,2016,
106,109_1289516,2017,
107,109_1289516,2018,
108,109_1289516,2019,
109,109_1289516,2020,
110,109_1289516,2021,99.64999999999998
111,109_1289516,2022,99.3
112,109_1295742,2016,
113,109_1295742,2017,
114,109_1295742,2018,
115,109_1295742,2019,
116,109_1295742,2020,
117,109_1295742,2021,
118,109_1295742,2022,
119,109_1297764,2016,
120,109_1297764,2017,
121,109_1297764,2018,
122,109_1297764,2019,
123,109_1297764,2020,
124,109_1297764,2021,99.39999999999999
125,109_1297764,2022,98.1
126,109_1297776,2016,
127,109_1297776,2017,
128,109_1297776,2018,
129,109_1297776,2019,
130,109_1297776,2020,
131,109_1297776,2021,
132,109_1297776,2022,
133,109_1397152,2016,
134,109_1397152,2017,
135,109_1397152,2018,
136,109_1397152,2019,
137,109_1397152,2020,
138,109_1397152,2021,
139,109_1397152,2022,
140,109_15,2016,96.7333333333333
141,109_15,2017,93.58333333333336
142,109_15,2018,94.28333333333335
143,109_15,2019,95.675
144,109_15,2020,96.94166666666666
145,109_15,2021,99.47500000000001
146,109_15,2022,98.1
147,109_16,2016,96.575
148,109_16,2017,93.76666666666665
149,109_16,2018,92.52500000000002
150,109_16,2019,94.69999999999999
151,109_16,2020,95.29166666666664
152,109_16,2021,94.67500000000001
153,109_16,2022,96.22500000000001
154,109_18,2016,99.88181818181819
155,109_18,2017,98.90833333333335
156,109_18,2018,94.30833333333334
157,109_18,2019,95.05000000000001
158,109_18,2020,97.18333333333334
159,109_18,2021,99.89166666666667
160,109_18,2022,100.0
161,109_19,2016,
162,109_19,2017,
163,109_19,2018,
164,109_19,2019,
165,109_19,2020,
166,109_19,2021,
167,109_19,2022,
168,109_2,2016,
169,109_2,2017,
170,109_2,2018,
171,109_2,2019,
172,109_2,2020,
173,109_2,2021,
174,109_2,2022,
175,109_22,2016,
176,109_22,2017,97.61000000000001
177,109_22,2018,94.72500000000001
178,109_22,2019,89.10000000000001
179,109_22,2020,88.94999999999999
180,109_22,2021,94.87500000000001
181,109_22,2022,94.2
182,109_23,2016,
183,109_23,2017,
184,109_23,2018,
185,109_23,2019,
186,109_23,2020,
187,109_23,2021,
188,109_23,2022,
189,109_24,2016,99.91666666666667
190,109_24,2017,100.0
191,109_24,2018,98.91666666666667
192,109_24,2019,100.0
193,109_24,2020,99.0
194,109_24,2021,100.0
195,109_24,2022,100.0
196,109_25,2016,
197,109_25,2017,
198,109_25,2018,
199,109_25,2019,
200,109_25,2020,
201,109_25,2021,
202,109_25,2022,
203,109_26,2016,94.52727272727272
204,109_26,2017,92.90000000000002
205,109_26,2018,92.98333333333335
206,109_26,2019,97.83333333333331
207,109_26,2020,97.925
208,109_26,2021,95.77499999999999
209,109_26,2022,95.5
210,109_27,2016,97.81666666666666
211,109_27,2017,98.94166666666666
212,109_27,2018,98.73333333333333
213,109_27,2019,98.40833333333332
214,109_27,2020,97.49999999999999
215,109_27,2021,97.09166666666665
216,109_27,2022,93.575
217,109_28,2016,98.75
218,109_28,2017,98.21666666666665
219,109_28,2018,98.95833333333333
220,109_28,2019,99.79166666666667
221,109_28,2020,99.91666666666667
222,109_28,2021,98.95833333333333
223,109_28,2022,99.125
224,109_29,2016,
225,109_29,2017,
226,109_29,2018,94.20000000000002
227,109_29,2019,94.20000000000003
228,109_29,2020,94.20000000000003
229,109_29,2021,94.20000000000003
230,109_29,2022,94.2
231,109_37,2016,
232,109_37,2017,
233,109_37,2018,
234,109_37,2019,
235,109_37,2020,
236,109_37,2021,
237,109_37,2022,
238,109_371699,2016,
239,109_371699,2017,
240,109_371699,2018,
241,109_371699,2019,
242,109_371699,2020,97.8
243,109_371699,2021,99.40000000000002
244,109_371699,2022,96.35000000000001
245,109_373615,2016,
246,109_373615,2017,
247,109_373615,2018,
248,109_373615,2019,
249,109_373615,2020,84.38333333333331
250,109_373615,2021,97.80000000000001
251,109_373615,2022,95.6
252,109_38,2016,99.33333333333333
253,109_38,2017,98.09166666666665
254,109_38,2018,97.93333333333334
255,109_38,2019,98.94166666666666
256,109_38,2020,98.325
257,109_38,2021,98.69999999999999
258,109_38,2022,97.35
259,109_387580,2016,
260,109_387580,2017,
261,109_387580,2018,
262,109_387580,2019,
263,109_387580,2020,
264,109_387580,2021,
265,109_387580,2022,
266,109_39,2016,
267,109_39,2017,
268,109_39,2018,
269,109_39,2019,
270,109_39,2020,
271,109_39,2021,
272,109_39,2022,
273,109_395006,2016,
274,109_395006,2017,
275,109_395006,2018,
276,109_395006,2019,97.9
277,109_395006,2020,97.2
278,109_395006,2021,99.76666666666667
279,109_395006,2022,100.0
280,109_397191,2016,
281,109_397191,2017,
282,109_397191,2018,
283,109_397191,2019,
284,109_397191,2020,
285,109_397191,2021,76.17999999999999
286,109_397191,2022,91.9
287,109_397579,2016,
288,109_397579,2017,
289,109_397579,2018,
290,109_397579,2019,
291,109_397579,2020,9.6
292,109_397579,2021,39.041666666666664
293,109_397579,2022,
294,109_4,2016,96.63636363636364
295,109_4,2017,98.65833333333335
296,109_4,2018,99.89999999999999
297,109_4,2019,100.0
298,109_4,2020,99.29999999999997
299,109_4,2021,99.19999999999999
300,109_4,2022,99.10000000000001
301,109_40,2016,99.76666666666667
302,109_40,2017,99.76666666666667
303,109_40,2018,99.47499999999998
304,109_40,2019,98.53333333333335
305,109_40,2020,100.0
306,109_40,2021,100.0
307,109_40,2022,99.65
308,109_41,2016,99.8
309,109_41,2017,99.80000000000001
310,109_41,2018,99.8
311,109_41,2019,97.79166666666669
312,109_41,2020,97.57499999999999
313,109_41,2021,99.8
314,109_41,2022,100.0
315,109_43,2016,98.75555555555557
316,109_43,2017,95.13333333333333
317,109_43,2018,96.90833333333335
318,109_43,2019,98.90833333333335
319,109_43,2020,97.97500000000001
320,109_43,2021,98.26666666666667
321,109_43,2022,98.1
