,PROPERTY_ID,MARKETID,MARKET_NAME,SUBMARKET_CODE,SUBMARKET_NAME,COUNTY_NAME,PROPERTY_NAME,PROPERTY_PRIORNAMES,PROPERTY_ADDRESS,PROPERTY_CITY,PROPERTY_STATE,PROPERTY_ZIPCODE,lat,lon,PROPERTY_PHONE,PROPERTY_UNITS,PROPERTY_SQFT,PROPERTY_ACRES,PROPERTY_IMPRATING,PROPERTY_LOCRATING,PROPERTY_STATUS,PROPERTY_DATE_PLANNED,PROPERTY_DATE_UNDERCONSTRUCTION,PROPERTY_DATE_RENTUP,PROPERTY_DATECOMPLETED,PROPERTY_MIXEDUSE,PROPERTY_MIXEDUSE_NOTES,PROPERTY_STUDENTHOUSING,PROPERTY_AFFORDABLEHOUSING,PROPERTY_MILITARYHOUSING,PROPERTY_AGERESTRICTED,PROPERTY_FRACTUREDCONDO,PROPERTY_ADAPTIVEREUSE,PROPERTY_SINGLEFAMILYRENTAL,PROPERTY_CURRENT_OCCUPANCY,PROPERTY_CURRENT_RENT,PROPERTY_MATRIX_URL,block,tract
0,22_11364,22,Atlanta - Urban,21.0,South Buckhead,Fulton,Park at Peachtree Memorial,,128 Peachtree Memorial Drive NW,Atlanta,GA,30309,33.817292,-84.394262,4046983071.0,50,71650.0,3.42,B,A+,Completed,,,,1920-01-01 00:00:00,0.0,,N,N,N,N,,,,94.0,2172.0,matrix.pi-ei.com/PropertyDetail/All?MarketID=22&PropertyID=11364,131210091043002,13121009104
1,22_1139950,22,Atlanta - Urban,15.0,Midtown South,Fulton,13th Street NE & Crescent Avenue NE,,13th Street NE & Crescent Avenue NE,Atlanta,GA,30309,33.785617,-84.384227,,54,0.0,,,B-,Prospective,,,,,,,,,,,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=22&PropertyID=1139950,131210011013003,13121001101
2,22_1140162,22,Atlanta - Urban,10.0,Grant Park/East Atlanta/Panthersville,Fulton,Stanton Park,,156 Hank Aaron Drive SW,Atlanta,GA,30315,33.725229,-84.387456,,56,43000.0,,,C,Planned,2020-04-06,,,,,,,P,,,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=22&PropertyID=1140162,131210055012012,13121005501
3,22_1154040,22,Atlanta - Urban,19.0,Avondale Estates/East Belvedere Park,DeKalb,Porter Road,,879 Porter Road,Decatur,GA,30032,33.769639,-84.241318,,70,,,,C+,Prospective,,,,,,,,,,,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=22&PropertyID=1154040,130890231123000,13089023112
4,22_11594,22,Atlanta - Urban,14.0,Midtown West/Centennial Place,Fulton,Quest Commons West,,891 Rock Street NW,Atlanta,GA,30314,33.76252,-84.416683,,53,0.0,0.89,,C-,Under Construction,2018-12-04,2020-02-03,2021-01-05,2022-01-31 00:00:00,0.0,,N,P,N,N,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=22&PropertyID=11594,131210025002003,13121002500
5,22_11600,22,Atlanta - Urban,10.0,Grant Park/East Atlanta/Panthersville,Fulton,Grove Gardens,,Shadowridge Drive SE & Skyhaven Road SE,Atlanta,GA,30316,33.723796,-84.344231,,70,0.0,,,C+,Prospective,,,,,,,N,A,N,,,0.0,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=22&PropertyID=11600,130890238012011,13089023801
6,22_1177009,22,Atlanta - Urban,11.0,Chandler-McAfee/West Belvedere Park,DeKalb,Chester Avenue,,195 Chester Avenue SE,Atlanta,GA,30316,33.748896,-84.35853,,67,0.0,,,B,Prospective,,,,,,,,,,,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=22&PropertyID=1177009,131210032001010,13121003200
7,22_1189100,22,Atlanta - Urban,30.0,Lenox,Fulton,Lenox Park Townhomes,,East Roxboro Road NE & Wright Avenue NE,Brookhaven,GA,30324,33.841871,-84.344683,,61,0.0,,,A,Prospective,,,,,,,,,,,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=22&PropertyID=1189100,130890214152013,13089021415
8,22_1210761,22,Atlanta - Urban,9.0,West End/Fairlie Poplar/Underground,Fulton,Blackburne Greene,,1232 Metropolitan Pkwy SW,Atlanta,GA,30310,33.7213761,-84.4076228,,64,0.0,,,C,Planned,2020-06-19,,,,,,,P,,,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=22&PropertyID=1210761,131210063001018,13121006300
9,22_1225386,22,Atlanta - Urban,23.0,Lindbergh,Fulton,Garson Drive,,579 Garson Drive NE,Atlanta,GA,30324,33.8177507084534,-84.3706004387624,,50,0.0,,,B,Prospective,,,,,,,,A,,,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=22&PropertyID=1225386,131210094052006,13121009405
10,22_1272418,22,Atlanta - Urban,14.0,Midtown West/Centennial Place,Fulton,"Byron on Peachtree, The",,549 Peachtree Street NE,Atlanta,GA,30308,33.76949005,-84.384856,4045864886.0,65,57135.0,0.86,A-,B-,Completed,,,,2016-01-01 00:00:00,0.0,,N,N,N,N,,,,100.0,2106.0,matrix.pi-ei.com/PropertyDetail/All?MarketID=22&PropertyID=1272418,131210019022005,13121001902
11,22_1285961,22,Atlanta - Urban,30.0,Lenox,DeKalb,Park Vista Drive,,1244 Park Vista Drive NE,Atlanta,GA,30319,33.8483338,-84.3415106,,63,0.0,,,A-,Prospective,,,,,,,,,,,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=22&PropertyID=1285961,130890214151001,13089021415
12,22_1294591,22,Atlanta - Urban,9.0,West End/Fairlie Poplar/Underground,Fulton,Ralph David Abernathy Blvd,,1313 Ralph David Abernathy Blvd SW,Atlanta,GA,30310,33.7392066897551,-84.430832091328,,55,0.0,,,C,Prospective,,,,,,,,P,,A,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=22&PropertyID=1294591,131210041003004,13121004100
13,22_1297137,22,Atlanta - Urban,13.0,Bankhead,Fulton,Riverside Townhomes,Burtz Street,Burtz Street NW & Hollywood Road NW,Atlanta,GA,30318,33.807429,-84.471551,,52,0.0,,,B-,Prospective,,,,,,,,,,,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=22&PropertyID=1297137,131210088011033,13121008801
14,22_1334475,22,Atlanta - Urban,12.0,Harwell Heights,Fulton,Residences of Westwood,Residences at Westview,1991 Martin Luther King Jr. Drive,Atlanta,GA,30310,33.751043,-84.448772,,60,0.0,,,C-,Planned,2021-07-05,,,,,,,A,,,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=22&PropertyID=1334475,131210081041007,13121008104
15,22_1334835,22,Atlanta - Urban,10.0,Grant Park/East Atlanta/Panthersville,Fulton,Flat Shoals Avenue,,Flat Shoals Avenue SE & Metropolitan Avenue SE,Atlanta,GA,30316,33.7419324612985,-84.3472501,,50,0.0,,,B-,Prospective,,,,,,,N,,N,,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=22&PropertyID=1334835,130890209011031,13089020901
16,22_1340608,22,Atlanta - Urban,19.0,Avondale Estates/East Belvedere Park,DeKalb,Overlook Avondale,,154 Olive Street,Avondale Estates,GA,30002,33.7773075129346,-84.2746485,,66,0.0,,,B,Prospective,,,,,,,,,,,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=22&PropertyID=1340608,130890230001003,13089023000
17,22_1340648,22,Atlanta - Urban,2.0,West Riverdale,Clayton,Powers Street,,6795 Powers Street,Riverdale,GA,30274,33.5695128990439,-84.4142255,,70,0.0,,,C+,Prospective,,,,,,,,,,,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=22&PropertyID=1340648,130630405122012,13063040512
18,22_1340867,22,Atlanta - Urban,18.0,Decatur,DeKalb,750 East Lake Drive,,750 East Lake Drive,Decatur,GA,30030,33.757651,-84.301141,,57,0.0,,,B-,Prospective,,,,,,,,P,,,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=22&PropertyID=1340867,130890227003018,13089022700
19,22_1340912,22,Atlanta - Urban,36.0,West Chamblee,DeKalb,Clairmont Family,,4047 Clairmont Road,Chamblee,GA,30341,33.8800120492984,-84.309055,,67,0.0,,,B+,Prospective,,,,,,,N,,,,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=22&PropertyID=1340912,130890212043022,13089021204
20,22_1340917,22,Atlanta - Urban,12.0,Harwell Heights,Fulton,Hamilton Hills,,2576 Martin Luther King Jr. Drive SW,Atlanta,GA,30311,33.7532254083045,-84.47197,,52,0.0,,,C+,Prospective,,,,,,,N,,N,,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=22&PropertyID=1340917,131210081032001,13121008103
21,22_1340950,22,Atlanta - Urban,18.0,Decatur,Dekalb,141 East Decatur Street,,141 Sams Street,Decatur,GA,30030,33.7728020357775,-84.2831716451101,,58,0.0,,,B+,Prospective,,,,,,,,,,,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=22&PropertyID=1340950,130890228003001,13089022800
22,22_1358286,22,Atlanta - Urban,5.0,East Point/Hapeville,Fulton,Hapeville Townhomes,,3560 Atlanta Avenue,Hapeville,GA,30354,33.656997,-84.410992,,50,0.0,,,,Prospective,,,,,,,,,,,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=22&PropertyID=1358286,131210108011009,13121010801
23,22_2026,22,Atlanta - Urban,9.0,West End/Fairlie Poplar/Underground,Fulton,Lofts at Muses,,50 Peachtree Street NW,Atlanta,GA,30303,33.755456,-84.38926,4045237344.0,65,61955.0,0.54,B-,B,Completed,,,,2001-01-01 00:00:00,0.0,,,N,,N,,,,87.7,1522.0,matrix.pi-ei.com/PropertyDetail/All?MarketID=22&PropertyID=2026,131210119011035,13121011901
24,22_2048,22,Atlanta - Urban,32.0,Northlake,DeKalb,AHEPA One Retirement,,2025 Ludovie Lane,Decatur,GA,30033,33.843083,-84.261877,4043156800.0,68,35768.0,2.69,C,A-,Completed,,,,1997-01-01 00:00:00,0.0,,,A,,A,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=22&PropertyID=2048,130890217031010,13089021703
25,22_2320,22,Atlanta - Urban,31.0,Brookhaven,DeKalb,Buford Heights,,3610 Buford Hwy NE,Atlanta,GA,30329,33.850885,-84.3213789,4046330005.0,59,64720.0,3.9,B-,C+,Completed,,,,1967-01-01 00:00:00,0.0,,N,N,N,N,,,,100.0,1298.0,matrix.pi-ei.com/PropertyDetail/All?MarketID=22&PropertyID=2320,130890214211000,13089021421
26,22_2361,22,Atlanta - Urban,25.0,North Decatur/Clarkston/Scottdale,DeKalb,"Pines at Lawrenceville, The","Pines at Lawrenceville Highway, The, Fox Crossing",2501 Lawrenceville Hwy,Decatur,GA,30033,33.8193861,-84.2639666,4049417893.0,65,73250.0,4.52,B-,B-,Completed,,,,1971-01-01 00:00:00,0.0,,,N,,N,,,,95.4,1129.0,matrix.pi-ei.com/PropertyDetail/All?MarketID=22&PropertyID=2361,130890222052000,13089022205
27,22_2431,22,Atlanta - Urban,11.0,Chandler-McAfee/West Belvedere Park,DeKalb,Derrydown,,712 Derrydown Way,Decatur,GA,30030,33.773978,-84.280179,4043777087.0,52,35700.0,2.45,C,B,Completed,,,,1951-01-01 00:00:00,0.0,,,N,,N,,0.0,,98.6,1038.0,matrix.pi-ei.com/PropertyDetail/All?MarketID=22&PropertyID=2431,130890229001008,13089022900
28,22_2664,22,Atlanta - Urban,4.0,Forest Park,Clayton,Park Manor,,460 Main Street,Forest Park,GA,30297,33.6227761,-84.3755633,4049417322.0,52,40016.0,3.09,C,C+,Completed,,,,1967-01-01 00:00:00,0.0,,,N,,N,,,,96.2,847.0,matrix.pi-ei.com/PropertyDetail/All?MarketID=22&PropertyID=2664,130630403023019,13063040302
29,22_2669,22,Atlanta - Urban,13.0,Bankhead,Fulton,Fairway Court,"RV Fairway, Fairway Court",1247 Joseph E. Boone Blvd NW,Atlanta,GA,30310,33.7637196,-84.428676,4048611817.0,64,38404.0,2.76,C,C,Completed,,,,1960-01-01 00:00:00,0.0,,N,N,N,N,N,0.0,,93.8,752.0,matrix.pi-ei.com/PropertyDetail/All?MarketID=22&PropertyID=2669,131210084003005,13121008400
30,22_2673,22,Atlanta - Urban,20.0,Atlantic Station,Fulton,Westhampton Court,,2125 Defoors Ferry Road NW,Atlanta,GA,30318,33.8147774,-84.426583,4043511250.0,52,35040.0,2.94,C,B,Completed,,,,1965-01-01 00:00:00,0.0,,,N,,N,,,,96.2,1125.0,matrix.pi-ei.com/PropertyDetail/All?MarketID=22&PropertyID=2673,131210089071008,13121008907
31,22_2688,22,Atlanta - Urban,25.0,North Decatur/Clarkston/Scottdale,DeKalb,North Decatur Garden,,1400 Church Street,Decatur,GA,30030,33.7884223,-84.2892493,4043777353.0,50,46000.0,5.2,B-,B-,Completed,,,,1963-01-01 00:00:00,0.0,,,N,,N,,,,100.0,1498.0,matrix.pi-ei.com/PropertyDetail/All?MarketID=22&PropertyID=2688,130890223032000,13089022303
32,22_2896,22,Atlanta - Urban,8.0,Oakland,Fulton,Delowe Village,,2340 Delowe Drive,Atlanta,GA,30344,33.6908929,-84.4569849,4047629871.0,64,65520.0,4.45,B,C+,Completed,,,,1962-01-01 00:00:00,0.0,,,A,,N,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=22&PropertyID=2896,131210112031012,13121011203
33,22_2972,22,Atlanta - Urban,4.0,Forest Park,Clayton,Forest Creek,"Waldrop Creek, Clayton Forest",4663 Waldrop Drive,Forest Park,GA,30297,33.627286,-84.365913,4043668171.0,56,51800.0,3.7,C+,C,Completed,,,,1965-01-01 00:00:00,0.0,,N,N,N,N,,,,89.3,889.0,matrix.pi-ei.com/PropertyDetail/All?MarketID=22&PropertyID=2972,130630403024008,13063040302
