,PROPERTY_ID,MARKETID,MARKET_NAME,SUBMARKET_CODE,SUBMARKET_NAME,COUNTY_NAME,PROPERTY_NAME,PROPERTY_PRIORNAMES,PROPERTY_ADDRESS,PROPERTY_CITY,PROPERTY_STATE,PROPERTY_ZIPCODE,lat,lon,PROPERTY_PHONE,PROPERTY_UNITS,PROPERTY_SQFT,PROPERTY_ACRES,PROPERTY_IMPRATING,PROPERTY_LOCRATING,PROPERTY_STATUS,PROPERTY_DATE_PLANNED,PROPERTY_DATE_UNDERCONSTRUCTION,PROPERTY_DATE_RENTUP,PROPERTY_DATECOMPLETED,PROPERTY_MIXEDUSE,PROPERTY_MIXEDUSE_NOTES,PROPERTY_STUDENTHOUSING,PROPERTY_AFFORDABLEHOUSING,PROPERTY_MILITARYHOUSING,PROPERTY_AGERESTRICTED,PROPERTY_FRACTUREDCONDO,PROPERTY_ADAPTIVEREUSE,PROPERTY_SINGLEFAMILYRENTAL,PROPERTY_CURRENT_OCCUPANCY,PROPERTY_CURRENT_RENT,PROPERTY_MATRIX_URL,block,tract
0,54_106,54,Little Rock,17.0,Jacksonville,Pulaski,Park Place of Jacksonville,William Manor,700 Poplar Street,Jacksonville,AR,72076,34.869742,-92.11691,5015419945.0,68,48520.0,1.44,C+,C,Completed,,,,1976-01-01 00:00:00,0.0,,N,N,N,N,,,,47.1,645.0,matrix.pi-ei.com/PropertyDetail/All?MarketID=54&PropertyID=106,051190036081031,05119003608
1,54_1189257,54,Little Rock,10.0,John Barrow,Pulaski,"Ridge at Little Rock Phase II, The",,1623 Caulden Avenue,Little Rock,AR,72204,34.737728,-92.356733,,50,0.0,,,C+,Prospective,,,,,,,,,,,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=54&PropertyID=1189257,051190024031003,05119002403
2,54_1307778,54,Little Rock,9.0,Rock Creek,Pulaski,McKenzie Park Phase II,,14201 Kanis Road,Little Rock,AR,72223,34.744497,-92.430531,5012270050.0,50,0.0,,,B-,Under Construction,2021-04-01,2021-07-07,2021-11-29,2022-02-28 00:00:00,0.0,,,,,,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=54&PropertyID=1307778,051190042251019,05119004225
3,54_1314693,54,Little Rock,10.0,John Barrow,Pulaski,Ascent at Aldersgate,,1310 Aldersgate Road,Little Rock,AR,72205,34.74083,-92.390435,5012173855.0,50,55025.0,1.59,A-,B-,Completed,,,,2019-01-01 00:00:00,0.0,,N,N,N,N,,,,86.0,1334.0,matrix.pi-ei.com/PropertyDetail/All?MarketID=54&PropertyID=1314693,051190024101002,05119002410
4,54_1315317,54,Little Rock,1.0,Little Rock - Downtown,Pulaski,1111 West Capitol Avenue,,1111 West Capitol Avenue,Little Rock,AR,72201,34.74548,-92.283553,,50,0.0,,,C,Prospective,,,,,,,,,,,,1.0,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=54&PropertyID=1315317,051190044002070,05119004400
5,54_1318117,54,Little Rock,15.0,North Little Rock,Pulaski,"Esplanade District Phase II, The",,5 Esplanade Circle,North Little Rock,AR,72114,34.759611,-92.284196,,50,0.0,,,C+,Prospective,,,,,,,,,,,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=54&PropertyID=1318117,051190030012013,05119003001
6,54_146,54,Little Rock,21.0,Saline,Saline,Country Oaks,,1309 Country Oaks Drive,Benton,AR,72015,34.5501859,-92.546367,5013154900.0,66,60720.0,9.6,B-,C+,Completed,,,,1993-01-01 00:00:00,0.0,,N,N,N,N,,,,100.0,726.0,matrix.pi-ei.com/PropertyDetail/All?MarketID=54&PropertyID=146,051250106021034,05125010602
7,54_150,54,Little Rock,15.0,North Little Rock,Pulaski,Christopher Homes of North Little Rock,,656 Donovan Briley Drive,North Little Rock,AR,72118,34.8134144,-92.2748956,5017588582.0,56,27496.0,9.3,C+,C+,Completed,,,,2000-01-01 00:00:00,0.0,,N,A,N,A,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=54&PropertyID=150,051190032024004,05119003202
8,54_154,54,Little Rock,26.0,Conway,Faulkner,East Oakwood,,1651 East Hairston Avenue,Conway,AR,72034,35.098759,-92.445684,5013274085.0,50,27740.0,1.01,C+,C,Completed,,,,1999-01-01 00:00:00,0.0,,N,A,N,A,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=54&PropertyID=154,050450307011007,05045030701
9,54_163,54,Little Rock,11.0,Midtown,Pulaski,Summerhill,,419 Bob White Drive,Little Rock,AR,72205,34.7496324,-92.3473797,5016634300.0,53,58788.0,3.45,B-,B,Completed,,,,1988-01-01 00:00:00,0.0,,N,N,N,N,,,,94.3,797.0,matrix.pi-ei.com/PropertyDetail/All?MarketID=54&PropertyID=163,051190021032002,05119002103
