,PROPERTY_ID,MARKETID,MARKET_NAME,SUBMARKET_CODE,SUBMARKET_NAME,COUNTY_NAME,PROPERTY_NAME,PROPERTY_PRIORNAMES,PROPERTY_ADDRESS,PROPERTY_CITY,PROPERTY_STATE,PROPERTY_ZIPCODE,lat,lon,PROPERTY_PHONE,PROPERTY_UNITS,PROPERTY_SQFT,PROPERTY_ACRES,PROPERTY_IMPRATING,PROPERTY_LOCRATING,PROPERTY_STATUS,PROPERTY_DATE_PLANNED,PROPERTY_DATE_UNDERCONSTRUCTION,PROPERTY_DATE_RENTUP,PROPERTY_DATECOMPLETED,PROPERTY_MIXEDUSE,PROPERTY_MIXEDUSE_NOTES,PROPERTY_STUDENTHOUSING,PROPERTY_AFFORDABLEHOUSING,PROPERTY_MILITARYHOUSING,PROPERTY_AGERESTRICTED,PROPERTY_FRACTUREDCONDO,PROPERTY_ADAPTIVEREUSE,PROPERTY_SINGLEFAMILYRENTAL,PROPERTY_CURRENT_OCCUPANCY,PROPERTY_CURRENT_RENT,PROPERTY_MATRIX_URL,block,tract
0,36_103,36,Austin,38.0,San Marcos/Kyle,Hays,Executive Townhomes,,317 Craddock Avenue,San Marcos,TX,78666,29.89862,-97.961016,5123922700.0,61,61875.0,4.89,B-,B-,Completed,,,,1994-01-01,0.0,,N,N,N,N,,,,98.4,1090.0,matrix.pi-ei.com/PropertyDetail/All?MarketID=36&PropertyID=103,482090107032011,48209010703
1,36_1091,36,Austin,22.0,Capital Plaza,Travis,Capital Steps,,5211 Cameron Road,Austin,TX,78723,30.310155,-97.708404,5123235676.0,50,33020.0,1.61,C+,C+,Completed,,,,1969-01-01,0.0,,N,N,N,N,,,,100.0,1027.0,matrix.pi-ei.com/PropertyDetail/All?MarketID=36&PropertyID=1091,484530021051003,48453002105
2,36_1097559,36,Austin,10.0,Pflugerville,Travis,"Old Gin Pforum, The",,310 East Pecan Street,Pflugerville,TX,78660,30.439423,-97.618025,5127628104.0,50,0.0,,,B-,Prospective,,,,,,,,,,,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=36&PropertyID=1097559,484530463001017,48453046300
3,36_1140137,36,Austin,40.0,Outlying Bastrop County,Bastrop,Post Oak at Hill,,Highway 71 & Hill Road,Smithville,TX,78957,30.005074,-97.135224,,60,0.0,,,B,Prospective,,,,,,,,,,,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=36&PropertyID=1140137,480219507003001,48021950700
4,36_115,36,Austin,38.0,San Marcos/Kyle,Hays,Langtry,,205 Craddock Avenue,San Marcos,TX,78666,29.901297,-97.957232,5123962673.0,56,51600.0,2.41,B,B-,Completed,,,,1974-01-01,0.0,,N,N,N,N,,,,100.0,1105.0,matrix.pi-ei.com/PropertyDetail/All?MarketID=36&PropertyID=115,482090107032013,48209010703
5,36_1155180,36,Austin,7.0,Jollyville - north,Williamson,Dalewood Townhomes,,9601 Dalewood Drive,Austin,TX,78729,30.458489,-97.783682,5123469886.0,50,53836.0,3.82,B,B,Completed,,,,1984-01-01,0.0,,N,N,N,N,,,1.0,100.0,1651.0,matrix.pi-ei.com/PropertyDetail/All?MarketID=36&PropertyID=1155180,484910204082002,48491020408
6,36_1171514,36,Austin,22.0,Capital Plaza,Travis,Concourse at Mueller,,3900 Berkman Drive,Austin,TX,78723,30.290955,-97.699584,,51,0.0,,,B-,Under Construction,,2021-07-10,,2022-04-30,,,,,,,,0.0,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=36&PropertyID=1171514,484530003092000,48453000309
7,36_1189140,36,Austin,28.0,Downtown - south,Travis,Mercury Hall,,615 Cardinal Lane,Austin,TX,78704,30.232091,-97.766787,,50,0.0,,,B-,Prospective,,,,,,,,,,,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=36&PropertyID=1189140,484530013071005,48453001307
8,36_1211359,36,Austin,26.0,Pershing,Travis,Works at Pleasant Valley,,2800 Lyons Road,Austin,TX,78702,30.264683,-97.707303,5122849369.0,50,28251.0,2.42,C-,C+,Completed,,2013-01-01,2014-05-31,2014-05-31,0.0,,N,A,N,N,,0.0,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=36&PropertyID=1211359,484530008011004,48453000801
9,36_1211401,36,Austin,20.0,Hyde Park,Travis,Duet on 39th,,305 West 39th Street,Austin,TX,78751,30.302645,-97.735309,5126140251.0,52,36050.0,1.15,C+,C+,Completed,,,,1967-01-01,0.0,,N,N,N,N,,,,92.3,1126.0,matrix.pi-ei.com/PropertyDetail/All?MarketID=36&PropertyID=1211401,484530003025009,48453000302
