,PROPERTY_ID,MARKETID,MARKET_NAME,SUBMARKET_CODE,SUBMARKET_NAME,COUNTY_NAME,PROPERTY_NAME,PROPERTY_PRIORNAMES,PROPERTY_ADDRESS,PROPERTY_CITY,PROPERTY_STATE,PROPERTY_ZIPCODE,lat,lon,PROPERTY_PHONE,PROPERTY_UNITS,PROPERTY_SQFT,PROPERTY_ACRES,PROPERTY_IMPRATING,PROPERTY_LOCRATING,PROPERTY_STATUS,PROPERTY_DATE_PLANNED,PROPERTY_DATE_UNDERCONSTRUCTION,PROPERTY_DATE_RENTUP,PROPERTY_DATECOMPLETED,PROPERTY_MIXEDUSE,PROPERTY_MIXEDUSE_NOTES,PROPERTY_STUDENTHOUSING,PROPERTY_AFFORDABLEHOUSING,PROPERTY_MILITARYHOUSING,PROPERTY_AGERESTRICTED,PROPERTY_FRACTUREDCONDO,PROPERTY_ADAPTIVEREUSE,PROPERTY_SINGLEFAMILYRENTAL,PROPERTY_CURRENT_OCCUPANCY,PROPERTY_CURRENT_RENT,PROPERTY_MATRIX_URL,Unnamed: 37,block,tract
0,3_1004725,3,San Diego,20.0,La Mesa,San Diego,Touchstone Villas,Aldea La Mesa,7808 El Cajon Blvd,La Mesa,CA,91942,32.769102,-117.029794,8584551771.0,56,0.0,1.4,,B-,Planned,2021-03-24,,,,0.0,,N,,N,N,,0.0,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=3&PropertyID=1004725,,060730148062009,06073014806
1,3_108,3,San Diego,31.0,Vista,San Diego,Sunset Cliffs,,180 Terrace Drive,Vista,CA,92084,33.197189,-117.237475,7609412122.0,52,39000.0,1.74,B-,B-,Completed,,,,1986-09-01,,,,N,,N,,,,96.2,2178.0,matrix.pi-ei.com/PropertyDetail/All?MarketID=3&PropertyID=108,,060730195032006,06073019503
2,3_1108464,3,San Diego,1.0,Central San Diego,San Diego,Arbor Crest on Fourth,Arbor Terrace,4186 4th Avenue,San Diego,CA,92103,32.7535141,-117.1617456,6197870724.0,50,0.0,0.35,A-,C+,Completed,2019-09-03,2019-12-02,2021-07-01,2021-08-02,0.0,,N,P,N,N,,,,100.0,,matrix.pi-ei.com/PropertyDetail/All?MarketID=3&PropertyID=1108464,,060730004003000,06073000400
3,3_1153863,3,San Diego,28.0,Oceanside,San Diego,Rincon Oceanside,,1602 South Coast Hwy,Oceanside,CA,92054,33.178234,-117.364087,,54,63726.0,0.91,,B-,Prospective,,,,,0.0,,,P,,,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=3&PropertyID=1153863,,060730181013009,06073018101
4,3_117,3,San Diego,27.0,Carlsbad,San Diego,San Katrina,,336 Pine Avenue,Carlsbad,CA,92008,33.1567711,-117.3486257,7604343595.0,50,38100.0,1.49,B-,B+,Completed,,,,1986-01-01,,,,N,,N,,,,100.0,3176.0,matrix.pi-ei.com/PropertyDetail/All?MarketID=3&PropertyID=117,,060730180002004,06073018000
5,3_1177573,3,San Diego,12.0,North San Diego,San Diego,Alante,,10211 Rancho Carmel Drive,San Diego,CA,92128,32.96697,-117.089384,,50,36312.0,0.46,,A,Planned,2020-12-09,,,,,,,P,,,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=3&PropertyID=1177573,,060730170562004,06073017056
6,3_1274075,3,San Diego,12.0,North San Diego,San Diego,Fairbanks Terrace Phase II,,16325 Paseo Del Sur,San Diego,CA,92127,33.019053,-117.12392,8583126125.0,50,20434.0,1.68,B,A-,Completed,2020-11-14,2021-04-30,2021-11-15,2021-12-31,,,N,A,N,A,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=3&PropertyID=1274075,,060730170651038,06073017065
7,3_1286000,3,San Diego,29.0,Escondido,San Diego,Valley Senior,,337 East Valley Pkwy,Escondido,CA,92025,33.1241749366939,-117.078227,,50,0.0,,,B-,Planned,2022-01-10,,,,,,N,A,N,A,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=3&PropertyID=1286000,,060730202144007,06073020214
8,3_1324,3,San Diego,31.0,Vista,San Diego,Avalon,,1376 Bonair Road,Vista,CA,92084,33.217783,-117.220188,7602956882.0,52,34200.0,0.96,B-,C,Completed,,,,1980-01-01,,,,N,,N,,,,100.0,1224.0,matrix.pi-ei.com/PropertyDetail/All?MarketID=3&PropertyID=1324,,060730192102001,06073019210
9,3_1393788,3,San Diego,9.0,University,San Diego,Lux UTC Phase III (Towers C & D),,4200 Brooke Court,San Diego,CA,92122,32.871796,-117.215539,,50,0.0,,,B+,Prospective,,,,,,,,,,,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=3&PropertyID=1393788,,060730083793000,06073008379
