,PROPERTY_ID,Year,Avg_RentActual
0,10_1,2016,1725.6666666666667
1,10_1,2017,1757.8333333333333
2,10_1,2018,1864.3333333333333
3,10_1,2019,1948.25
4,10_1,2020,2024.75
5,10_1,2021,2272.0833333333335
6,10_1,2022,2655.2
7,10_100,2016,994.5
8,10_100,2017,1061.9166666666667
9,10_100,2018,1047.6666666666667
10,10_100,2019,1053.4166666666667
11,10_100,2020,1172.0
12,10_100,2021,1251.3333333333333
13,10_100,2022,1431.0
14,10_1001,2016,1058.5
15,10_1001,2017,1124.8333333333333
16,10_1001,2018,1203.8333333333333
17,10_1001,2019,1284.0833333333333
18,10_1001,2020,1315.9166666666667
19,10_1001,2021,1403.6666666666667
20,10_1001,2022,1417.2
21,10_1005,2016,
22,10_1005,2017,
23,10_1005,2018,
24,10_1005,2019,
25,10_1005,2020,
26,10_1005,2021,
27,10_1005,2022,
28,10_1006,2016,1236.5
29,10_1006,2017,1259.1666666666667
30,10_1006,2018,1361.5833333333333
31,10_1006,2019,1462.5
32,10_1006,2020,1763.75
33,10_1006,2021,1901.9166666666667
34,10_1006,2022,2167.8
35,10_101,2016,871.75
36,10_101,2017,1002.5833333333334
37,10_101,2018,1073.9166666666667
38,10_101,2019,1182.5833333333333
39,10_101,2020,1248.6666666666667
40,10_101,2021,1345.9166666666667
41,10_101,2022,1562.2
42,10_1012,2016,1696.5
43,10_1012,2017,1721.0
44,10_1012,2018,1841.9166666666667
45,10_1012,2019,1920.9166666666667
46,10_1012,2020,1937.4166666666667
47,10_1012,2021,2198.8333333333335
48,10_1012,2022,2600.2
49,10_1015,2016,1513.5833333333333
50,10_1015,2017,1645.3333333333333
51,10_1015,2018,1650.5
52,10_1015,2019,1768.0833333333333
53,10_1015,2020,1767.9166666666667
54,10_1015,2021,2117.5833333333335
55,10_1015,2022,2319.2
56,10_1016,2016,
57,10_1016,2017,
58,10_1016,2018,
59,10_1016,2019,
60,10_1016,2020,
61,10_1016,2021,
62,10_1016,2022,
63,10_1017,2016,
64,10_1017,2017,
65,10_1017,2018,
66,10_1017,2019,
67,10_1017,2020,
68,10_1017,2021,
69,10_1017,2022,
70,10_1018,2016,1054.5
71,10_1018,2017,1079.0833333333333
72,10_1018,2018,1145.1666666666667
73,10_1018,2019,1222.25
74,10_1018,2020,1290.8333333333333
75,10_1018,2021,1242.75
76,10_1018,2022,1340.0
77,10_102,2016,893.8333333333334
78,10_102,2017,1037.5
79,10_102,2018,1123.8333333333333
80,10_102,2019,1167.9166666666667
81,10_102,2020,1271.8333333333333
82,10_102,2021,1440.5833333333333
83,10_102,2022,1686.0
84,10_1020,2016,1473.6666666666667
85,10_1020,2017,1625.25
86,10_1020,2018,1665.3333333333333
87,10_1020,2019,1671.9166666666667
88,10_1020,2020,1739.4166666666667
89,10_1020,2021,2157.25
90,10_1020,2022,2397.2
91,10_1026,2016,1647.0833333333333
92,10_1026,2017,1729.6666666666667
93,10_1026,2018,1821.6666666666667
94,10_1026,2019,1835.75
95,10_1026,2020,1888.1666666666667
96,10_1026,2021,2209.3333333333335
97,10_1026,2022,2453.2
98,10_1027,2016,1153.75
99,10_1027,2017,1294.5
100,10_1027,2018,1358.4166666666667
101,10_1027,2019,1331.9166666666667
102,10_1027,2020,1399.1666666666667
103,10_1027,2021,1386.3333333333333
104,10_1027,2022,1445.0
105,10_1028,2016,1518.4166666666667
106,10_1028,2017,1498.8333333333333
107,10_1028,2018,1716.4166666666667
108,10_1028,2019,1723.6666666666667
109,10_1028,2020,1793.3333333333333
110,10_1028,2021,2197.8333333333335
111,10_1028,2022,2560.4
112,10_1029,2016,
113,10_1029,2017,
114,10_1029,2018,
115,10_1029,2019,
116,10_1029,2020,
117,10_1029,2021,
118,10_1029,2022,2837.5
119,10_103,2016,1175.5
120,10_103,2017,1279.75
121,10_103,2018,1347.9166666666667
122,10_103,2019,1420.1666666666667
123,10_103,2020,1385.4166666666667
124,10_103,2021,1468.8333333333333
125,10_103,2022,1645.6
126,10_1031,2016,1234.6666666666667
127,10_1031,2017,1320.8333333333333
128,10_1031,2018,1311.75
129,10_1031,2019,1388.0833333333333
130,10_1031,2020,1467.75
131,10_1031,2021,1602.8333333333333
132,10_1031,2022,1895.2
133,10_1035,2016,617.0833333333334
134,10_1035,2017,691.25
135,10_1035,2018,755.8333333333334
136,10_1035,2019,936.9166666666666
137,10_1035,2020,1011.3333333333334
138,10_1035,2021,1174.1666666666667
139,10_1035,2022,1298.6
140,10_1037,2016,1409.6666666666667
141,10_1037,2017,1486.9166666666667
142,10_1037,2018,1594.8333333333333
143,10_1037,2019,1683.6666666666667
