,PROPERTY_ID,Year,Avg_RentActual
0,111_1,2016,938.5833333333334
1,111_1,2017,951.9166666666666
2,111_1,2018,957.25
3,111_1,2019,994.0
4,111_1,2020,986.5833333333334
5,111_1,2021,1120.3333333333333
6,111_1,2022,1309.0
7,111_10,2016,524.4166666666666
8,111_10,2017,512.1666666666666
9,111_10,2018,535.5833333333334
10,111_10,2019,540.6666666666666
11,111_10,2020,547.5833333333334
12,111_10,2021,579.4166666666666
13,111_10,2022,617.0
14,111_100,2016,1104.75
15,111_100,2017,1037.5833333333333
16,111_100,2018,1103.8333333333333
17,111_100,2019,1107.3333333333333
18,111_100,2020,1146.0833333333333
19,111_100,2021,1234.5
20,111_100,2022,1340.0
21,111_1004827,2016,
22,111_1004827,2017,
23,111_1004827,2018,
24,111_1004827,2019,
25,111_1004827,2020,
26,111_1004827,2021,
27,111_1004827,2022,
28,111_101,2016,1688.75
29,111_101,2017,1661.25
30,111_101,2018,1637.8333333333333
31,111_101,2019,1556.1666666666667
32,111_101,2020,1658.75
33,111_101,2021,1664.1666666666667
34,111_101,2022,1770.4
35,111_102,2016,806.5
36,111_102,2017,807.4166666666666
37,111_102,2018,801.25
38,111_102,2019,810.8333333333334
39,111_102,2020,863.4166666666666
40,111_102,2021,941.5833333333334
41,111_102,2022,1075.2
42,111_103,2016,737.6666666666666
43,111_103,2017,715.6666666666666
44,111_103,2018,706.3333333333334
45,111_103,2019,762.75
46,111_103,2020,796.3333333333334
47,111_103,2021,853.3333333333334
48,111_103,2022,957.2
49,111_1031,2016,
50,111_1031,2017,
51,111_1031,2018,
52,111_1031,2019,
53,111_1031,2020,754.1666666666666
54,111_1031,2021,850.4166666666666
55,111_1031,2022,976.2
56,111_1046,2016,1770.9166666666667
57,111_1046,2017,1762.0
58,111_1046,2018,1737.0833333333333
59,111_1046,2019,1741.5833333333333
60,111_1046,2020,1796.25
61,111_1046,2021,1890.0
62,111_1046,2022,1978.2
63,111_105,2016,602.0833333333334
64,111_105,2017,540.75
65,111_105,2018,515.6666666666666
66,111_105,2019,515.8333333333334
67,111_105,2020,530.0
68,111_105,2021,619.0
69,111_105,2022,671.0
70,111_107,2016,966.75
71,111_107,2017,976.6666666666666
72,111_107,2018,995.9166666666666
73,111_107,2019,1017.5833333333334
74,111_107,2020,1094.0833333333333
75,111_107,2021,1139.5
76,111_107,2022,1137.4
77,111_109,2016,626.5833333333334
78,111_109,2017,652.5
79,111_109,2018,666.0833333333334
80,111_109,2019,642.1666666666666
81,111_109,2020,659.9166666666666
82,111_109,2021,674.9166666666666
83,111_109,2022,808.6
84,111_1091788,2016,
85,111_1091788,2017,
86,111_1091788,2018,
87,111_1091788,2019,676.0
88,111_1091788,2020,700.5833333333334
89,111_1091788,2021,731.25
90,111_1091788,2022,762.0
91,111_1091789,2016,
92,111_1091789,2017,
93,111_1091789,2018,
94,111_1091789,2019,784.0
95,111_1091789,2020,795.3333333333334
96,111_1091789,2021,834.25
97,111_1091789,2022,859.0
98,111_1091795,2016,
99,111_1091795,2017,
100,111_1091795,2018,
101,111_1091795,2019,862.0
102,111_1091795,2020,887.0833333333334
103,111_1091795,2021,969.0833333333334
104,111_1091795,2022,978.2
105,111_1091801,2016,
106,111_1091801,2017,
107,111_1091801,2018,
108,111_1091801,2019,
109,111_1091801,2020,
110,111_1091801,2021,
111,111_1091801,2022,
112,111_1091818,2016,
113,111_1091818,2017,
114,111_1091818,2018,
115,111_1091818,2019,1060.0
116,111_1091818,2020,1077.9166666666667
117,111_1091818,2021,1063.4166666666667
118,111_1091818,2022,1042.8
119,111_1092159,2016,
120,111_1092159,2017,
121,111_1092159,2018,
122,111_1092159,2019,
123,111_1092159,2020,516.75
124,111_1092159,2021,525.5833333333334
125,111_1092159,2022,536.0
126,111_1092166,2016,
127,111_1092166,2017,
128,111_1092166,2018,
129,111_1092166,2019,650.0
130,111_1092166,2020,658.4166666666666
131,111_1092166,2021,710.25
132,111_1092166,2022,771.6
133,111_1092177,2016,
134,111_1092177,2017,
135,111_1092177,2018,
136,111_1092177,2019,623.0
137,111_1092177,2020,627.3333333333334
138,111_1092177,2021,632.5833333333334
139,111_1092177,2022,665.2
140,111_1092189,2016,
141,111_1092189,2017,
142,111_1092189,2018,
143,111_1092189,2019,652.0
144,111_1092189,2020,668.1666666666666
145,111_1092189,2021,681.75
146,111_1092189,2022,768.8
147,111_11,2016,1001.0
148,111_11,2017,946.3333333333334
149,111_11,2018,925.0833333333334
150,111_11,2019,961.75
151,111_11,2020,1010.5
152,111_11,2021,1069.5833333333333
153,111_11,2022,1152.0
154,111_111,2016,652.5
155,111_111,2017,669.9166666666666
156,111_111,2018,671.5
157,111_111,2019,695.4166666666666
158,111_111,2020,709.8333333333334
159,111_111,2021,730.0
160,111_111,2022,803.2
161,111_1112,2016,
162,111_1112,2017,
163,111_1112,2018,
164,111_1112,2019,622.0
165,111_1112,2020,601.8333333333334
166,111_1112,2021,652.1666666666666
167,111_1112,2022,744.8
168,111_113,2016,621.1666666666666
169,111_113,2017,684.1666666666666
170,111_113,2018,700.25
171,111_113,2019,752.6666666666666
172,111_113,2020,741.6666666666666
173,111_113,2021,741.3333333333334
174,111_113,2022,759.6
175,111_114,2016,513.75
176,111_114,2017,511.8333333333333
177,111_114,2018,528.25
178,111_114,2019,543.6666666666666
179,111_114,2020,709.0
180,111_114,2021,747.1666666666666
181,111_114,2022,804.0
182,111_1177673,2016,
