,PROPERTY_ID,Year,Avg_RentActual
0,109_10,2016,772.0
1,109_10,2017,826.9166666666666
2,109_10,2018,879.8333333333334
3,109_10,2019,1003.5
4,109_10,2020,1071.5833333333333
5,109_10,2021,1295.6666666666667
6,109_10,2022,1454.8
7,109_103,2016,886.8181818181819
8,109_103,2017,933.3333333333334
9,109_103,2018,965.25
10,109_103,2019,1002.0833333333334
11,109_103,2020,1053.5833333333333
12,109_103,2021,1209.6666666666667
13,109_103,2022,1332.4
14,109_104,2016,585.2727272727273
15,109_104,2017,625.1666666666666
16,109_104,2018,650.5
17,109_104,2019,678.75
18,109_104,2020,706.1666666666666
19,109_104,2021,761.0
20,109_104,2022,870.0
21,109_105,2016,825.9166666666666
22,109_105,2017,894.1666666666666
23,109_105,2018,947.4166666666666
24,109_105,2019,1025.5833333333333
25,109_105,2020,1057.5
26,109_105,2021,1295.1666666666667
27,109_105,2022,1455.0
28,109_107,2016,
29,109_107,2017,
30,109_107,2018,875.6666666666666
31,109_107,2019,936.4166666666666
32,109_107,2020,971.75
33,109_107,2021,1222.8333333333333
34,109_107,2022,1358.2
35,109_108,2016,717.1818181818181
36,109_108,2017,806.1666666666666
37,109_108,2018,917.1666666666666
38,109_108,2019,977.5
39,109_108,2020,1012.0
40,109_108,2021,1342.75
41,109_108,2022,1652.6
42,109_1140028,2016,
43,109_1140028,2017,
44,109_1140028,2018,
45,109_1140028,2019,
46,109_1140028,2020,1318.0
47,109_1140028,2021,1529.9166666666667
48,109_1140028,2022,1666.4
49,109_1140029,2016,
50,109_1140029,2017,
51,109_1140029,2018,
52,109_1140029,2019,
53,109_1140029,2020,1892.7
54,109_1140029,2021,2151.0
55,109_1140029,2022,2415.8
56,109_1140033,2016,
57,109_1140033,2017,
58,109_1140033,2018,
59,109_1140033,2019,
60,109_1140033,2020,2193.909090909091
61,109_1140033,2021,2297.0
62,109_1140033,2022,2435.6
63,109_1170397,2016,
64,109_1170397,2017,
65,109_1170397,2018,
66,109_1170397,2019,
67,109_1170397,2020,1471.7142857142858
68,109_1170397,2021,1648.5
69,109_1170397,2022,1748.4
70,109_1170638,2016,
71,109_1170638,2017,
72,109_1170638,2018,
73,109_1170638,2019,
74,109_1170638,2020,1293.0
75,109_1170638,2021,1507.5
76,109_1170638,2022,1781.2
77,109_1195137,2016,
78,109_1195137,2017,
79,109_1195137,2018,
80,109_1195137,2019,
81,109_1195137,2020,
82,109_1195137,2021,
83,109_1195137,2022,
84,109_12,2016,985.0
85,109_12,2017,1032.5
86,109_12,2018,1057.6666666666667
87,109_12,2019,1120.5
88,109_12,2020,1171.25
89,109_12,2021,1263.0833333333333
90,109_12,2022,1312.6
91,109_1286174,2016,
92,109_1286174,2017,
93,109_1286174,2018,
94,109_1286174,2019,
95,109_1286174,2020,
96,109_1286174,2021,1715.7
97,109_1286174,2022,1833.8
98,109_1286216,2016,
99,109_1286216,2017,
100,109_1286216,2018,
101,109_1286216,2019,
102,109_1286216,2020,
103,109_1286216,2021,1826.2857142857142
104,109_1286216,2022,1841.0
105,109_1289516,2016,
106,109_1289516,2017,
107,109_1289516,2018,
108,109_1289516,2019,
109,109_1289516,2020,
110,109_1289516,2021,1512.6
111,109_1289516,2022,1607.4
112,109_1295742,2016,
113,109_1295742,2017,
114,109_1295742,2018,
115,109_1295742,2019,
116,109_1295742,2020,
117,109_1295742,2021,
118,109_1295742,2022,
119,109_1297764,2016,
120,109_1297764,2017,
121,109_1297764,2018,
122,109_1297764,2019,
123,109_1297764,2020,
124,109_1297764,2021,1585.0
125,109_1297764,2022,1845.4
126,109_1297776,2016,
127,109_1297776,2017,
128,109_1297776,2018,
129,109_1297776,2019,
130,109_1297776,2020,
