,PROPERTY_ID,Year,Avg_RentPerSqFtActual
0,10_1,2016,1.7666666666666666
1,10_1,2017,1.8008333333333333
2,10_1,2018,1.9091666666666667
3,10_1,2019,1.9941666666666664
4,10_1,2020,2.0749999999999997
5,10_1,2021,2.325833333333333
6,10_1,2022,2.72
7,10_100,2016,1.3366666666666667
8,10_100,2017,1.4249999999999998
9,10_100,2018,1.4108333333333334
10,10_100,2019,1.4158333333333333
11,10_100,2020,1.5758333333333334
12,10_100,2021,1.6816666666666669
13,10_100,2022,1.9260000000000002
14,10_1001,2016,1.2591666666666665
15,10_1001,2017,1.3391666666666666
16,10_1001,2018,1.43
17,10_1001,2019,1.5258333333333336
18,10_1001,2020,1.5650000000000002
19,10_1001,2021,1.6708333333333334
20,10_1001,2022,1.686
21,10_1005,2016,
22,10_1005,2017,
23,10_1005,2018,
24,10_1005,2019,
25,10_1005,2020,
26,10_1005,2021,
27,10_1005,2022,
28,10_1006,2016,1.5466666666666669
29,10_1006,2017,1.5741666666666667
30,10_1006,2018,1.7041666666666664
31,10_1006,2019,1.8291666666666666
32,10_1006,2020,2.205
33,10_1006,2021,2.379166666666667
34,10_1006,2022,2.712
35,10_101,2016,1.3691666666666666
36,10_101,2017,1.5758333333333336
37,10_101,2018,1.6883333333333328
38,10_101,2019,1.86
39,10_101,2020,1.9649999999999999
40,10_101,2021,2.115
41,10_101,2022,2.4560000000000004
42,10_1012,2016,1.8800000000000001
43,10_1012,2017,1.9074999999999995
44,10_1012,2018,2.0425
45,10_1012,2019,2.1300000000000003
46,10_1012,2020,2.148333333333333
47,10_1012,2021,2.4391666666666665
48,10_1012,2022,2.882
49,10_1015,2016,1.5733333333333333
50,10_1015,2017,1.7099999999999997
51,10_1015,2018,1.7175
52,10_1015,2019,1.8383333333333332
53,10_1015,2020,1.839166666666667
54,10_1015,2021,2.2025
55,10_1015,2022,2.408
56,10_1016,2016,
57,10_1016,2017,
58,10_1016,2018,
59,10_1016,2019,
60,10_1016,2020,
61,10_1016,2021,
62,10_1016,2022,
63,10_1017,2016,
64,10_1017,2017,
65,10_1017,2018,
66,10_1017,2019,
67,10_1017,2020,
68,10_1017,2021,
69,10_1017,2022,
70,10_1018,2016,1.2675
71,10_1018,2017,1.2966666666666669
72,10_1018,2018,1.375
73,10_1018,2019,1.4683333333333335
74,10_1018,2020,1.5516666666666667
75,10_1018,2021,1.4933333333333332
76,10_1018,2022,1.61
77,10_102,2016,1.3425000000000002
78,10_102,2017,1.5583333333333336
79,10_102,2018,1.6908333333333336
80,10_102,2019,1.7549999999999997
81,10_102,2020,1.9091666666666667
82,10_102,2021,2.163333333333333
83,10_102,2022,2.532
84,10_1020,2016,1.5550000000000004
85,10_1020,2017,1.7149999999999999
86,10_1020,2018,1.755
87,10_1020,2019,1.763333333333333
88,10_1020,2020,1.8341666666666665
89,10_1020,2021,2.2758333333333334
90,10_1020,2022,2.526
91,10_1026,2016,1.3649999999999995
92,10_1026,2017,1.434166666666667
93,10_1026,2018,1.5108333333333333
94,10_1026,2019,1.5216666666666667
95,10_1026,2020,1.5650000000000002
96,10_1026,2021,1.8325000000000002
97,10_1026,2022,2.034
98,10_1027,2016,1.4708333333333332
99,10_1027,2017,1.6466666666666672
100,10_1027,2018,1.7299999999999998
101,10_1027,2019,1.6941666666666666
102,10_1027,2020,1.7825
103,10_1027,2021,1.7641666666666669
104,10_1027,2022,1.8399999999999999
105,10_1028,2016,1.990833333333333
106,10_1028,2017,1.9633333333333336
107,10_1028,2018,2.250833333333333
