,PROPERTY_ID,Year,Avg_RentPerSqFtActual
0,104_1,2016,0.7791666666666668
1,104_1,2017,0.8016666666666669
2,104_1,2018,0.8641666666666667
3,104_1,2019,0.9166666666666666
4,104_1,2020,1.0675000000000001
5,104_1,2021,1.1233333333333335
6,104_1,2022,1.2659999999999998
7,104_10,2016,0.6458333333333335
8,104_10,2017,0.6858333333333332
9,104_10,2018,0.7274999999999999
10,104_10,2019,0.7425
11,104_10,2020,0.7849999999999998
12,104_10,2021,0.7733333333333333
13,104_10,2022,0.9279999999999999
14,104_100,2016,0.8483333333333333
15,104_100,2017,0.8525
16,104_100,2018,0.8966666666666668
17,104_100,2019,1.1108333333333331
18,104_100,2020,1.3833333333333337
19,104_100,2021,1.4675
20,104_100,2022,1.6380000000000003
21,104_1001,2016,0.796
22,104_1001,2017,0.7783333333333334
23,104_1001,2018,0.8250000000000001
24,104_1001,2019,0.8866666666666666
25,104_1001,2020,0.91
26,104_1001,2021,0.9216666666666667
27,104_1001,2022,1.042
28,104_1006,2016,0.8108333333333334
29,104_1006,2017,0.7641666666666667
30,104_1006,2018,0.7941666666666666
31,104_1006,2019,0.88
32,104_1006,2020,0.9183333333333333
33,104_1006,2021,1.03
34,104_1006,2022,1.3039999999999998
35,104_1009,2016,1.12
36,104_1009,2017,1.1391666666666667
37,104_1009,2018,1.2141666666666666
38,104_1009,2019,1.2483333333333335
39,104_1009,2020,1.2691666666666668
40,104_1009,2021,1.335
41,104_1009,2022,1.3940000000000001
42,104_101,2016,1.3774999999999997
43,104_101,2017,1.4358333333333333
44,104_101,2018,1.5033333333333336
45,104_101,2019,1.4883333333333333
46,104_101,2020,1.535
47,104_101,2021,1.5616666666666672
48,104_101,2022,1.6940000000000002
49,104_1010,2016,0.8324999999999999
50,104_1010,2017,0.8549999999999999
51,104_1010,2018,0.8999999999999999
52,104_1010,2019,0.9366666666666669
53,104_1010,2020,0.9658333333333333
54,104_1010,2021,1.0225
55,104_1010,2022,1.126
56,104_1012,2016,0.5783333333333334
