,PROPERTY_ID,Year,Avg_RentPerSqFtActual
0,107_100,2016,1.1408333333333334
1,107_100,2017,1.2158333333333333
2,107_100,2018,1.2641666666666667
3,107_100,2019,1.2474999999999998
4,107_100,2020,1.22
5,107_100,2021,1.3858333333333333
6,107_100,2022,1.6059999999999999
7,107_101,2016,0.7799999999999999
8,107_101,2017,0.7908333333333334
9,107_101,2018,0.8283333333333331
10,107_101,2019,0.89
11,107_101,2020,0.8866666666666667
12,107_101,2021,0.9941666666666666
13,107_101,2022,1.066
14,107_102,2016,1.434166666666667
15,107_102,2017,1.5283333333333333
16,107_102,2018,1.549166666666667
17,107_102,2019,1.5333333333333334
18,107_102,2020,1.495
19,107_102,2021,1.6441666666666663
20,107_102,2022,2.012
21,107_103,2016,1.0016666666666665
22,107_103,2017,1.0341666666666665
23,107_103,2018,1.1041666666666667
24,107_103,2019,1.1341666666666665
25,107_103,2020,1.1674999999999998
26,107_103,2021,1.1866666666666665
27,107_103,2022,1.206
28,107_105,2016,0.9516666666666665
29,107_105,2017,1.15
30,107_105,2018,1.3283333333333334
31,107_105,2019,1.4191666666666667
32,107_105,2020,1.3933333333333333
33,107_105,2021,1.6349999999999998
34,107_105,2022,1.834
35,107_106,2016,1.2433333333333332
36,107_106,2017,1.2699999999999998
37,107_106,2018,1.2941666666666667
38,107_106,2019,1.3208333333333333
39,107_106,2020,1.3333333333333333
40,107_106,2021,1.4966666666666668
41,107_106,2022,1.778
42,107_108,2016,0.7691666666666666
43,107_108,2017,0.8041666666666667
44,107_108,2018,0.8758333333333331
45,107_108,2019,0.9433333333333332
46,107_108,2020,0.9466666666666664
47,107_108,2021,0.9808333333333331
48,107_108,2022,1.0340000000000003
49,107_111,2016,1.2325
50,107_111,2017,1.2825000000000002
51,107_111,2018,1.3633333333333335
52,107_111,2019,1.433333333333333
53,107_111,2020,1.4374999999999998
54,107_111,2021,1.5816666666666668
55,107_111,2022,1.5799999999999998
56,107_112,2016,0.8383333333333334
57,107_112,2017,0.9733333333333335
58,107_112,2018,1.0141666666666664
59,107_112,2019,1.0408333333333337
60,107_112,2020,1.061666666666667
61,107_112,2021,1.1500000000000001
62,107_112,2022,1.418
63,107_113,2016,0.9091666666666667
64,107_113,2017,0.9324999999999998
65,107_113,2018,0.9516666666666667
66,107_113,2019,0.971666666666667
67,107_113,2020,0.9800000000000003
68,107_113,2021,1.005
69,107_113,2022,1.216
70,107_1155511,2016,
71,107_1155511,2017,
72,107_1155511,2018,
73,107_1155511,2019,
74,107_1155511,2020,
75,107_1155511,2021,1.3454545454545455
76,107_1155511,2022,1.5659999999999998
77,107_116,2016,1.4225
78,107_116,2017,1.4466666666666665
79,107_116,2018,1.4825
80,107_116,2019,1.4633333333333336
81,107_116,2020,1.4900000000000002
82,107_116,2021,1.5733333333333333
83,107_116,2022,1.7739999999999998
84,107_1161924,2016,
85,107_1161924,2017,
86,107_1161924,2018,
87,107_1161924,2019,
88,107_1161924,2020,
89,107_1161924,2021,1.4928571428571427
90,107_1161924,2022,1.566
91,107_117,2016,1.4816666666666665
92,107_117,2017,1.455
93,107_117,2018,1.4883333333333335
94,107_117,2019,1.5258333333333332
95,107_117,2020,1.5333333333333334
96,107_117,2021,1.7
97,107_117,2022,1.9740000000000002
98,107_1189218,2016,
99,107_1189218,2017,
100,107_1189218,2018,
101,107_1189218,2019,
102,107_1189218,2020,
103,107_1189218,2021,1.57
104,107_1189218,2022,1.64
105,107_119,2016,0.6833333333333335
106,107_119,2017,0.7391666666666667
107,107_119,2018,0.7708333333333335
108,107_119,2019,0.8591666666666665
109,107_119,2020,0.8699999999999998
110,107_119,2021,0.8933333333333332
111,107_119,2022,0.9800000000000001
112,107_1202358,2016,
113,107_1202358,2017,
114,107_1202358,2018,
115,107_1202358,2019,
116,107_1202358,2020,1.2866666666666668
117,107_1202358,2021,1.2666666666666668
118,107_1202358,2022,1.4280000000000002
119,107_1202364,2016,
120,107_1202364,2017,
121,107_1202364,2018,
122,107_1202364,2019,
123,107_1202364,2020,1.39
124,107_1202364,2021,1.5691666666666668
125,107_1202364,2022,1.7579999999999998
126,107_1210498,2016,
127,107_1210498,2017,
128,107_1210498,2018,
129,107_1210498,2019,
130,107_1210498,2020,1.1533333333333333
131,107_1210498,2021,1.2
132,107_1210498,2022,1.32
133,107_1233265,2016,
134,107_1233265,2017,
135,107_1233265,2018,
136,107_1233265,2019,
137,107_1233265,2020,
138,107_1233265,2021,
139,107_1233265,2022,
140,107_125,2016,1.5141666666666669
141,107_125,2017,1.4800000000000002
142,107_125,2018,1.375
143,107_125,2019,1.3991666666666667
144,107_125,2020,1.3333333333333333
145,107_125,2021,1.6375
146,107_125,2022,1.886
147,107_1285745,2016,
148,107_1285745,2017,
149,107_1285745,2018,
150,107_1285745,2019,
151,107_1285745,2020,
152,107_1285745,2021,
153,107_1285745,2022,
154,107_1285808,2016,
155,107_1285808,2017,
156,107_1285808,2018,
157,107_1285808,2019,
158,107_1285808,2020,
159,107_1285808,2021,1.2933333333333334
160,107_1285808,2022,1.388
161,107_1289557,2016,
162,107_1289557,2017,
163,107_1289557,2018,
164,107_1289557,2019,
165,107_1289557,2020,
166,107_1289557,2021,1.7133333333333334
167,107_1289557,2022,1.8399999999999999
168,107_1294466,2016,
169,107_1294466,2017,
170,107_1294466,2018,
171,107_1294466,2019,
172,107_1294466,2020,
173,107_1294466,2021,2.128888888888889
174,107_1294466,2022,2.234
175,107_1297675,2016,
176,107_1297675,2017,
177,107_1297675,2018,
178,107_1297675,2019,
179,107_1297675,2020,
180,107_1297675,2021,2.06
181,107_1297675,2022,2.11
182,107_1298094,2016,
183,107_1298094,2017,
184,107_1298094,2018,
185,107_1298094,2019,
186,107_1298094,2020,
187,107_1298094,2021,
