,PROPERTY_ID,Year,Avg_RentPerSqFtActual
0,109_10,2016,0.8216666666666668
1,109_10,2017,0.8799999999999999
2,109_10,2018,0.935
3,109_10,2019,1.0658333333333332
4,109_10,2020,1.14
5,109_10,2021,1.3783333333333332
6,109_10,2022,1.546
7,109_103,2016,0.9036363636363638
8,109_103,2017,0.9508333333333333
9,109_103,2018,0.9833333333333334
10,109_103,2019,1.0208333333333333
11,109_103,2020,1.0733333333333335
12,109_103,2021,1.2333333333333334
13,109_103,2022,1.358
14,109_104,2016,1.0881818181818184
15,109_104,2017,1.1616666666666664
16,109_104,2018,1.209166666666667
17,109_104,2019,1.2625
18,109_104,2020,1.3141666666666667
19,109_104,2021,1.4124999999999999
20,109_104,2022,1.6179999999999999
21,109_105,2016,0.7050000000000001
22,109_105,2017,0.7616666666666667
23,109_105,2018,0.8075
24,109_105,2019,0.8775000000000001
25,109_105,2020,0.9066666666666667
26,109_105,2021,1.1058333333333332
27,109_105,2022,1.2440000000000002
28,109_107,2016,
29,109_107,2017,
30,109_107,2018,1.08
31,109_107,2019,1.153333333333333
32,109_107,2020,1.1966666666666668
33,109_107,2021,1.505
34,109_107,2022,1.6720000000000002
35,109_108,2016,0.8954545454545453
36,109_108,2017,1.0075
37,109_108,2018,1.1466666666666667
38,109_108,2019,1.2225
39,109_108,2020,1.265
40,109_108,2021,1.679166666666667
41,109_108,2022,2.064
42,109_1140028,2016,
43,109_1140028,2017,
44,109_1140028,2018,
45,109_1140028,2019,
46,109_1140028,2020,1.2742857142857142
47,109_1140028,2021,1.4816666666666667
48,109_1140028,2022,1.612
49,109_1140029,2016,
50,109_1140029,2017,
51,109_1140029,2018,
52,109_1140029,2019,
53,109_1140029,2020,1.03
54,109_1140029,2021,1.1700000000000002
55,109_1140029,2022,1.312
56,109_1140033,2016,
57,109_1140033,2017,
58,109_1140033,2018,
59,109_1140033,2019,
60,109_1140033,2020,1.3636363636363635
61,109_1140033,2021,1.4283333333333335
62,109_1140033,2022,1.5139999999999998
63,109_1170397,2016,
64,109_1170397,2017,
65,109_1170397,2018,
66,109_1170397,2019,
67,109_1170397,2020,1.3228571428571427
68,109_1170397,2021,1.4816666666666667
69,109_1170397,2022,1.5699999999999998
70,109_1170638,2016,
71,109_1170638,2017,
72,109_1170638,2018,
73,109_1170638,2019,
74,109_1170638,2020,1.3966666666666665
75,109_1170638,2021,1.6283333333333332
76,109_1170638,2022,1.9260000000000002
77,109_1195137,2016,
78,109_1195137,2017,
79,109_1195137,2018,
80,109_1195137,2019,
81,109_1195137,2020,
82,109_1195137,2021,
83,109_1195137,2022,
84,109_12,2016,0.8541666666666669
85,109_12,2017,0.895
